gene,timepoint,log2FC,p,padj
0610007P14Rik,24H,0.04423003134071557,0.7375136521077301,1.0
0610009B22Rik,24H,-0.009986640695258231,0.9741879169927901,1.0
0610009E02Rik,24H,-0.14415039410699482,0.6962864535393898,1.0
0610009L18Rik,24H,0.03671125660692276,0.8928692541006144,1.0
0610009O20Rik,24H,-0.04787382135646645,0.7912272907108661,1.0
0610010F05Rik,24H,0.05764622493935434,0.8887709867964463,1.0
0610010K14Rik,24H,-0.0011518836972648216,0.9944855773241285,1.0
0610011F06Rik,24H,-0.17370998679640515,0.2842811933965434,1.0
0610030E20Rik,24H,0.3723732865226239,0.4023864864406371,1.0
0610037L13Rik,24H,0.22795970808741295,0.5999902318200765,1.0
0610040B10Rik,24H,-0.31766475149934603,0.15948332326102513,1.0
0610040F04Rik,24H,0.39333247723291365,0.26106652543798975,1.0
0610040J01Rik,24H,0.4496355116237529,0.527922406289865,1.0
1010001B22Rik,24H,-0.24831990153750194,0.5101894575783372,1.0
1110001J03Rik,24H,-0.050142340006268604,0.7807606303199733,1.0
1110002E22Rik,24H,0.19322839297269123,0.5227957514307241,1.0
1110002J07Rik,24H,0.13341166241469882,0.803220590900654,1.0
1110002L01Rik,24H,0.259720662126834,0.34928332492061054,1.0
1110003F10Rik,24H,0.8158106188832432,0.3682029798786341,1.0
1110004E09Rik,24H,0.01477375076476406,0.9318395544963943,1.0
1110004F10Rik,24H,0.008524465306775753,0.9615382618084567,1.0
1110006O24Rik,24H,-0.001554549865063759,0.9955550355581034,1.0
1110007C09Rik,24H,-0.22168199933456734,0.15690633879489982,1.0
1110008F13Rik,24H,0.00915117445027036,0.956786362351738,1.0
1110008L16Rik,24H,0.22282475191935447,0.5823712597529612,1.0
1110008P14Rik,24H,-0.018246613226263975,0.8324929278240484,1.0
1110012L19Rik,24H,0.35077774677720885,0.3138381863957819,1.0
1110017D15Rik,24H,0.18197814814975732,0.6848688576985094,1.0
1110018N20Rik,24H,0.11353841534293618,0.7529029058962805,1.0
1110019D14Rik,24H,0.5224487203975752,0.0694978763045667,1.0
1110025M09Rik,24H,-0.06772557509797394,0.9146474466795587,1.0
1110032A03Rik,24H,0.0022352923862261065,0.9920923877596205,1.0
1110032F04Rik,24H,0.08329363220455477,0.7463637175895228,1.0
1110034G24Rik,24H,0.060460468239241116,0.6657891838127727,1.0
1110037F02Rik,24H,0.12327281843766613,0.7668941312601385,1.0
1110038B12Rik,24H,0.11043570073854436,0.6848537137612843,1.0
1110038F14Rik,24H,-0.05612701999334391,0.8349845039790382,1.0
1110046J04Rik,24H,0.37792382042910155,0.36218300075014226,1.0
1110051M20Rik,24H,0.1963065300163489,0.47634832394036325,1.0
1110059E24Rik,24H,0.0549582345403401,0.8068128933549437,1.0
1110059G10Rik,24H,0.09066719318139782,0.8218368800739214,1.0
1110065P20Rik,24H,-0.14064288537888636,0.4147315903874969,1.0
1190002N15Rik,24H,0.06476218364953112,0.8126774428238878,1.0
1190005I06Rik,24H,0.007662328200782831,0.9771759805493881,1.0
1190007I07Rik,24H,-0.35419946142802505,0.21173416680796528,1.0
1200014J11Rik,24H,0.1402006605684587,0.6975598296800498,1.0
1300002E11Rik,24H,0.2110288254550019,0.6323091198530683,1.0
1500002C15Rik,24H,0.4349382681486551,0.3078137711400386,1.0
1500002F19Rik,24H,-0.11754605616951963,0.8558258543636446,1.0
1500004A13Rik,24H,0.3443316610501448,0.29696664974812065,1.0
1500009C09Rik,24H,0.06700342347032873,0.1930171102060603,1.0
1500009L16Rik,24H,0.016660296267293262,0.9564158137133414,1.0
1500011B03Rik,24H,-0.046521760225124,0.6518163854904121,1.0
1500011K16Rik,24H,0.03205408790248043,0.8318043337271287,1.0
