gene,cluster,max_membership
1010001B22Rik,2,0.475
1110046J04Rik,0,0.555
1110051M20Rik,0,0.987
1110059E24Rik,0,0.994
1600012H06Rik,0,1.0
1600014C10Rik,0,0.855
1700013F07Rik,2,0.763
1700016P03Rik,0,0.688
1700019G17Rik,0,0.999
1700021F05Rik,0,0.993
1700029I15Rik,2,0.997
1700047M11Rik,0,0.999
1700052K11Rik,0,0.85
1700095J03Rik,2,0.374
1700096K18Rik,0,0.558
1700102P08Rik,2,0.87
1700112E06Rik,0,0.497
1810024B03Rik,0,0.674
2010204K13Rik,0,0.998
2210011C24Rik,0,0.367
2210408I21Rik,2,0.853
2210418O10Rik,2,0.975
2310010J17Rik,3,0.983
2310040G24Rik,0,0.325
2610002M06Rik,0,1.0
2610028E06Rik,4,0.841
2610306M01Rik,0,1.0
2610524H06Rik,0,1.0
2700029L08Rik,2,0.545
2700069I18Rik,2,0.312
2700097O09Rik,2,0.983
2810029C07Rik,0,0.793
2810039B14Rik,0,0.724
2810408A11Rik,4,0.442
2900052L18Rik,0,0.709
3930402G23Rik,3,0.773
4831440E17Rik,3,0.544
4921536K21Rik,0,0.735
4930427A07Rik,2,0.859
4930451G09Rik,0,0.602
4930452B06Rik,0,0.948
4930477O15Rik,1,0.654
4930479D17Rik,2,0.618
4930507D05Rik,0,0.921
4930517J16Rik,1,0.341
4930522L14Rik,1,0.962
4930581F22Rik,2,0.936
4933407K13Rik,2,0.983
4933407L21Rik,2,0.518
4933416E14Rik,1,0.651
5031414D18Rik,0,0.736
5330434G04Rik,2,0.963
5730405O15Rik,2,0.45
5730522E02Rik,4,0.455
5830417I10Rik,0,0.997
6230400D17Rik,2,0.721
6430571L13Rik,0,0.7
6430573P05Rik,3,0.979
6530401F13Rik,1,0.988
8030453O22Rik,0,0.998
9030612E09Rik,3,0.899
9130221H12Rik,0,1.0
9330111N05Rik,0,0.644
9330154J02Rik,1,0.388
9330158H04Rik,3,0.997
9330179D12Rik,2,0.776
