set_id,set_label,gene
A_complement_synapse_pruning,complement / synaptic pruning,C1qa
A_complement_synapse_pruning,complement / synaptic pruning,C1qb
A_complement_synapse_pruning,complement / synaptic pruning,C1qc
A_complement_synapse_pruning,complement / synaptic pruning,C1r
A_complement_synapse_pruning,complement / synaptic pruning,C1ra
A_complement_synapse_pruning,complement / synaptic pruning,C1rb
A_complement_synapse_pruning,complement / synaptic pruning,C1s
A_complement_synapse_pruning,complement / synaptic pruning,C1sa
A_complement_synapse_pruning,complement / synaptic pruning,C1sb
A_complement_synapse_pruning,complement / synaptic pruning,C2
A_complement_synapse_pruning,complement / synaptic pruning,C3
A_complement_synapse_pruning,complement / synaptic pruning,C3ar1
A_complement_synapse_pruning,complement / synaptic pruning,C4a
A_complement_synapse_pruning,complement / synaptic pruning,C4b
A_complement_synapse_pruning,complement / synaptic pruning,C4bpa
A_complement_synapse_pruning,complement / synaptic pruning,C4bpb
A_complement_synapse_pruning,complement / synaptic pruning,C5
A_complement_synapse_pruning,complement / synaptic pruning,C5ar1
A_complement_synapse_pruning,complement / synaptic pruning,C5ar2
A_complement_synapse_pruning,complement / synaptic pruning,C6
A_complement_synapse_pruning,complement / synaptic pruning,C7
A_complement_synapse_pruning,complement / synaptic pruning,C8a
A_complement_synapse_pruning,complement / synaptic pruning,C8b
A_complement_synapse_pruning,complement / synaptic pruning,C8g
A_complement_synapse_pruning,complement / synaptic pruning,C9
A_complement_synapse_pruning,complement / synaptic pruning,Cfb
A_complement_synapse_pruning,complement / synaptic pruning,Cfd
A_complement_synapse_pruning,complement / synaptic pruning,Cfh
A_complement_synapse_pruning,complement / synaptic pruning,Cfi
A_complement_synapse_pruning,complement / synaptic pruning,Cfp
A_complement_synapse_pruning,complement / synaptic pruning,Cr1l
A_complement_synapse_pruning,complement / synaptic pruning,Cr2
A_complement_synapse_pruning,complement / synaptic pruning,Masp1
A_complement_synapse_pruning,complement / synaptic pruning,Masp2
A_complement_synapse_pruning,complement / synaptic pruning,Mbl1
A_complement_synapse_pruning,complement / synaptic pruning,Mbl2
A_complement_synapse_pruning,complement / synaptic pruning,Fcnb
A_complement_synapse_pruning,complement / synaptic pruning,Serping1
A_complement_synapse_pruning,complement / synaptic pruning,Vtn
A_complement_synapse_pruning,complement / synaptic pruning,C1qtnf1
A_complement_synapse_pruning,complement / synaptic pruning,C1qtnf3
A_complement_synapse_pruning,complement / synaptic pruning,C1qtnf5
A_complement_synapse_pruning,complement / synaptic pruning,Itgam
A_complement_synapse_pruning,complement / synaptic pruning,Itgb2
A_complement_synapse_pruning,complement / synaptic pruning,Itgav
A_complement_synapse_pruning,complement / synaptic pruning,Itgb3
A_complement_synapse_pruning,complement / synaptic pruning,Itgb5
A_complement_synapse_pruning,complement / synaptic pruning,Cd68
A_complement_synapse_pruning,complement / synaptic pruning,Axl
A_complement_synapse_pruning,complement / synaptic pruning,Mertk
A_complement_synapse_pruning,complement / synaptic pruning,Gas6
A_complement_synapse_pruning,complement / synaptic pruning,Pros1
A_complement_synapse_pruning,complement / synaptic pruning,Trem2
A_complement_synapse_pruning,complement / synaptic pruning,Tyrobp
A_complement_synapse_pruning,complement / synaptic pruning,Lrp1
A_complement_synapse_pruning,complement / synaptic pruning,Cd47
A_complement_synapse_pruning,complement / synaptic pruning,Sirpa
A_complement_synapse_pruning,complement / synaptic pruning,Megf10
