,0,1,2,3,4,5
Xkr4,1,0,0,0,1,0
Sox17,0,0,1,0,1,0
Mrpl15,90,110,130,94,115,67
Lypla1,37,41,45,34,40,29
Gm37988,0,0,2,0,0,0
Tcea1,98,105,107,78,133,64
Rgs20,168,130,193,134,134,95
Gm16041,0,0,2,2,0,0
Atp6v1h,61,80,91,55,70,45
Rb1cc1,78,95,82,93,98,52
4732440D04Rik,16,16,19,22,34,17
St18,4,2,7,0,12,2
Pcmtd1,107,121,102,120,133,75
Gm26901,0,2,1,0,1,1
Sntg1,2,2,4,0,7,0
Rrs1,74,75,87,65,96,48
Adhfe1,100,148,128,93,119,106
3110035E14Rik,4,2,1,2,2,0
Mybl1,0,1,5,0,3,0
Vcpip1,39,50,46,47,60,32
1700034P13Rik,1,1,0,0,0,0
Sgk3,21,32,27,21,30,10
Mcmdc2,0,0,0,0,1,1
Snhg6,52,41,60,18,74,19
Tcf24,0,2,5,2,1,0
Ppp1r42,2,2,4,2,6,2
Cops5,99,128,135,112,130,72
Cspp1,117,108,157,105,152,76
Arfgef1,44,34,47,43,53,31
Prex2,434,614,521,569,528,360
A830018L16Rik,1,0,1,2,0,0
Sulf1,0,1,4,1,0,1
Ncoa2,41,43,48,31,49,26
Tram1,64,72,78,66,79,40
Lactb2,35,25,46,31,39,15
Xkr9,1,0,0,0,0,0
Eya1,55,61,55,58,52,27
Msc,1,0,0,0,0,0
Kcnb2,0,1,0,1,3,0
Terf1,8,13,9,9,16,8
Sbspon,1,0,0,1,0,2
Rpl7,452,533,568,481,495,286
Rdh10,19,20,27,20,25,8
Stau2,9,12,22,9,16,9
Ube2w,36,59,65,34,38,31
Tceb1,168,179,213,151,162,94
D030040B21Rik,0,0,0,0,1,0
Tmem70,77,103,111,70,70,60
Ly96,5,9,12,10,19,4
Jph1,2,1,2,2,5,1
Gdap1,4,3,6,7,5,3
Pkhd1,0,0,2,0,0,0
Il17f,0,0,0,1,0,0
Mcm3,4,4,0,9,14,6
6720483E21Rik,1,6,6,2,5,1
Paqr8,424,477,517,275,407,209
Efhc1,1,4,0,1,4,1
Tram2,4,5,4,7,3,1
Tmem14a,58,73,86,69,73,47
Gsta3,2,4,3,5,2,0
Kcnq5,1,0,0,0,0,0
Rims1,1,3,0,1,2,0
Gm27028,0,1,0,0,0,0
Gm29107,7,7,10,11,12,6
Ogfrl1,32,41,47,36,73,35
B3gat2,5,5,21,8,14,5
Smap1,106,100,152,78,139,84
Sdhaf4,86,96,99,73,74,49
Fam135a,22,42,55,31,50,17
Col9a1,2,0,2,0,0,1
Lmbrd1,217,246,287,229,273,146
Adgrb3,96,110,128,106,105,53
Phf3,78,86,130,71,126,51
Ptp4a1,93,81,90,44,80,43
Khdrbs2,0,2,0,0,0,0
Prim2,10,7,9,6,8,5
Rab23,21,17,20,13,18,10
Bag2,9,8,9,3,6,5
Zfp451,33,47,44,26,33,16
Bend6,0,1,2,1,5,0
Dst,214,258,251,210,290,159
Gm37233,0,0,1,2,0,0
Ccdc115,22,31,31,27,31,11
Imp4,40,33,53,40,43,17
Ptpn18,3,11,4,11,23,1
Arhgef4,61,51,62,40,58,36
Gm38336,1,1,1,1,1,0
Fam168b,107,77,119,91,93,83
Plekhb2,54,56,57,47,54,30
Hs6st1,23,20,36,10,32,14
Gm33280,0,0,0,0,0,1
Uggt1,23,29,20,12,18,9
Neurl3,5,2,9,7,13,1
Arid5a,64,49,75,21,29,41
4930403P22Rik,1,3,4,0,2,1
Kansl3,33,44,51,27,68,38
Lman2l,23,33,31,30,17,17
Cnnm4,9,1,5,3,8,2
Cnnm3,51,54,68,44,49,30
Ankrd23,1,1,0,1,1,0
Ankrd39,13,9,16,17,15,14
Sema4c,4,2,6,2,7,3
Fam178b,0,1,0,0,3,0
Cox5b,603,658,766,531,719,454
Actr1b,60,50,64,33,72,26
