,0,1,2,3,4,5
Rp1,0,0,0,1,4,0
Sox17,151,81,242,373,438,93
Mrpl15,19,27,36,64,59,17
Lypla1,21,31,27,36,57,22
Tcea1,25,31,52,72,143,25
Rgs20,0,0,0,2,0,0
Atp6v1h,20,11,21,26,82,13
Rb1cc1,31,36,43,78,95,18
4732440D04Rik,3,3,10,11,13,0
St18,1,4,0,0,5,3
Pcmtd1,129,124,154,348,426,74
Gm26901,0,0,0,0,1,0
Sntg1,0,0,0,0,1,0
Rrs1,5,6,17,29,20,6
3110035E14Rik,0,0,0,1,6,0
Mybl1,1,0,1,6,3,3
Vcpip1,14,7,17,34,63,9
Sgk3,12,12,21,28,35,5
Mcmdc2,0,0,0,1,1,0
Snhg6,19,7,23,22,62,4
Tcf24,0,1,1,0,1,0
Ppp1r42,0,0,0,0,0,1
Cops5,24,15,43,75,84,20
Cspp1,14,15,25,39,57,4
Arfgef1,26,15,26,43,63,15
Prex2,50,53,67,132,198,19
Sulf1,0,0,3,2,0,0
Slco5a1,1,0,0,0,1,0
Ncoa2,10,14,28,16,37,8
Tram1,22,31,39,76,97,37
Lactb2,4,7,13,15,16,4
Eya1,0,0,0,0,0,1
Gm9947,0,0,0,0,1,0
Msc,1,0,0,1,1,1
Kcnb2,0,0,0,0,1,0
Terf1,15,9,11,51,61,12
Sbspon,8,2,11,14,19,3
Rpl7,528,545,737,1317,1637,303
Rdh10,0,1,3,9,16,2
Stau2,2,0,7,5,9,2
Ube2w,19,9,17,44,53,6
Tceb1,64,50,69,112,169,40
D030040B21Rik,0,0,1,3,1,0
Tmem70,23,4,13,40,45,7
Ly96,11,3,5,19,24,5
Jph1,0,1,1,0,5,0
Gdap1,0,1,0,1,4,0
Pi15,10,1,10,3,2,0
Gm16070,4,1,0,2,5,0
Crispld1,8,6,13,21,43,7
Tfap2b,0,0,0,3,3,0
Mcm3,7,9,8,10,19,4
Paqr8,2,5,6,7,15,4
Efhc1,0,0,0,1,2,0
Tram2,5,6,5,13,14,4
Tmem14a,5,3,2,13,10,2
Gsta3,0,0,0,1,0,0
Khdc1b,0,0,0,0,1,0
Kcnq5,0,0,0,0,3,0
Rims1,0,0,0,1,2,0
Gm27028,0,0,0,0,1,0
Gm29107,6,9,12,15,19,11
Ogfrl1,7,5,10,26,37,7
B3gat2,0,0,0,0,1,0
Smap1,44,71,59,106,167,34
Sdhaf4,19,19,19,62,59,11
Fam135a,3,1,3,18,15,4
Col9a1,0,0,0,0,1,0
Lmbrd1,45,35,68,115,173,33
Adgrb3,0,0,0,1,2,0
Gm597,0,0,0,1,0,0
Phf3,33,36,53,68,132,21
Ptp4a1,32,44,43,73,135,33
Khdrbs2,0,0,0,0,2,0
Prim2,1,1,1,4,15,2
Rab23,7,1,8,11,12,2
Bag2,4,4,7,10,20,4
Zfp451,12,9,21,22,46,3
Bend6,0,1,2,3,6,0
Dst,69,51,52,106,154,24
Gm37233,0,0,1,1,0,0
Ccdc115,12,14,21,51,52,13
Imp4,20,14,28,54,64,11
Ptpn18,26,35,26,45,120,11
4930568A12Rik,0,0,0,1,0,0
Arhgef4,0,0,1,1,2,1
Gm38336,0,0,1,1,0,0
Fam168b,18,20,33,47,53,10
Plekhb2,11,11,20,14,27,9
Hs6st1,6,5,4,10,9,2
Uggt1,9,11,19,34,37,14
Neurl3,11,10,8,14,47,4
Arid5a,24,25,31,38,74,20
4930403P22Rik,1,1,0,4,0,1
Kansl3,13,18,25,33,68,14
Lman2l,14,10,26,18,34,15
Cnnm4,1,0,0,3,4,3
Cnnm3,13,9,11,21,20,3
Gm38033,0,1,0,0,0,1
Ankrd23,0,0,0,0,1,0
Gm43543,0,0,1,0,0,0
Ankrd39,5,8,9,16,15,4
Sema4c,10,11,7,26,28,10
Fam178b,0,1,2,4,3,0
Cox5b,113,111,177,266,440,136
Actr1b,18,20,29,38,69,15
Zap70,5,6,10,11,20,8
Tmem131,15,27,20,29,56,8
Vwa3b,0,0,0,0,1,0
Inpp4a,8,8,11,12,23,4
Coa5,9,9,4,18,50,8
Unc50,31,32,60,95,161,21
Mgat4a,9,5,6,18,40,5
2010300C02Rik,0,0,0,1,3,0
Tsga10,0,2,2,8,10,3
Lipt1,1,0,0,0,4,0
Mitd1,19,11,14,23,62,11
Mrpl30,33,46,44,87,107,15
Txndc9,24,31,59,85,105,36
Eif5b,42,49,78,102,205,33
Rev1,5,8,13,18,42,3
Aff3,1,2,3,0,7,1
Gm16152,0,0,1,1,5,0
Lonrf2,0,1,1,0,0,0
Chst10,0,1,1,1,2,0
Pdcl3,54,40,72,109,120,40
Npas2,0,0,0,2,1,0
Rpl31,223,220,301,394,787,126
Tbc1d8,3,9,9,14,12,5
Cnot11,6,4,7,20,17,7
Rnf149,13,12,24,30,45,13
Creg2,0,0,0,2,2,1
Gm3646,1,0,0,0,0,0
Map4k4,63,57,54,100,164,46
Il1r2,0,6,3,0,0,0
Il1r1,19,56,21,71,30,8
Il1rl2,0,0,0,0,5,0
Il18r1,3,0,0,0,0,0
Il18rap,0,1,1,0,0,0
Slc9a4,0,0,0,0,1,0
Slc9a2,5,2,5,8,16,2
Mfsd9,1,0,0,5,4,1
Pantr1,0,7,0,12,8,0
Pou3f3,0,4,0,7,12,3
Mrps9,14,14,18,26,43,4
Gpr45,0,0,0,1,0,0
Tgfbrap1,13,9,21,30,52,5
8430432A02Rik,2,0,1,3,2,0
AI597479,3,2,5,10,14,3
Fhl2,2,3,4,4,4,2
Nck2,5,4,12,19,17,0
1500015O10Rik,2,2,11,4,0,0
Uxs1,6,7,6,22,30,11
Tpp2,18,20,19,31,57,10
Gm8251,1,0,0,0,3,0
Tex30,4,7,10,21,30,5
Kdelc1,4,2,6,15,22,5
Bivm,0,0,3,9,12,0
Ercc5,10,7,16,17,31,4
Gulp1,12,11,13,16,33,1
Col3a1,2,0,2,0,2,0
Col5a2,0,0,2,2,5,0
Wdr75,5,14,7,15,37,8
Gm5269,1,0,0,0,0,0
Slc40a1,84,39,99,137,234,18
Dnah7b,0,0,0,0,3,0
Slc39a10,182,154,221,346,461,62
Gm28151,2,1,2,4,7,0
Tmeff2,1,9,5,13,17,2
Gm28322,0,0,0,2,0,1
9330175M20Rik,0,0,0,1,0,0
Sdpr,177,164,249,274,519,100
1700072G22Rik,0,2,0,0,0,0
Nabp1,14,9,9,29,34,4
Myo1b,27,49,63,92,154,26
Stat4,3,4,5,1,10,1
Stat1,42,34,38,55,70,27
Gls,44,33,45,100,171,24
Nab1,20,31,37,55,96,20
Tmem194b,1,4,3,4,8,2
Mfsd6,9,19,8,28,29,13
Inpp1,14,13,25,54,47,16
Hibch,5,8,11,10,24,4
1700019D03Rik,1,0,0,1,0,2
Pms1,7,2,2,1,8,1
Ormdl1,11,7,9,15,23,8
Osgepl1,5,2,9,14,21,1
Asnsd1,11,8,8,24,29,5
Dnah7a,0,0,0,1,0,0
Stk17b,46,46,57,57,222,16
Hecw2,0,5,3,3,4,2
Gtf3c3,4,7,8,10,19,4
Pgap1,3,3,7,11,43,1
Ankrd44,14,13,25,22,69,2
4930444A19Rik,0,0,1,0,0,0
Sf3b1,89,95,117,213,324,76
Coq10b,54,44,63,109,206,36
Hspd1,46,44,73,90,114,40
Hspe1,67,95,77,179,204,61
Mob4,42,34,51,76,124,23
Rftn2,8,5,6,8,13,1
Gm10561,1,0,2,1,4,1
Mars2,6,1,2,6,10,1
Plcl1,6,10,7,25,36,4
Satb2,0,0,0,0,0,1
1700066M21Rik,2,1,4,2,2,1
Tyw5,4,3,7,7,12,1
9430016H08Rik,15,8,11,22,26,8
Spats2l,3,2,3,4,4,4
Kctd18,3,9,10,8,13,6
Sgol2a,0,0,0,1,0,1
Aox1,4,1,1,5,10,3
Aox3,0,0,0,0,4,0
Aox2,0,0,0,0,1,0
Bzw1,29,39,66,115,185,38
Clk1,134,102,192,267,580,73
Ppil3,6,12,9,21,33,5
Nif3l1,7,4,5,8,5,4
Orc2,8,9,11,19,24,4
Gm15834,0,0,0,1,0,0
