,0,1,2,3,4,5
Gm1992,0,2,1,0,0,0
Gm37381,0,0,2,0,0,0
Rp1,4,13,6,5,7,0
Sox17,0,0,6,0,1,0
Mrpl15,99,210,208,46,58,85
Lypla1,84,159,189,30,31,64
Gm37988,0,3,5,0,0,0
Tcea1,131,284,291,60,98,93
Rgs20,1,5,11,3,1,2
Atp6v1h,127,211,248,30,57,54
Rb1cc1,62,231,151,50,60,58
4732440D04Rik,6,25,11,12,15,6
Fam150a,0,0,1,0,0,0
St18,4,3,3,7,5,4
Pcmtd1,116,266,308,73,103,70
Sntg1,0,0,0,0,1,0
Rrs1,26,103,42,30,40,26
Adhfe1,7,82,44,26,22,34
3110035E14Rik,2,7,5,1,3,1
Mybl1,2,7,6,3,2,0
Vcpip1,30,67,70,19,29,31
1700034P13Rik,1,1,1,0,0,0
Sgk3,169,276,288,39,50,116
Mcmdc2,0,1,0,0,2,0
Snhg6,54,127,115,17,28,45
Tcf24,0,1,2,2,0,2
Ppp1r42,17,86,42,21,21,17
Cops5,178,406,367,90,101,106
Cspp1,43,317,149,123,162,105
Arfgef1,62,199,158,30,58,44
Cpa6,0,1,0,0,0,0
Prex2,13,44,29,18,16,7
A830018L16Rik,32,55,41,16,18,11
Sulf1,346,446,980,20,18,56
Slco5a1,0,0,0,1,0,0
Ncoa2,22,126,58,34,52,29
Tram1,128,324,264,68,77,88
Lactb2,36,66,74,24,21,33
Eya1,1,32,16,10,11,10
Gm9947,0,3,1,0,1,0
Msc,0,1,2,1,1,3
Kcnb2,0,2,1,9,9,3
Terf1,18,63,35,19,26,19
Sbspon,17,31,62,3,1,2
4930444P10Rik,11,48,20,12,19,7
Rpl7,1836,5152,3688,1191,1434,1469
Rdh10,59,253,190,70,85,60
Stau2,19,49,70,14,16,17
Ube2w,65,156,134,32,40,56
Tceb1,326,737,667,105,143,206
D030040B21Rik,0,0,0,0,1,0
Tmem70,70,129,159,22,42,42
Ly96,21,66,25,6,14,17
Jph1,15,22,29,3,4,1
Gdap1,2,12,3,1,3,3
Pi15,0,19,10,10,14,5
Gm28154,0,0,0,0,1,0
Gm16070,0,1,0,0,1,0
Crispld1,6,2,13,13,20,5
Tfap2b,0,0,0,2,0,0
Il17a,0,0,0,0,1,0
Mcm3,14,47,9,12,18,6
6720483E21Rik,0,0,1,0,0,0
Paqr8,6,25,6,3,10,8
Efhc1,34,131,77,43,71,27
Tram2,7,32,20,8,8,3
Tmem14a,41,76,94,17,14,27
Gsta3,3,2,15,4,0,8
Kcnq5,0,2,0,0,0,1
Rims1,2,4,0,0,1,0
Gm29107,0,5,5,1,7,2
Ogfrl1,43,304,82,42,74,61
B3gat2,0,3,3,1,3,0
Smap1,86,316,224,68,70,102
Sdhaf4,356,583,621,116,162,184
Fam135a,13,40,42,10,15,8
Col9a1,1,2,1,2,0,0
Lmbrd1,233,563,529,123,172,121
Adgrb3,3,34,18,11,12,10
Gm597,0,0,0,0,1,0
Phf3,68,257,193,68,118,57
Ptp4a1,130,476,290,110,128,118
Khdrbs2,0,0,1,0,2,0
Prim2,6,27,15,14,8,11
Rab23,12,69,26,23,25,19
Bag2,32,155,93,48,56,58
Zfp451,21,64,67,19,26,24
Bend6,2,2,4,0,3,2
Dst,74,420,208,155,232,123
Gm37233,2,7,1,3,3,2
Ccdc115,43,111,76,26,27,34
Imp4,55,125,86,21,21,28
Ptpn18,58,386,104,44,82,117
Arhgef4,7,94,46,34,43,38
Gm38336,1,0,0,0,0,0
Fam168b,38,175,103,54,59,57
Plekhb2,127,262,318,47,76,84
1110002O04Rik,0,0,1,0,0,0
Hs6st1,16,54,32,10,12,20
Uggt1,42,87,81,14,25,23
Neurl3,18,125,35,21,30,28
