,0,1,2,3,4,5
Xkr4,0,1,0,2,2,0
Sox17,0,1,0,3,13,0
Mrpl15,330,282,428,454,561,518
Lypla1,178,146,229,216,270,350
Gm37988,0,0,0,0,0,1
Tcea1,562,345,627,563,833,706
Rgs20,1,1,1,2,7,2
Atp6v1h,321,226,368,388,557,462
Rb1cc1,526,332,522,618,739,659
4732440D04Rik,40,26,47,50,72,52
St18,7,5,5,7,27,2
Pcmtd1,421,289,448,503,585,533
Gm26901,3,3,0,4,4,1
Sntg1,0,0,0,1,4,0
Rrs1,101,105,105,171,178,168
Adhfe1,8,6,3,2,5,1
3110035E14Rik,7,2,6,12,30,3
Mybl1,4,1,4,2,11,2
Vcpip1,208,171,244,356,388,358
1700034P13Rik,0,0,1,3,2,0
Sgk3,402,281,447,489,562,734
Mcmdc2,3,4,2,3,6,17
Snhg6,378,259,408,420,866,397
Tcf24,4,3,10,5,8,7
Ppp1r42,0,1,0,0,0,0
Cops5,501,351,637,636,816,636
Cspp1,227,172,256,295,410,318
Arfgef1,305,207,314,375,463,411
Prex2,4,10,9,8,25,7
A830018L16Rik,0,1,1,0,0,0
Gm17644,0,0,0,0,1,0
Sulf1,1,1,9,0,1,2
Slco5a1,0,1,1,0,2,0
Ncoa2,233,146,267,295,405,277
Gm29570,1,0,1,2,0,0
Tram1,1000,715,1162,1059,1313,1784
Lactb2,346,238,450,388,513,423
Xkr9,4,1,2,7,4,2
Eya1,1,1,2,0,4,1
Kcnb2,1,2,2,0,0,1
Terf1,218,145,239,274,366,267
Sbspon,0,0,1,0,0,0
4930444P10Rik,0,0,0,0,4,4
Rpl7,9607,8797,12753,14613,12533,12408
Rdh10,71,46,90,99,106,100
Stau2,146,78,126,125,192,121
Ube2w,355,327,367,523,532,476
Tceb1,1264,1071,1497,1675,2023,1664
D030040B21Rik,1,0,3,1,0,1
Tmem70,259,188,295,349,445,369
Ly96,600,436,710,511,667,680
Jph1,2,2,4,7,10,0
Gdap1,3,3,2,3,3,1
Crispld1,0,0,0,0,1,0
Il17f,0,0,0,1,0,0
Mcm3,233,169,304,371,462,414
6720483E21Rik,0,0,0,1,0,0
Paqr8,14,17,15,20,52,17
Efhc1,4,5,4,3,7,5
Tram2,59,62,70,74,94,79
Gm28287,0,0,1,0,0,0
Tmem14a,26,19,23,22,34,33
Gsta3,1,0,1,1,3,0
Kcnq5,1,0,1,1,0,0
Rims1,5,5,0,2,15,3
Gm27028,0,0,0,1,0,1
Gm29107,30,18,35,35,61,38
Ogfrl1,1732,1908,1899,2582,3308,3419
B3gat2,9,4,13,14,14,3
Smap1,784,527,890,886,1150,979
Sdhaf4,309,254,413,377,415,345
