,0,1,2,3,4,5
Xkr4,3,12,4,7,2,0
Sox17,0,0,0,1,1,0
Mrpl15,13,41,3,57,27,10
Lypla1,3,15,7,19,9,2
Tcea1,13,38,9,50,30,8
Rgs20,0,8,0,20,15,2
Atp6v1h,16,44,11,51,22,5
Oprk1,0,5,0,0,0,0
Rb1cc1,27,77,15,107,49,16
4732440D04Rik,1,11,0,13,2,0
St18,3,15,0,4,4,1
Pcmtd1,31,63,38,72,37,9
Gm26901,0,1,0,6,2,0
Sntg1,2,8,8,8,4,0
Rrs1,4,10,3,23,8,7
Adhfe1,0,0,0,0,0,1
3110035E14Rik,10,36,12,9,16,1
Mybl1,4,3,1,2,5,2
Vcpip1,13,29,8,42,17,5
Sgk3,4,7,2,12,1,2
Mcmdc2,0,0,0,4,1,1
Snhg6,17,40,4,53,46,4
Tcf24,0,0,0,2,2,0
Ppp1r42,0,0,0,0,1,0
Cops5,15,67,4,81,36,19
Cspp1,23,47,16,76,38,23
Arfgef1,12,35,9,49,23,4
Cpa6,0,0,0,1,0,0
Prex2,0,5,1,11,3,0
A830018L16Rik,6,10,13,10,0,6
Sulf1,0,6,0,5,0,2
Slco5a1,0,10,0,6,3,2
Ncoa2,12,34,11,28,16,4
Tram1,12,20,4,23,10,10
Lactb2,1,6,1,7,5,2
Xkr9,0,1,0,0,0,0
Eya1,7,2,4,12,5,2
Gm9947,0,1,0,0,0,0
Msc,0,3,0,0,0,0
Kcnb2,28,40,21,73,39,9
Terf1,6,11,8,31,16,4
Sbspon,1,0,0,0,0,0
4930444P10Rik,1,0,0,0,0,0
Rpl7,135,575,48,860,335,158
Rdh10,1,5,0,8,5,1
Stau2,10,28,6,35,14,7
Ube2w,19,27,9,46,19,7
Tceb1,41,84,22,141,51,29
Tmem70,6,19,9,46,20,7
Ly96,0,5,0,3,4,0
Jph1,2,10,3,22,7,1
Gdap1,24,42,19,78,33,19
Crispld1,0,0,1,1,0,0
Mcm3,7,16,1,18,22,17
6720483E21Rik,0,0,0,1,0,0
Paqr8,4,7,3,14,9,0
Tram2,5,3,2,2,1,2
Tmem14a,2,11,4,21,5,2
Gsta3,0,1,0,0,1,0
Kcnq5,6,10,1,7,10,4
Gm26580,0,0,0,0,0,1
Rims1,8,17,3,22,9,1
4933415F23Rik,0,1,0,0,0,0
Gm29107,0,1,0,2,3,0
Ogfrl1,18,44,19,44,25,25
B3gat2,0,2,0,9,0,0
Smap1,21,49,15,66,23,10
Sdhaf4,14,15,4,41,17,5
Fam135a,10,11,2,23,8,4
Col19a1,0,0,0,0,0,1
Lmbrd1,15,35,16,44,24,4
Adgrb3,19,52,24,43,18,12
Phf3,29,65,14,85,61,17
Ptp4a1,27,68,12,97,58,14
Khdrbs2,13,14,9,23,5,4
Gm37724,0,0,0,1,0,0
Prim2,10,12,5,20,14,8
Rab23,10,13,5,15,11,3
Bag2,4,6,3,9,6,1
Zfp451,15,52,17,70,29,8
Bend6,9,31,8,10,3,2
Dst,41,60,36,101,45,26
Gm37233,1,5,0,1,2,1
Ccdc115,10,17,2,25,19,6
Imp4,3,10,4,24,15,7
Ptpn18,7,7,2,13,14,17
Amer3,5,1,1,8,3,1
Arhgef4,4,13,10,19,11,1
Gm38336,0,0,0,1,2,0
Fam168b,24,45,17,59,34,6
Plekhb2,25,30,22,41,22,13
1110002O04Rik,0,0,0,1,2,0
Hs6st1,6,10,8,10,7,5
Uggt1,7,12,2,22,15,2
Neurl3,1,4,0,6,2,6
Arid5a,6,4,1,18,9,8
4930403P22Rik,0,2,0,0,0,0
Kansl3,7,23,8,25,12,8
Lman2l,14,27,11,38,21,7
Cnnm4,0,3,1,4,3,3
Cnnm3,13,13,5,30,14,4
Ankrd23,0,0,0,0,1,0
Ankrd39,4,3,2,15,4,5
Sema4c,5,13,2,24,8,1
Fam178b,0,1,0,0,0,0
Cox5b,86,162,48,201,99,57
Actr1b,20,33,17,38,21,4
4933424G06Rik,0,1,0,0,0,0
Gm33533,0,0,0,0,0,1
Zap70,0,2,0,0,0,0
Tmem131,7,15,8,41,14,6
Vwa3b,0,0,0,2,0,0
Gm37020,0,0,0,1,0,0
Inpp4a,17,22,16,35,7,4
Coa5,4,11,1,7,3,11
Unc50,19,23,12,43,25,8
Mgat4a,7,12,3,16,6,6
2010300C02Rik,13,21,15,20,12,2
Tsga10,3,12,4,21,19,2
Lipt1,0,2,0,7,1,0
Mitd1,2,6,2,5,8,1
Mrpl30,14,55,16,104,43,20
Txndc9,15,65,9,86,40,14
Eif5b,35,77,24,121,48,24
Rev1,12,14,3,21,15,1
Aff3,4,13,4,18,10,6
Gm16152,1,6,0,5,3,4
Lonrf2,18,32,12,36,7,3
Chst10,8,5,2,19,8,2
Pdcl3,13,45,4,53,38,14
Npas2,0,3,4,0,0,0
Rpl31,76,194,45,265,166,47
Tbc1d8,1,3,0,5,3,2
Cnot11,6,17,6,23,11,2
Rnf149,9,26,7,31,17,9
Creg2,7,30,21,22,9,0
D930019O06Rik,0,0,0,0,1,0
1700066B17Rik,0,1,0,0,0,0
Map4k4,51,140,16,201,102,28
Il1r2,0,2,0,0,0,0
Gm16894,0,2,0,4,1,1
Il1r1,0,0,1,3,0,0
Il1rl2,0,0,0,0,0,2
