,0,1,2,3,4,5
Xkr4,18,15,22,23,28,20
Gm37323,0,0,0,1,0,0
Mrpl15,33,22,68,55,55,55
Lypla1,26,11,36,23,29,24
Tcea1,71,36,108,83,120,93
Rgs20,16,14,23,10,19,26
Gm16041,0,0,0,0,0,1
Atp6v1h,61,49,101,108,79,88
Rb1cc1,68,53,131,160,148,91
4732440D04Rik,5,6,8,9,9,8
St18,6,0,4,49,35,3
Pcmtd1,100,58,118,132,120,96
Gm26901,7,1,7,10,8,1
Sntg1,49,30,67,65,57,30
Rrs1,27,10,33,52,42,46
Adhfe1,9,5,11,4,5,6
3110035E14Rik,325,188,566,314,379,312
Mybl1,3,5,8,6,13,6
Vcpip1,61,32,80,68,67,50
1700034P13Rik,0,0,1,2,0,0
Sgk3,30,24,31,33,40,35
Mcmdc2,2,0,3,3,1,2
Snhg6,34,22,45,50,58,33
Tcf24,0,0,1,0,1,1
Ppp1r42,0,1,0,0,0,0
Cops5,81,46,110,149,112,85
Cspp1,62,28,65,73,69,42
Arfgef1,37,28,61,86,57,61
Prex2,2,7,8,4,5,3
A830018L16Rik,1,0,1,1,1,2
Sulf1,27,19,50,27,29,23
Slco5a1,3,1,6,6,3,5
Ncoa2,78,48,82,65,74,62
Tram1,63,42,90,64,65,85
Lactb2,7,7,8,13,8,9
Eya1,51,43,97,56,76,63
Kcnb2,21,17,25,15,20,16
Terf1,30,15,29,36,21,26
Sbspon,0,0,1,0,0,0
4930444P10Rik,0,0,3,1,0,1
Rpl7,258,208,385,432,312,307
Rdh10,12,7,24,10,20,15
Stau2,42,26,69,42,42,52
Gm7568,0,0,0,0,1,0
Ube2w,41,21,51,49,56,50
Tceb1,92,60,149,112,123,109
Tmem70,28,17,46,40,42,37
Ly96,6,2,12,7,10,5
Jph1,3,0,2,11,6,1
Gdap1,48,53,72,50,61,54
Crispld1,0,0,0,0,2,0
Mcm3,11,6,15,8,17,1
6720483E21Rik,0,0,1,1,1,0
Paqr8,32,17,44,27,40,24
Efhc1,0,0,0,2,0,0
Tram2,3,3,2,4,2,1
Tmem14a,24,18,60,46,36,45
Gsta3,3,0,1,5,3,2
Gm28836,0,0,0,1,0,0
Khdc1b,0,0,0,0,1,0
Kcnq5,6,2,13,5,13,4
Rims1,17,12,21,22,17,15
Gm27028,1,0,0,0,0,0
Gm29107,0,6,5,5,0,1
Ogfrl1,38,37,63,57,53,56
B3gat2,115,51,173,73,109,101
Smap1,77,70,109,101,131,114
Sdhaf4,46,44,66,36,39,51
Fam135a,25,12,44,32,38,14
Col9a1,2,0,2,3,12,4
Lmbrd1,134,92,183,155,155,121
Adgrb3,74,28,83,88,97,56
Gm9898,0,0,0,0,1,0
Phf3,103,50,155,165,144,110
Ptp4a1,127,74,184,240,146,96
Khdrbs2,81,41,96,68,76,84
Gm5415,0,1,0,1,2,0
Gm37724,0,0,1,0,0,0
Prim2,22,10,29,21,27,19
Rab23,31,15,42,51,29,27
Bag2,14,3,14,11,6,12
Zfp451,68,47,91,98,89,72
Bend6,29,6,16,26,36,20
Dst,236,146,304,377,252,207
Gm37233,0,0,2,1,2,0
Ccdc115,27,24,35,36,42,29
Imp4,36,17,35,42,32,30
Ptpn18,3,7,1,20,6,5
Amer3,0,0,1,0,0,0
Arhgef4,17,9,24,25,26,15
Gm38336,0,0,1,2,0,0
Fam168b,66,28,79,75,69,45
Plekhb2,30,14,34,41,38,31
1110002O04Rik,1,0,0,0,0,0
Hs6st1,14,13,22,24,22,17
Gm33280,1,0,0,0,0,0
Uggt1,44,19,62,38,48,33
Neurl3,7,1,4,12,8,0
Arid5a,14,10,16,10,15,4
4930403P22Rik,1,1,1,1,0,0
Kansl3,37,19,54,47,44,52
Lman2l,41,26,67,50,49,57
Cnnm4,10,8,13,5,7,3
Cnnm3,36,30,62,28,44,43
Ankrd23,0,1,0,0,0,0
Ankrd39,19,11,16,33,24,14
Sema4c,12,6,6,18,8,11
Fam178b,1,0,0,0,0,0
Cox5b,229,182,397,310,364,318
Actr1b,54,39,61,49,68,36
4933424G06Rik,1,0,1,0,0,0
Tmem131,28,15,40,40,33,41
Vwa3b,0,0,0,1,0,1
Inpp4a,40,17,46,43,61,36
Coa5,16,6,25,32,35,17
Unc50,74,47,96,129,95,58
Mgat4a,40,25,40,35,40,32
2010300C02Rik,7,6,10,6,11,7
Tsga10,15,10,21,17,10,10
Lipt1,1,2,3,2,5,0
Mitd1,16,14,30,18,25,21
Mrpl30,65,42,76,90,79,97
Txndc9,67,60,93,108,117,118
Eif5b,126,71,175,155,153,116
Rev1,26,17,47,34,52,40
Aff3,5,5,10,2,3,3
Gm16152,1,0,2,2,1,5
Lonrf2,23,10,47,26,35,21
Chst10,25,9,39,16,30,30
Pdcl3,44,22,64,75,46,52
Npas2,2,1,0,0,0,1
Rpl31,180,112,286,196,267,186
Tbc1d8,6,4,10,14,19,13
Cnot11,20,17,29,26,16,28
Rnf149,23,18,35,37,33,30
Creg2,77,44,126,74,92,69
D930019O06Rik,0,0,1,0,0,0
Rfx8,0,0,0,1,2,0
Map4k4,223,144,343,411,339,282
Il1r2,0,0,1,0,0,0
Gm16894,6,1,3,2,1,5
Il1r1,1,0,1,1,2,0
Il1rl2,0,0,0,0,1,0
Slc9a2,2,0,1,1,2,1
Mfsd9,2,3,6,3,2,2
Gm9915,0,0,1,0,2,0
Pantr1,67,47,96,62,96,91
Pou3f3,180,139,291,185,239,185
Dalir,2,0,0,0,0,0
Mrps9,19,13,36,27,41,28
Gpr45,32,16,34,24,43,30
Tgfbrap1,32,20,52,35,47,21
Gm28782,6,1,9,2,6,6
8430432A02Rik,2,1,2,0,0,3
AI597479,13,9,26,14,20,14
Fhl2,2,5,6,7,4,4
Nck2,7,6,19,5,7,8
1500015O10Rik,24,10,8,1,2,15
Gm29155,0,0,1,0,0,1
Uxs1,30,13,36,31,31,38
Tpp2,39,23,61,56,49,53
Mettl21c,1,0,1,1,0,1
Tex30,9,2,7,17,22,6
Kdelc1,12,7,14,19,18,15
Bivm,9,8,24,15,13,7
Ercc5,23,12,40,38,37,23
Gulp1,1,2,7,2,6,3
Col5a2,1,0,0,0,0,0
Wdr75,19,16,29,24,23,10
Slc40a1,3,3,5,6,5,6
Dnah7b,9,9,20,8,9,6
Dnah7c,0,0,0,1,1,0
Slc39a10,34,36,66,41,54,45
Gm28151,4,3,7,2,2,1
Tmeff2,107,50,124,401,190,95
Gm28322,0,0,1,0,0,0
Gm29325,2,1,1,10,2,1
9330175M20Rik,1,0,0,1,0,0
Sdpr,1,2,4,3,6,1
Nabp1,4,4,7,9,7,4
Myo1b,8,6,7,10,5,4
Stat1,26,22,48,29,30,68
Gls,81,57,114,122,98,51
Nab1,16,15,30,37,20,26
Gm553,0,0,1,0,0,0
Tmem194b,11,4,8,6,13,7
Mfsd6,49,41,68,64,46,62
Inpp1,12,15,35,17,19,25
Hibch,19,18,25,35,30,24
1700019D03Rik,21,20,42,31,38,28
1700019A02Rik,0,1,0,0,0,0
Pms1,13,8,14,12,16,7
Ormdl1,22,14,28,42,36,25
