,0,1,2,3,4,5
Xkr4,15,23,16,47,33,10
Sox17,1,0,1,1,5,0
Mrpl15,409,355,438,665,521,271
Lypla1,119,107,125,193,149,126
Gm37988,0,3,0,0,2,0
Tcea1,627,547,615,802,767,452
Rgs20,2,4,4,9,8,1
Gm16041,0,2,0,0,0,0
Atp6v1h,397,322,384,559,433,290
Rb1cc1,485,503,477,902,609,393
4732440D04Rik,54,31,28,76,79,25
St18,778,541,629,1154,1045,321
Pcmtd1,716,606,652,1183,820,647
Gm26901,8,2,6,11,11,0
Sntg1,3,2,3,1,1,0
Rrs1,207,166,184,394,256,118
Adhfe1,10,22,6,16,7,40
3110035E14Rik,6,3,5,5,15,0
Mybl1,17,18,26,45,37,14
Vcpip1,186,178,181,319,253,139
1700034P13Rik,5,0,1,2,2,4
Sgk3,372,455,295,521,418,332
Mcmdc2,3,9,6,5,5,2
Snhg6,605,472,534,408,725,239
Tcf24,0,0,2,1,3,0
Ppp1r42,0,0,0,2,1,0
Cops5,818,706,790,1251,892,527
Cspp1,208,218,196,327,307,146
Arfgef1,236,236,241,447,362,214
Prex2,11,17,9,17,12,1
Sulf1,0,2,7,0,0,0
Slco5a1,0,1,0,0,1,0
Ncoa2,351,343,384,627,482,241
Tram1,261,205,225,398,272,210
Lactb2,107,75,93,148,125,53
Eya1,3,2,5,9,4,1
Trpa1,0,0,0,1,0,0
Kcnb2,1,1,1,0,1,0
Terf1,134,123,155,221,174,101
4930444P10Rik,1,4,2,2,0,1
Rpl7,4719,4792,4697,7315,4940,3362
Rdh10,15,21,31,46,30,25
Stau2,89,72,62,140,113,41
Gm7568,0,1,1,0,1,0
Ube2w,255,224,222,400,214,166
Tceb1,1328,1099,1204,1695,1354,712
D030040B21Rik,1,0,0,2,0,0
Tmem70,208,190,237,313,188,160
Ly96,36,27,44,56,37,21
Jph1,529,299,466,761,626,240
Gdap1,127,162,83,193,132,82
Gm28784,0,0,0,2,0,0
Pi15,0,0,0,1,0,0
Crispld1,0,0,0,1,0,0
Gm15825,0,0,0,0,1,0
Pkhd1,1,0,0,0,0,0
Il17a,0,1,0,0,0,0
Il17f,0,0,1,0,0,0
Mcm3,44,46,55,64,63,32
6720483E21Rik,5,7,3,13,3,0
