,0,1,2,3,4,5
Mrpl15,3,8,18,10,11,14
Lypla1,3,6,7,2,4,4
Tcea1,10,14,28,10,21,16
Atp6v1h,4,9,14,9,6,8
Rb1cc1,8,11,22,13,14,9
4732440D04Rik,1,3,1,2,3,3
St18,0,0,1,0,1,0
Pcmtd1,11,11,13,10,11,19
Gm26901,0,0,1,1,0,0
Rrs1,1,2,2,2,5,4
3110035E14Rik,0,0,1,0,1,0
Mybl1,0,0,1,0,0,0
Vcpip1,0,7,6,7,8,4
Sgk3,3,0,3,0,4,2
Snhg6,15,9,36,11,20,10
Cops5,5,7,21,11,13,12
Cspp1,6,6,6,9,7,6
Arfgef1,9,9,17,13,5,11
Prex2,0,1,1,0,0,0
Sulf1,0,0,2,0,0,0
Ncoa2,5,6,21,15,8,10
Tram1,14,17,43,17,10,21
Lactb2,2,4,4,5,2,2
Eya1,0,0,0,1,0,0
Msc,0,0,0,0,1,0
Kcnb2,0,1,0,0,0,0
Terf1,6,3,7,5,1,8
4930444P10Rik,0,0,0,0,0,1
Rpl7,396,519,962,513,518,573
Rdh10,0,1,1,1,4,0
Stau2,1,1,0,3,0,1
Ube2w,3,5,8,10,7,4
Tceb1,22,25,41,22,25,24
Tmem70,2,4,5,3,5,3
Ly96,4,0,2,0,0,1
Gdap1,0,0,2,0,0,0
Il17a,0,56,0,50,69,26
Il17f,0,0,0,3,0,0
Mcm3,2,2,12,2,6,5
Paqr8,0,1,0,0,1,0
Tram2,0,0,1,1,1,1
Tmem14a,0,1,2,0,0,2
Gsta3,0,0,0,0,1,0
Kcnq5,0,1,2,0,0,0
Gm29107,0,0,2,0,0,0
Ogfrl1,11,1,7,4,18,7
Smap1,13,17,35,23,28,16
Sdhaf4,8,7,16,12,12,7
Fam135a,0,0,1,1,0,0
Lmbrd1,5,3,13,5,5,4
Phf3,12,18,44,32,24,18
Ptp4a1,15,22,32,15,10,10
Prim2,0,1,3,0,3,1
Rab23,1,1,3,3,2,2
Bag2,0,0,3,0,0,0
Zfp451,2,5,4,5,6,4
Bend6,0,0,0,0,1,0
Dst,1,2,4,0,7,2
Gm37233,0,0,0,1,0,0
Ccdc115,4,8,6,10,5,9
Imp4,5,8,21,9,9,13
Ptpn18,121,158,311,147,169,167
Arhgef4,0,0,1,1,3,2
Fam168b,6,10,19,7,9,7
Plekhb2,7,8,19,6,12,6
Hs6st1,1,3,3,2,0,1
Uggt1,3,5,11,7,8,6
Neurl3,36,31,96,37,37,62
Arid5a,16,23,40,23,37,48
4930403P22Rik,0,0,1,1,0,1
Kansl3,4,7,6,9,7,8
Lman2l,2,3,4,6,2,6
Cnnm4,3,0,3,0,3,1
Cnnm3,2,2,7,3,2,7
Ankrd39,2,4,3,2,2,0
Sema4c,0,0,2,0,1,1
Cox5b,23,45,78,43,61,51
Actr1b,4,6,9,5,8,4
Zap70,15,14,20,13,23,29
Tmem131,6,4,6,6,3,2
Vwa3b,0,0,1,0,0,0
Inpp4a,2,3,8,7,5,7
Coa5,1,4,7,2,4,9
Unc50,8,6,19,8,16,11
Mgat4a,2,5,9,7,11,7
2010300C02Rik,0,1,1,4,0,2
4930556I23Rik,0,0,0,0,1,0
Tsga10,0,0,0,1,2,1
Mitd1,9,7,12,9,10,14
Mrpl30,12,19,50,27,36,37
Txndc9,8,9,17,13,17,7
Eif5b,13,24,38,14,24,20
Rev1,0,2,6,1,3,1
Aff3,2,2,0,0,0,0
Gm16152,1,0,1,0,1,0
Chst10,0,1,4,3,0,3
Pdcl3,10,7,19,9,16,16
Rpl31,86,136,244,105,159,101
Tbc1d8,1,0,0,1,2,0
Cnot11,3,4,8,6,4,4
Rnf149,15,10,15,11,14,9
Creg2,0,0,0,0,1,0
Map4k4,29,18,32,28,18,21
Il1r2,0,0,1,0,0,0
Il1r1,0,1,1,0,0,0
Il1rl1,0,3,23,0,4,0
Il18r1,33,25,42,23,38,37
Il18rap,4,10,5,6,2,6
Mfsd9,1,0,1,0,0,0
Pantr1,0,1,3,0,0,0
Pou3f3,0,0,1,2,0,0
Mrps9,5,7,16,9,6,9
Tgfbrap1,1,1,5,1,6,1
AI597479,0,0,1,2,2,1
Fhl2,0,1,4,2,0,0
Nck2,0,2,3,5,1,0
1500015O10Rik,0,0,1,1,0,0
Uxs1,6,2,3,6,2,0
Tpp2,7,14,23,16,25,12
Mettl21c,0,0,0,1,0,0
Gm8251,1,0,0,0,0,2
