,0,1,2,3,4,5
Sox17,0,0,0,0,1,0
Mrpl15,6,9,17,16,10,20
Lypla1,2,9,6,10,5,4
Tcea1,4,11,22,17,13,16
Rgs20,1,0,0,0,0,0
Atp6v1h,2,4,21,14,13,11
Rb1cc1,5,9,15,15,9,9
4732440D04Rik,0,0,0,1,0,1
St18,1,0,1,2,3,0
Pcmtd1,8,17,19,13,16,16
Rrs1,1,2,6,9,4,7
Adhfe1,0,0,0,0,2,1
3110035E14Rik,0,0,2,0,1,0
Vcpip1,3,8,10,5,4,8
Sgk3,6,11,22,17,9,18
Mcmdc2,0,0,0,0,0,2
Snhg6,4,10,14,4,17,2
Tcf24,0,0,0,0,1,0
Cops5,2,5,18,14,18,7
Cspp1,0,3,6,6,9,6
Arfgef1,2,12,10,10,6,13
Sulf1,0,0,2,0,0,0
Ncoa2,2,6,14,8,8,5
Tram1,13,24,36,31,16,29
Lactb2,2,10,10,14,5,7
Terf1,3,5,6,10,0,3
Rpl7,131,366,595,402,294,335
Rdh10,1,2,1,1,1,0
Stau2,0,2,3,0,0,3
Ube2w,3,13,16,12,15,12
Tceb1,17,52,54,44,35,40
Tmem70,2,8,10,12,4,8
Ly96,23,36,54,33,17,36
Jph1,0,0,0,1,1,0
Gdap1,0,0,1,0,0,0
Mcm3,5,5,9,6,5,2
Paqr8,0,0,1,2,1,0
Tram2,0,1,2,1,1,2
Tmem14a,0,1,3,4,1,0
Rims1,0,0,1,0,1,0
Gm29107,2,0,4,2,0,1
Ogfrl1,22,64,85,70,67,51
B3gat2,0,1,1,0,0,0
Smap1,6,23,28,18,19,18
Sdhaf4,5,17,18,21,12,6
Fam135a,1,2,1,2,2,1
Lmbrd1,7,27,38,33,22,28
Adgrb3,1,0,0,0,1,0
Phf3,1,16,38,30,22,11
Ptp4a1,12,20,45,26,24,21
Khdrbs2,0,0,2,0,0,0
Prim2,0,1,3,1,3,1
Rab23,0,0,0,0,1,0
Bag2,0,0,1,1,1,0
Zfp451,10,3,8,4,8,5
Bend6,2,1,1,1,1,0
Dst,8,7,28,18,21,15
Gm37233,0,3,4,7,5,2
Ccdc115,5,13,14,16,15,11
Imp4,4,7,20,22,9,16
Ptpn18,51,147,222,172,136,137
Prss39,0,1,0,0,0,0
Arhgef4,1,0,0,1,2,0
Fam168b,9,12,26,18,13,16
Plekhb2,12,13,19,14,14,9
Hs6st1,2,9,21,13,6,11
Uggt1,1,6,19,9,2,8
Neurl3,36,62,71,34,26,43
Arid5a,9,53,31,17,19,29
4930403P22Rik,0,0,1,1,0,0
Kansl3,1,7,10,11,8,6
Lman2l,2,5,14,3,6,13
Cnnm4,1,1,6,2,0,0
Cnnm3,1,2,8,5,4,5
Ankrd39,5,3,4,3,1,4
Sema4c,2,2,4,3,1,3
Fam178b,0,1,3,1,2,0
Cox5b,15,73,74,80,68,83
Actr1b,1,8,9,10,7,8
Zap70,0,0,1,2,0,2
Tmem131,2,7,17,17,17,11
Inpp4a,2,8,11,8,18,12
Coa5,5,9,11,11,9,5
Unc50,15,16,23,26,25,10
Mgat4a,5,7,27,12,13,16
2010300C02Rik,0,1,0,0,0,0
Tsga10,2,2,9,1,3,6
Mitd1,4,7,5,4,11,5
Mrpl30,5,17,30,25,17,22
Txndc9,11,21,30,26,20,22
Eif5b,18,28,32,52,44,45
Rev1,0,2,5,6,7,3
Aff3,0,0,0,0,0,1
Lonrf2,0,0,1,1,1,0
Chst10,0,0,3,0,2,0
Pdcl3,11,17,26,22,15,17
Rpl31,54,114,174,96,124,123
Tbc1d8,2,2,8,5,3,1
Cnot11,1,1,8,7,5,2
Rnf149,15,34,51,39,49,43
Creg2,1,1,1,2,1,2
Map4k4,7,12,35,47,24,34
Il1r2,0,4,0,0,0,3
Gm16894,1,0,0,0,0,0
Il1r1,0,0,0,1,0,1
Il1rl2,1,0,0,1,1,2
Il1rl1,0,0,5,1,0,1
Il18r1,0,0,0,1,0,0
Il18rap,0,3,0,0,0,0
Slc9a4,0,0,0,1,0,0
Mfsd9,0,0,0,2,2,2
Pantr1,0,0,0,2,3,0
Pou3f3,1,0,0,2,2,0
Mrps9,5,7,13,6,8,7
Tgfbrap1,7,14,15,13,9,15
8430432A02Rik,0,0,0,0,1,0
AI597479,0,2,2,2,0,1
Nck2,1,0,0,0,1,0
1500015O10Rik,0,2,7,0,2,0
Uxs1,1,1,3,7,6,8
Tpp2,15,23,28,16,13,17
Mettl21c,0,2,1,1,1,0
Tex30,3,10,8,8,10,6
Kdelc1,1,1,3,2,0,3
Bivm,0,0,1,1,0,3
Ercc5,2,6,6,2,7,4
Wdr75,2,6,8,4,1,2
Slc40a1,27,16,41,57,32,25
