"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Wfdc17",-2.68671367139715,4.98611037567046,-6.69057994279787,4.94120210773618e-05,0.354135955061452,-0.317264027096181
"Uchl1",1.21924591230822,6.66635927700315,5.62387268591162,0.000204948381154021,0.488557552862756,0.0987604085135292
"Mustn1",-1.43764016050288,5.80389602170577,-5.5321501021977,0.000233296099486945,0.488557552862756,-0.170925818520321
"Fnbp1l",-1.13424053000676,7.21993727216199,-5.36196383519313,0.000297622788975582,0.488557552862756,0.104848219086175
"Irf2bp2",-1.21663072245634,7.10276843969289,-5.23140219568916,0.000359759724632526,0.488557552862756,-0.0388894155490949
"Tmc7",-1.55040646777659,4.8630971449452,-5.02462338736584,0.00048819712904754,0.488557552862756,-1.11675912075231
"Noct",-1.93888782216689,4.84436417419721,-4.98095484762116,0.000521116690074475,0.488557552862756,-1.1646285079499
"Thbs1",-3.04772976255324,4.19559091402182,-4.86884528036634,0.000616928251592761,0.488557552862756,-2.71558024478425
"Stom",-0.870382949111135,6.24652847679912,-4.84613484832265,0.000638525756987853,0.488557552862756,-0.587748007866145
"Spry1",-1.14874160694309,5.82361925474527,-4.7771043902708,0.000709247614584271,0.488557552862756,-0.804834882985539
"Ddc",-1.1415903310227,6.23081718730586,-4.6955362455934,0.000803680226448529,0.488557552862756,-0.744636789409251
"Ndrg1",-0.992990227426468,8.70464775487245,-4.68405158112465,0.000818011808895363,0.488557552862756,-0.525558388219749
"Zbtb16",-3.45863469595396,3.18923462626699,-4.46707382748002,0.00114631840048974,0.599176629878388,-3.55481736968273
"Kbtbd11",-0.936972805732493,6.32719528294898,-4.45382604951498,0.00117043014068612,0.599176629878388,-0.971230644814871
"Clip1",-0.755967006366449,7.03935961486456,-4.39419925949765,0.00128577587640087,0.614343713744337,-0.934126184305639
"Asb4",-1.76933902614093,4.97185986198478,-4.29949201896098,0.00149429637907474,0.652807532636883,-1.60040117971169
"Dpp9",-1.28318291074756,5.08721200016462,-4.14346923689584,0.00191916652253338,0.652807532636883,-1.68500586822006
"Crispld2",-2.8103296352275,4.04668391821686,-4.11177915810378,0.00202002597533534,0.652807532636883,-2.94374653059369
"Lrp8",-0.899283952526352,6.7962846812721,-4.09149980489537,0.00208747589774451,0.652807532636883,-1.30977898133577
"Snrk",-0.705342784506645,7.94131086711698,-4.0860821543071,0.00210589233538143,0.652807532636883,-1.25071513139914
"Cxcl12",-1.14031438865429,10.3948655807247,-4.08389012466109,0.00211339215456611,0.652807532636883,-1.22333309657634
"Parp12",-1.00661117184028,5.08548768080358,-4.06871720942523,0.00216607906283715,0.652807532636883,-1.75476090223824
"Akap12",-0.878160820460803,7.54842145703569,-4.06666426662664,0.00217331287444243,0.652807532636883,-1.28818465124184
"Gm10076",-0.849465041682233,7.29809863874919,-4.06306840392694,0.00218604447931983,0.652807532636883,-1.30492836063919
"Vcl",-0.717879031261891,6.25329396040024,-3.97445460510187,0.00252579564738886,0.724095096193438,-1.51817690577961
"Fmo2",-0.956789582160316,6.69828499966283,-3.87495386083374,0.00297407235099429,0.795756511193739,-1.57805593791674
"Capg",1.30666633312835,7.15082297484136,3.83825055167419,0.00315977314858422,0.795756511193739,-1.62851643533113
"Pln",-2.38505627186438,4.76565423435601,-3.83752948961474,0.0031635402807858,0.795756511193739,-2.43695924094393
"Rbm14",-1.10919933198627,4.44515705922083,-3.82684964688773,0.00321988821328568,0.795756511193739,-2.29728232760198
"Igf1r",-0.686263275458853,9.56318448228558,-3.76717147605421,0.00355461276296011,0.826324628226963,-1.63691514015248
"Net1",-0.762973667842663,7.26373966720795,-3.72926750735789,0.00378586128265186,0.826324628226963,-1.72170294408878
"Errfi1",-1.03490652561694,6.18107261208883,-3.70735558174952,0.00392663414204593,0.826324628226963,-1.84133569416695
"2900026A02Rik",-0.822953050120111,6.26194138937089,-3.7046794331631,0.00394419630718615,0.826324628226963,-1.83211201759192
"Slc19a3",-0.948797217834372,5.78695842000541,-3.67817703772498,0.00412259075116329,0.826324628226963,-1.94340211800341
"Pik3ip1",-1.18401742957014,6.5311257953703,-3.63431192671678,0.00443650562431987,0.826324628226963,-1.89001472157664
"Tspan4",0.780622202704428,6.65885799056672,3.61835290503418,0.00455678368303775,0.826324628226963,-1.9269517120249
"Sorbs2",-0.770778981902663,7.86680409271314,-3.59342970507393,0.00475143127162228,0.826324628226963,-1.88010919881897
"Foxo3",-1.34052886809631,4.51805699962369,-3.57202314621382,0.0049254910244432,0.826324628226963,-2.4698561206063
