"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nov",4.63781996614188,4.97234897819834,7.48007179259299,6.61489266943324e-05,0.205620256131415,1.88582792580032
"Abhd2",-2.56325742490975,6.05656933343941,-7.21449412992143,8.5645108590456e-05,0.205620256131415,1.79176094532416
"Htr2c",-4.15738197127736,5.2430970186736,-6.78857118890092,0.000131618077920146,0.205620256131415,0.98998391020669
"Gjb6",3.75833403314274,3.35530495502979,6.74374971863258,0.000137864955831924,0.205620256131415,0.779811257258806
"Pcolce2",-2.26544298294759,6.13726015921273,-6.71055148621169,0.000142702980873347,0.205620256131415,1.3924124049976
"Thbd",2.43883096037569,3.94246230706069,6.33883529463184,0.000211794194516096,0.205620256131415,0.895567291663649
"Igfbp6",1.72728889150225,5.51326366024647,6.27537296181853,0.000226933416258455,0.205620256131415,1.02711660869576
"Adgre4",2.06224372552694,4.10535789548028,6.20650943561122,0.000244722907701715,0.205620256131415,0.828303177807843
"Twist1",3.2730003141201,2.20546491963773,5.96861124272417,0.00031905254964562,0.205620256131415,-0.480144036817076
"Timp1",3.5269550763951,2.00832592830465,5.90723644844578,0.000342043438043221,0.205620256131415,-0.715982240845834
"C1galt1c1",-1.80775636175796,5.70232537715176,-5.90520104793591,0.000342836467858765,0.205620256131415,0.630257315166191
"Sulf1",-3.10756416344628,5.99700707420911,-5.90322503934648,0.000343608290948709,0.205620256131415,0.601069326526602
"Fam73a",-1.70695770227644,5.11733521713625,-5.7675786017565,0.000401447391228848,0.205620256131415,0.456699518625237
"Gde1",-1.67084664191402,7.87601453410426,-5.75025903931526,0.000409571984654749,0.205620256131415,0.503965045497259
"Cd59a",-2.21741310745524,6.49997584883333,-5.73658232490421,0.000416115301991524,0.205620256131415,0.477934346322971
"Gm44109",1.85842445088901,3.48935301153456,5.68785347347392,0.00044037798085821,0.205620256131415,0.237204878543479
"Aph1c",-2.04937658011083,5.19473416143247,-5.66724665577308,0.000451101864260267,0.205620256131415,0.347943189911427
"Wfdc2",-2.68704645962453,7.11670442722877,-5.60906891393793,0.000482955108392845,0.205620256131415,0.348254074270398
"Igfbp2",-2.27391704024818,9.52587430088809,-5.53857018606546,0.000524901451059024,0.205620256131415,0.271085347309652
"Bsg",-2.47119641137263,10.5395835125329,-5.53837793577539,0.000525021161653295,0.205620256131415,0.267533643978106
"Slc31a1",-2.51493967850772,6.61458530860178,-5.52699328773709,0.000532163790903576,0.205620256131415,0.255803287393845
"Wfdc6a",-3.49827507858917,0.468194039610988,-5.4686572245894,0.000570473759166995,0.205620256131415,-1.46852942330021
"1500015O10Rik",-1.81608339848352,10.5772211848528,-5.45712382825896,0.00057839995376035,0.205620256131415,0.180191814284596
"Msmo1",-1.29272315402153,5.69506658720993,-5.41395405553449,0.000609156055721218,0.205620256131415,0.130819435747717
"Ndrg1",1.15376451399174,5.10712020061983,5.41317088949567,0.000609730301328634,0.205620256131415,0.133739237979044
"Igfbp5",1.65660158128769,6.04959038121962,5.3159565223196,0.000685832073158883,0.205620256131415,0.0345734585006374
"Atp6v0b",-1.13525866129303,8.13466533895685,-5.31504656514154,0.000686591769585673,0.205620256131415,0.0314925442191747
"Prg4",6.62539595589382,3.11695902629721,5.28444774471364,0.000712681367238354,0.205620256131415,-1.02846496409792
"Vit",1.52894895590815,5.15283069604302,5.27555849260609,0.000720462410408555,0.205620256131415,-0.0174405829099475
"Kl",-3.42269937288817,7.6679431828223,-5.25502977122363,0.000738789102110894,0.205620256131415,-0.0381711183302844
"Emb",-1.35906471887903,7.9278356035127,-5.22723249934545,0.000764421555560088,0.205620256131415,-0.0669648310405648
"Tmem237",-1.93024791894944,7.28177712674041,-5.22688387680121,0.000764749135751609,0.205620256131415,-0.0677398030871208
