"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-4.68503282046228,6.79146494205238,-9.91366092216478,6.31485657408461e-06,0.0714147129963229,2.96083152341978
"Hist1h1c",-1.13957041307029,7.29131499411195,-8.60001617142428,1.8940865254285e-05,0.0731124241838821,2.59790840377099
"Rpl27-ps3",-1.08290780374608,3.99696262135095,-8.57336547568191,1.93949308118884e-05,0.0731124241838821,2.00342068457513
"H2-Eb1",-2.92143886257839,1.85777566609998,-7.76206291119548,4.11101600622095e-05,0.116228700035882,-1.00775304464018
"Mfsd12",0.832726540592078,4.26468724388334,6.99944941703425,8.82768764138613e-05,0.199664639072872,1.17418854404986
"Prdm1",-1.27434244217097,4.20888546499794,-6.48915090989122,0.000152486350294767,0.247952704732284,0.853279866683279
"Lst1",-0.927988998041342,7.25995481185706,-6.42126893635516,0.000164361994720008,0.247952704732284,1.06894453891934
"Ptgds",1.32382372052743,6.15184001694604,6.36282858857065,0.00017540203712603,0.247952704732284,1.02114270557222
"Plaur",-0.723967254150942,5.83084804232893,-5.88707757915871,0.000302498861470613,0.335884525950657,0.624528610322218
"Dgkz",0.590198458749552,5.63986156247168,5.77706314193849,0.000344546689731358,0.335884525950657,0.492853735131302
"Nup88",-0.682476589355417,5.65726533571162,-5.75522140432066,0.000353632761065691,0.335884525950657,0.49100162792424
"Gm8186",-0.864188419106876,3.43370502674895,-5.7486729876776,0.000356407667469086,0.335884525950657,-0.0309278532729964
"Keap1",0.623511860834568,5.03085646252338,5.56852354615578,0.000442902955178204,0.342422837347974,0.235266627081082
"Tnfaip3",-0.620870245391844,8.66787536444474,-5.50348452104315,0.000479560655588006,0.342422837347974,0.102569328941471
"Ccl9",-0.766685670288216,6.8612502148603,-5.49841948649226,0.00048255135817808,0.342422837347974,0.230199182802195
"Peg10",-0.770858652842341,3.49578668891469,-5.49520381182744,0.000484460641751489,0.342422837347974,-0.198935349509497
"1500015O10Rik",-4.03724850702226,0.876309556799538,-5.32773352328264,0.000596249028342237,0.383850314622864,-2.70714748052083
"Rnf19b",-0.537303612368018,8.02277876874755,-5.30828220160748,0.000610956376621412,0.383850314622864,-0.0328412795411746
"Nkiras2",0.596512814836765,4.42889169820666,5.19320750925178,0.000706460992981763,0.407773895470995,-0.224499638746699
"Mcm7",0.722881578049286,3.51335728254366,5.14365352279418,0.00075249058311318,0.407773895470995,-0.550452015993339
"Mapk6",-0.688501986685916,4.8100672686585,-5.0930226198182,0.000802908684684804,0.407773895470995,-0.246916307783152
"Vcam1",-0.811741770092156,4.69588746984288,-5.08812735681541,0.000807974612691211,0.407773895470995,-0.265876449022645
"Myc",0.527953681531589,5.59580262780525,5.03839967712466,0.0008614500187309,0.407773895470995,-0.265553215031955
"Pten",-0.537190737849342,7.21758851048604,-5.03487893271142,0.000865379210478722,0.407773895470995,-0.271112105436472
"Nr4a1",-0.688375573805618,8.68962793254537,-5.00270272109847,0.000902203245171924,0.408120659985971,-0.392048755984006
"2700038G22Rik",0.835858124126809,3.17724360457764,4.96773393795241,0.000944161552640704,0.410673961492836,-0.864401055050794
"Slc1a3",-0.627971955389843,7.25497331676536,-4.89452933087562,0.00103901685317648,0.412748147955625,-0.42717702540257
"Gsto1",0.627930661225396,5.04323763650854,4.87854834338407,0.001061069167456,0.412748147955625,-0.472503840407153
"Prpsap2",-0.42964845239149,5.96093866641591,-4.8211234165032,0.00114459435528741,0.412748147955625,-0.493968355522466
"Cxcl16",-0.439883151861673,6.48841660424426,-4.81003624092714,0.00116152665433423,0.412748147955625,-0.507622336634879
"Cryba4",-0.434140509857033,6.53132934441741,-4.78476991724057,0.00120113533118402,0.412748147955625,-0.537067973634477
"Sema4c",0.606221388099972,4.68728493727643,4.75236246244927,0.00125409311572655,0.412748147955625,-0.642098728665244
"Inip",0.597392452285272,3.85175945130282,4.74597812190792,0.00126482087606279,0.412748147955625,-0.794669252699769
"Taf7",0.41048794163291,6.3362538267069,4.68467864473866,0.0013730268646847,0.412748147955625,-0.654964480058634
"H2-Aa",-2.16267445832068,1.90847328104869,-4.68344220766651,0.00137530988938074,0.412748147955625,-1.88268019501208
"Bcl2a1d",-1.35666466189948,6.28748515460768,-4.67011135337173,0.00140018701681894,0.412748147955625,-0.67019762328168
"Mif",-0.534629612978264,7.2157514459713,-4.63295989666596,0.00147211880266431,0.412748147955625,-0.724080937279648
"Irf2bp2",-0.683106865394577,8.1068515937622,-4.60897496905716,0.0015206724763324,0.412748147955625,-0.784328940722952
"Rps27rt",-0.628704238883342,6.84522505702568,-4.60248931473744,0.00153409676294012,0.412748147955625,-0.753049976363168
"Apbb1ip",0.448256146951271,8.24640236426614,4.51988648387113,0.00171673118149938,0.412748147955625,-0.891577481863775
"Ly96",-0.499846684780075,5.95105670799829,-4.49425500451633,0.00177806909157195,0.412748147955625,-0.878359977975144
"Rtn4rl1",0.467707634668887,6.32352931695712,4.49387799029143,0.0017789887599219,0.412748147955625,-0.881162466579252
"Ccl5",-0.965245487461202,2.38982727011117,-4.45375038277364,0.00187986799630646,0.412748147955625,-1.59568698275915
"Itga5",-0.653865988892876,4.2114140890274,-4.44719078887046,0.00189693681014133,0.412748147955625,-1.01584150847393
"Socs1",0.910794949877656,4.1281273267812,4.42991175820744,0.00194270305359981,0.412748147955625,-1.08198940475114
"Rab3a",0.735622900036707,3.20235267617716,4.42514268700358,0.00195554309896336,0.412748147955625,-1.31488072550841
"Cxcl10",-0.69924283347916,7.22664633393298,-4.42193251226311,0.00196423748379475,0.412748147955625,-0.973958332671312
"Tle3",-0.531862559809921,5.67683538061498,-4.41624826924925,0.00197973487124016,0.412748147955625,-0.97466840860791
"Alkbh5",-0.385376015383447,6.41224818430259,-4.40015985361273,0.00202431596321572,0.412748147955625,-0.992841510898656
"Cklf",-0.433390251650084,5.96492431018046,-4.38380379629811,0.00207074853227661,0.412748147955625,-1.01263727250954
"Tln2",0.433216315930794,5.00566038874173,4.37318940739477,0.00210149376171834,0.412748147955625,-1.04684296256809
"Cox16",-0.684824456810334,4.43400493394967,-4.36994175998169,0.00211099863098127,0.412748147955625,-1.07964747404805
"Pcgf1",0.778698616172822,2.79853901025282,4.35950368554676,0.00214186221000835,0.412748147955625,-1.5469619797178
"Ccrl2",-0.655837232867778,8.12329944068564,-4.33425441373495,0.00221854529280651,0.412748147955625,-1.10227098999269
"Gm26669",-0.810724089646863,6.17354439830316,-4.32558358087992,0.00224555574286821,0.412748147955625,-1.08407101799192
"Thap7",0.555167891001193,3.92537640990071,4.32324728447266,0.00225289383965203,0.412748147955625,-1.21422017384914
"Clock",-0.460251629122673,4.7914660582381,-4.31393201824551,0.0022824095812472,0.412748147955625,-1.1210558682297
"Zfp729b",0.806253249672726,3.29263622031824,4.2987471023145,0.00233141821102386,0.412748147955625,-1.41179434521958
"Fen1",0.5593809201794,3.68223423716947,4.29154662580485,0.00235505162747462,0.412748147955625,-1.2958044836623
"H2-Ab1",-1.22660705863647,3.77930239345651,-4.28909649577982,0.00236315204234465,0.412748147955625,-1.26295024320373
"Apod",1.14437628607043,4.76195240875495,4.28370937520365,0.00238106795136216,0.412748147955625,-1.17829408460474
"Rcbtb2",-0.414258919888962,7.43048071839908,-4.28091807312536,0.00239040831092576,0.412748147955625,-1.1483683319146
"Ifrd1",-0.58044440596819,8.35825221931053,-4.26785134921717,0.00243465911081409,0.412748147955625,-1.18835996594073
"Utp23",0.562776600052099,3.74271677561817,4.26459193301215,0.0024458337824466,0.412748147955625,-1.31183445081843
"Xlr4a",-1.20991099948749,1.78383285708401,-4.2523339293254,0.00248835511730564,0.412748147955625,-2.11250994665138
"Mcm5",0.850556152527324,2.41514749228874,4.25068677375144,0.00249412910520336,0.412748147955625,-1.82763609065098
"Man1a",-0.512856257111296,6.62395482464233,-4.24333988547405,0.00252005884702008,0.412748147955625,-1.18722621237826
"Zc3h12c",-0.7609981861521,3.02807756941503,-4.23900932699471,0.00253547835842945,0.412748147955625,-1.49486722692224
"Tmem229b",0.846622384252459,3.11178867158031,4.23641378037134,0.00254476865608767,0.412748147955625,-1.53905564946933
"Zfp120",0.484424678648266,4.91485428400326,4.22635953005161,0.00258110244578491,0.412748147955625,-1.2270040129782
"Rabgef1",-0.470353339269025,5.17412159646217,-4.2137070951419,0.00262761857742008,0.412748147955625,-1.23008064432292
"Bmp2k",-0.461075402555827,8.02080749147023,-4.20957389142774,0.0026430084034282,0.412748147955625,-1.24811915154684
"9930111J21Rik2",0.470527708059288,6.35779881025154,4.20389695877778,0.00266430407646659,0.412748147955625,-1.23702546430957
"Gm26759",-1.44641431523175,2.27499930499996,-4.12694868453211,0.00297183923675149,0.449908713804876,-1.94482300645335
"Tnks2",-0.37364168179244,5.84401198316825,-4.11889814538286,0.00300614768387407,0.449908713804876,-1.34369194709706
"Ier2",0.629744367110056,10.7425350444326,4.11485762022402,0.00302352659378995,0.449908713804876,-1.451110494289
"Csf1",-0.655634922622985,6.47403818337525,-4.08821703887009,0.00314083944524802,0.461295497224803,-1.38271296560635
"Fads1",-0.394797410827847,4.70715677036847,-4.07211444182263,0.00321410331069279,0.466003773597754,-1.41743574055922
"Hnrnpc",-0.408772385345493,7.15018083008846,-4.05170306911719,0.00330960992667367,0.467633430022281,-1.43089097645822
"Gm10076",-0.725325029493941,6.62924476857435,-4.04397432937724,0.00334656189323492,0.467633430022281,-1.43947650681478
"Erdr1",0.860292803884166,6.84701603595006,4.04170957421197,0.00335747334774447,0.467633430022281,-1.44365395144688
"St3gal6",-0.422605138721106,8.13793134418408,-4.03485196591937,0.00339074553557583,0.467633430022281,-1.46403339171356
"Gm26782",0.641074487330159,3.34909200889858,4.01832283188055,0.00347240028123489,0.473124997355245,-1.66388070303663
"Tfip11",0.568177707405334,3.9703578891868,4.00283506703844,0.00355082006525838,0.478050287119131,-1.56476516046279
"Gdf15",-1.70184665334631,2.9620585011789,-3.98777289530576,0.00362890241572674,0.482814793170043,-1.7946747067551
"Chpf2",0.636321857846996,3.84751529647654,3.96235167043003,0.00376487595726788,0.485205498636475,-1.62862879243589
"A930011G23Rik",-1.03818119222536,1.89862329056536,-3.9559767557891,0.00379982059366087,0.485205498636475,-2.24552563643675
"Cenpb",0.421002347940947,5.59705475795227,3.94962850965537,0.00383496331375168,0.485205498636475,-1.56136019916346
"Ndufb3",-0.431456125636834,6.91634823860696,-3.9480750996254,0.00384361542914564,0.485205498636475,-1.5632000584835
"Hist1h2bc",-0.959988510405342,6.9729385912026,-3.94155956581486,0.00388013295841981,0.485205498636475,-1.57165536806347
"Arl4d",0.733139027877012,4.61739666662273,3.93728395527347,0.00390429749543897,0.485205498636475,-1.59444680168853
"Slc6a6",0.361405533859568,6.90838470673112,3.92964521349112,0.00394787010854435,0.485287641929653,-1.58709525342646
"Nr4a3",-1.31108916719843,3.02787749752329,-3.91170737648103,0.00405224291957753,0.485570786336192,-1.83522457038422
"Pgrmc1",-0.354188710060218,5.97702046217296,-3.9103970684224,0.00405998154426033,0.485570786336192,-1.61250180128433
"Ckap4",0.456119342689357,5.33063353522032,3.88938549235915,0.00418625109498712,0.485570786336192,-1.63965831382464
"Pgk1",-0.585277383990725,4.6761552138733,-3.88760172254592,0.00419716183885975,0.485570786336192,-1.64772588234569
"Zfp839",0.465606716744824,3.97149680634074,3.8830514330123,0.00422513199431071,0.485570786336192,-1.70095439980297
"Col6a3",-0.615943588901741,3.58969758808247,-3.88060311210675,0.00424026370590172,0.485570786336192,-1.73778887692849
"Kmt2d",-0.445665516669563,5.11391744865192,-3.86814777558751,0.00431814252676325,0.485570786336192,-1.6671556340142
"Ston2",-0.766666456165286,2.75981440925255,-3.85408997828848,0.00440787531262906,0.485570786336192,-1.95585098095966
"Mras",-0.686049743109853,4.98482025999957,-3.8443500635198,0.00447120992877663,0.485570786336192,-1.69845095252431
"Bet1l",0.393504530075864,4.62263962004328,3.83812698264975,0.00451218286134315,0.485570786336192,-1.71401892531669
"Lrrc24",0.604695943577225,3.11956292389882,3.83560243219733,0.00452891837849811,0.485570786336192,-1.90720801996816
"Rab3d",0.987866510242749,1.6445489955739,3.83509074849914,0.00453231843172142,0.485570786336192,-2.54253909471099
"Tirap",0.4663251388427,3.62729575953909,3.81919051908899,0.0046393384472699,0.485570786336192,-1.81717109935559
"Picalm",-0.595508645141518,8.97291646499955,-3.81170048597368,0.00469068062332607,0.485570786336192,-1.75474479607295
"Nat9",-0.428940845922582,5.193856384428,-3.79185482854924,0.00482966208267834,0.485570786336192,-1.76620796284289
"Spint2",-1.71869602871973,-0.35853451411393,-3.790176463557,0.0048416150859616,0.485570786336192,-3.47100608999311
"Cd83",-0.624952620176295,10.7478705566235,-3.78239798820833,0.00489742411509177,0.485570786336192,-1.83063012193884
"Mrpl44",0.580952351556392,3.23117618894586,3.76905047835586,0.00499478967172673,0.485570786336192,-1.94929417299275
"Flot1",0.378422573451713,6.02195290775074,3.75976789903557,0.00506371467364859,0.485570786336192,-1.81033962158096
"Mthfd2",0.987594190916882,4.18781628024142,3.72920058331279,0.0052979170021604,0.485570786336192,-1.87588191300655
"Tmem55b",0.36203265066685,6.84519722228891,3.72818699954312,0.00530587731308456,0.485570786336192,-1.85127216241779
"Wdr46",0.444920255357831,4.27967880458489,3.72324408208878,0.00534487953152571,0.485570786336192,-1.87060223333181
"Gna11",0.418232385085159,4.62926980022115,3.72065533677772,0.00536542743438408,0.485570786336192,-1.86252407977087
"Spsb1",0.487639624347833,5.29818983931721,3.70254190098117,0.00551156767532514,0.485570786336192,-1.88314216561203
"Txnl4a",-0.346305882413386,5.15013528925179,-3.70244119340561,0.00551239189911857,0.485570786336192,-1.88344717513369
"Mgat4b",0.337508945006279,5.75254742364086,3.69419096065231,0.00558036071326212,0.485570786336192,-1.89691840775152
"Crebl2",-0.742001329304343,2.87916634212093,-3.6727744186185,0.00576098158302263,0.485570786336192,-2.10351919991771
"Abcg1",0.334260115127331,6.13325345495508,3.66279929280508,0.00584721546101495,0.485570786336192,-1.94012004647416
"Gstp1",-0.46761584032828,5.97945187844883,-3.65693324766537,0.00589856477126941,0.485570786336192,-1.94917461787889
"Nup62",0.542894410321409,3.82973395377675,3.64850692008028,0.00597316379585014,0.485570786336192,-1.99345494490457
"Slc25a23",0.725651768593678,2.97604933726857,3.63024412506198,0.00613829819805933,0.485570786336192,-2.16134568526759
"Mgat5",-0.333084606748864,5.17617531823413,-3.62532244766078,0.0061836228949157,0.485570786336192,-1.98587824796274
"Gprasp1",-0.644300665605078,4.69148972047471,-3.61226866094805,0.00630556262971723,0.485570786336192,-2.00053613320536
"Klrd1",-2.50543156398816,1.15743033837745,-3.60668833123539,0.00635846462997162,0.485570786336192,-2.94941138795976
"Ildr1",-0.674299817799342,2.25388313282671,-3.59208363277462,0.0064991539108307,0.485570786336192,-2.37606253298088
"Dnajc12",-0.550971732243523,4.28289528819798,-3.58858420298783,0.00653335115330901,0.485570786336192,-2.0356989560864
"Ppp1cb",-0.329865687160256,6.16729122309452,-3.58728353570839,0.00654611005172014,0.485570786336192,-2.04353882641892
"Gm15545",1.38283304025587,0.085446916642525,3.5866667918558,0.00655216921080626,0.485570786336192,-3.40137501024501
