"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-5.70032037509371,6.83761660342563,-8.60345877157791,1.05262032248749e-05,0.0403399332017761,2.12198286943907
"Nrgn",-3.08699354842783,8.6668361900506,-8.37375364563972,1.31657745436606e-05,0.0403399332017761,2.94459214467146
"Snap25",-1.93947508314471,9.31897144011237,-6.65986662943165,8.26559528293323e-05,0.133118330788707,1.62820983886545
"Igfbp5",-2.3742744219379,6.18819035002363,-6.61714198655494,8.68918608281377e-05,0.133118330788707,1.25233305143038
"Sncb",-2.25119423755157,7.80994213763301,-6.03422104137779,0.000175791643271766,0.186017414772181,1.05647749511767
"Chn1",-1.88421336596574,7.96754872497147,-5.98829102457563,0.000186173118802451,0.186017414772181,1.02394739620022
"Scn1b",-1.72207040643068,7.0120433042986,-5.73668251424135,0.000256208071967156,0.186017414772181,0.683891557378087
"Slc12a5",-1.99522300518255,6.78604234437258,-5.70488440479874,0.000266921131379446,0.186017414772181,0.616507776278103
"Cck",-3.55065244374397,7.26020028896863,-5.64451468908359,0.000288618004160832,0.186017414772181,0.401554476232365
"Pfkp",-1.83200299755999,6.0169591437896,-5.60574497731263,0.00030355322253946,0.186017414772181,0.343942805640504
"Got1",-1.45172826075175,7.27132926968055,-5.49809075978748,0.00034958381400386,0.194749964746878,0.47754330423234
"Wasf1",-1.458592128468,6.99322539360435,-5.29511377834231,0.0004582217997338,0.212264901384875,0.224917595020535
"Rprml",-2.4462941392788,5.42068505240852,-5.14969118579078,0.000558256948835817,0.212264901384875,-0.31181579646282
"Egr1",1.92233365588718,9.75852312720258,5.14819806545473,0.000559398710416292,0.212264901384875,0.0742580697324327
"Sparcl1",-1.37620308199454,7.42949154342422,-5.13868814099977,0.000566730024232006,0.212264901384875,0.0805009163737767
"Nsf",-2.08092165922817,8.10466628599602,-5.13008174030157,0.000573453996801217,0.212264901384875,0.0773483996220694
"Pou3f1",-2.35090036004562,5.62516198419634,-5.11077166896195,0.000588854980995901,0.212264901384875,-0.291020938364002
"Btg2",1.83560529422023,8.71391739647873,4.9035603434494,0.000785207067427493,0.26148110488879,-0.200657873895108
"Camk2n1",-2.24539690349037,8.25098548557477,-4.84971652626072,0.000847032859480554,0.26148110488879,-0.260016932609179
"Hpcal4",-2.85286598605218,6.14816275584985,-4.83159995129618,0.000868993232218613,0.26148110488879,-0.444207062047946
"Pde4b",-2.19211844851577,5.27160421149767,-4.80992860402208,0.000896067755004013,0.26148110488879,-0.692767511822503
"Smim13",-1.3283899201309,6.27169561863901,-4.70574542398413,0.00103946556848695,0.289538409258548,-0.519618783403784
"Epha5",-1.53830660337691,6.94954075965022,-4.61007829974533,0.00119292154401215,0.300456267065626,-0.587715654496773
"Chchd10",-1.22171875595075,7.53918861094439,-4.60981858095018,0.00119336972864126,0.300456267065626,-0.559497078395004
"Anks1b",-1.74187923979483,7.6557762622836,-4.56590688928561,0.00127179743837969,0.300456267065626,-0.615624863443683
"Nell2",-1.27174490160663,7.73719221071507,-4.55766103296017,0.00128712975166275,0.300456267065626,-0.623773811817146
"Atp1a3",-1.2810395647763,8.39851428923177,-4.52182028468079,0.00135610364484469,0.300456267065626,-0.668541402176924
"Ier5",1.52408613359541,8.32214422175588,4.47824242783024,0.00144532655823967,0.300456267065626,-0.72913979734204
"Thy1",-1.81864340941295,6.82842361329639,-4.46895174392241,0.00146514699568604,0.300456267065626,-0.767521743607426
"Gas7",-1.7028946520793,6.22633802945831,-4.43718700007735,0.00153513310913044,0.300456267065626,-0.852018949306822
"Dnm1",-1.695966461795,8.40663001270897,-4.43548048095714,0.00153899257699378,0.300456267065626,-0.781663660364568
"Arpp21",-1.99254311744699,7.10479109406708,-4.42238228046002,0.00156896223010771,0.300456267065626,-0.813948496158288
"Vsnl1",-2.31008114864403,7.83341079183996,-4.38234609833547,0.00166448897655774,0.308443904952922,-0.853317537036253
"Nefl",-1.8884357084886,6.19110338215358,-4.36359622007047,0.00171134020372052,0.308443904952922,-0.958574795744664
"Gda",-2.36559790253763,5.83177553059372,-4.24194197798876,0.00205155907552,0.356383013403707,-1.18694435629759
"Gabra1",-1.67855197802011,6.82402574974784,-4.22457855423235,0.00210570646539448,0.356383013403707,-1.07688811377712
"Ncdn",-1.86760182141725,8.27413258940493,-4.19600997323706,0.00219812776300206,0.356383013403707,-1.09864754422387
"Cadm2",-1.19777854550088,7.01037374005383,-4.19244881917148,0.00220994688468356,0.356383013403707,-1.10971415427914
"Pclo",-1.16462851222457,6.99125209134438,-4.17371721817566,0.00227323610737811,0.35718950938495,-1.13458066501986
"Snap91",-1.34758866372556,6.41298447256873,-4.13001033962297,0.00242851211152677,0.363091669550537,-1.21307826688178
"Dlgap1",-1.62300986900118,7.98016397493329,-4.1297958452574,0.00242930131389883,0.363091669550537,-1.18795686375908
"Psd3",-1.27367433442091,7.45745300322364,-4.09822155137979,0.00254849453938868,0.367556301750971,-1.23138810895726
"Rgs7bp",-1.2072647479982,5.94949682255199,-4.04094647305829,0.00278080991677944,0.367556301750971,-1.3568753598858
"Junb",2.20046056024826,9.27473372042208,4.03933390310772,0.00278766675004291,0.367556301750971,-1.31236651884914
"Snph",-2.37807461635595,5.61051362845999,-4.03645792252771,0.0027999402172113,0.367556301750971,-1.42501366496113
"Kit",-2.05191813338356,5.28872309120509,-4.02143608918539,0.00286498337903813,0.367556301750971,-1.51046154496044
"Stxbp1",-1.07235713722116,8.06976451261781,-4.01166035428517,0.00290816891039939,0.367556301750971,-1.3493821810303
"Atf4",1.13273601116463,7.49396413246325,4.0057103362526,0.00293479060549457,0.367556301750971,-1.35777864124338
