"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Chn2",1.68003010966496,7.23395226848419,8.06796068479833,7.18950806574332e-06,0.060679696276097,3.1945438092843
"9530059O14Rik",1.89439568803555,5.56834205170144,7.59844340632491,1.25035434321238e-05,0.060679696276097,1.69053543354226
"Bfsp2",1.27274880241927,6.75897599937236,7.2234369603315,1.98039089979793e-05,0.0640722469114624,2.39699341019467
"Vegfa",-1.68917932406799,7.11246396987742,-6.7152145085076,3.79407679485536e-05,0.0920632734271652,2.07951601279466
"Tubb4a",1.38115995422315,8.57560490903585,6.41494853701674,5.6568007868474e-05,0.109809816874282,1.92955658914901
"Enpp6",1.59006289593111,6.44078793005665,6.0082659507072,9.9026866514756e-05,0.134044043018517,1.12210680894853
"Osbpl1a",1.42578953131,6.89429494771982,5.97599198844855,0.000103625812031272,0.134044043018517,1.2508175335708
"Sirt2",0.963628456457118,10.1513855164179,5.93060652736032,0.000110483447779531,0.134044043018517,1.40614987013373
"Ptgds",2.79370238585251,9.1644935681403,5.57939729958852,0.00018316705806415,0.197535496174515,0.963886355401168
"Pdcd4",0.863372060992637,7.78340248395201,5.28339514346608,0.000284276182165404,0.275918462409741,0.588873294123982
"Rnd2",0.931069074772392,7.36863912841976,5.19653385890317,0.00032417860864779,0.286043415957768,0.449334014553529
"Ephb1",1.36701046403877,4.67738765108956,5.03287624462664,0.000416419784713832,0.314057077467515,-0.786372207371564
"Slc44a1",0.8701387257122,8.22173136401592,4.85836567153908,0.000546152144641909,0.314057077467515,0.0547094133152379
"Tuba1a",0.761032692898037,10.9810542070906,4.81924880659322,0.000580726924681277,0.314057077467515,0.00286795593260614
"Itga9",-0.827412525523195,6.60174696745438,-4.76612128355823,0.000631435122854429,0.314057077467515,-0.159290041631905
"Fam13c",1.25146133232239,5.41608900903736,4.74258890731976,0.000655371830028878,0.314057077467515,-0.581594562921973
"Ctsl",0.901931684663038,8.24451075146879,4.72295976435967,0.000676071118392065,0.314057077467515,-0.127951729300635
"Col9a3",0.743977352461792,6.78093501355369,4.6914722967617,0.000710729484720747,0.314057077467515,-0.246785935588015
"Nfasc",1.47465789473877,8.70863453977399,4.67299879478356,0.000731931789997491,0.314057077467515,-0.193972885655743
"Ndrg4",-0.980778475793591,5.89011091333756,-4.645595577681,0.000764620446742766,0.314057077467515,-0.442478155032057
"Bmp4",1.39111754178542,6.44409836734338,4.64312023639343,0.000767648114160852,0.314057077467515,-0.378993205543892
"A930009A15Rik",-0.976746218962182,5.78678100837456,-4.63061881526709,0.000783133332292457,0.314057077467515,-0.486286212879492
"Usp16",0.904890208433367,6.33305877774191,4.62816528676271,0.00078621093678695,0.314057077467515,-0.39477230507303
"Lasp1",-0.784902728172225,6.5228286017744,-4.61579679936338,0.00080192079466998,0.314057077467515,-0.361718039734652
"St8sia1",-0.845500446802862,5.9840645776575,-4.60261340048007,0.000819030600542399,0.314057077467515,-0.468654719006492
"Pianp",-0.809436694845623,6.82792204640686,-4.585895922189,0.000841282095008798,0.314057077467515,-0.369953436408482
"Apbb1ip",1.36236309325875,4.95555784686841,4.45679992334926,0.00103610014339673,0.364392739224676,-1.09174548461038
"Rassf1",0.933826181643031,5.70791895928248,4.40711999210652,0.00112324881342417,0.364392739224676,-0.80467614985333
"Auh",0.794552517094399,5.82155626087567,4.40042489665677,0.00113556965306168,0.364392739224676,-0.774595118292629
"Gpx1",0.949252031094052,6.25104145885359,4.38027558043389,0.00117351399168649,0.364392739224676,-0.724728255196485
"Epb41l2",0.848762057660467,6.84240765309301,4.36996015423843,0.00119345272290957,0.364392739224676,-0.669165925846959
"Csad",0.768043046572835,6.13533835482927,4.34498501049207,0.00124321468468925,0.364392739224676,-0.78165037029489
"Cav2",-0.72797070925591,7.09052794089477,-4.32912543871792,0.00127594087152777,0.364392739224676,-0.701790550867836
"Ccndbp1",0.924830704170314,5.73205699506847,4.32887572026772,0.0012764633354254,0.364392739224676,-0.893815206731871
"Arhgap21",-0.852171012436426,5.92130917108203,-4.31055596327697,0.0013154110658105,0.364782280135906,-0.847603081329657
"Gria4",-0.644399144224842,7.28998481002458,-4.26686431561539,0.00141341584786563,0.381072617205106,-0.781155807935757
"Ephb6",-0.894397517461687,5.08532897768088,-4.23775889996755,0.00148292689859713,0.385892594551372,-1.16511351794521
"Adcyap1r1",-0.893555341638961,7.93490343846236,-4.22648349611849,0.00151080966339915,0.385892594551372,-0.826466134428435
"Egr1",0.657795489922428,8.46980684882874,4.18315090920721,0.00162318016063062,0.396517031105993,-0.886716390083347
"Lrrc42",1.46008535811654,5.172785660466,4.17044817660291,0.00165775378276641,0.396517031105993,-1.32722939306997
"Rell1",0.883308325334672,5.83676314206739,4.13264211086584,0.00176528505333444,0.396517031105993,-1.10998797362414
"Dpy19l3",-0.972745952572984,5.37911911157794,-4.11230361815251,0.00182612696167182,0.396517031105993,-1.21917970426189
"Fyn",0.620131616832803,9.06673336047077,4.05918980044696,0.00199557254562659,0.396517031105993,-1.06776262442642
"Mbp",1.60390514147024,9.85072786508601,4.05729829662409,0.00200190140739627,0.396517031105993,-1.07121548279924
"Emc1",-0.595180572697924,6.92244740198891,-4.05329750120095,0.00201535695372492,0.396517031105993,-1.09707096206278
"Matn1",1.50357367503325,4.67842647860923,4.03288263294698,0.00208550132893197,0.396517031105993,-1.69973540221483
"Tmem163",0.596359129529403,7.41300809065594,4.03159969890903,0.00208999362709644,0.396517031105993,-1.11781239094372
"Cyth2",0.880799517866268,6.18733261508739,4.01551996089484,0.00214716204258709,0.396517031105993,-1.21035451305094
