"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-4.93229732130989,6.52051281574283,-9.56825430375213,4.15893982890848e-06,0.0461725499805419,2.14770973145201
"Mtmr2",-0.804375683299352,6.28928811518622,-7.20885168026117,4.31236059979218e-05,0.239379136894464,1.48543728727654
"Sertad2",0.64427091611983,5.42842132296282,6.63097176868855,8.34114806649363e-05,0.289789730998761,0.901884983915611
"Hist1h4h",-0.684440809716241,5.36858832978482,-6.44187621267192,0.000104409919293375,0.289789730998761,0.769370230588035
"S100b",-1.1181338171506,8.13529439001715,-5.80152116387749,0.000231035003801321,0.512990122440454,0.465213310887177
"Cdr2",-0.978206268413677,5.01906041659544,-5.6424016957302,0.000283831536143656,0.525182952377812,0.0416383276121524
"Frat2",1.05523141542808,3.45962309130111,5.0577917772713,0.000623193344138795,0.697117609838361,-1.24763272331421
"1500015O10Rik",-3.67359093848837,0.923749857955448,-5.00414538635385,0.000671467072328276,0.697117609838361,-3.28747486435173
"Actb",-0.63273687691887,11.8421001004309,-4.9623307402756,0.000711877728321141,0.697117609838361,-0.491680883496083
"Gm10076",-0.858422524905757,5.72069444905675,-4.83131051244688,0.000856334136433275,0.697117609838361,-0.56168726084565
"Bin2",0.751495887860665,3.22970296330307,4.80972879898883,0.000883006000845882,0.697117609838361,-1.52057652111022
"Hexb",0.561423499733366,7.68475732225799,4.75099676796643,0.000960200699280584,0.697117609838361,-0.563781638015793
"Nt5dc3",-0.865938278633127,2.88403637031701,-4.63502737365983,0.00113467195119556,0.697117609838361,-1.83124453833173
"Sirpa",0.697421970252204,4.01879581686045,4.62206285803345,0.00115618893126419,0.697117609838361,-1.20825223669517
"Lair1",0.829738939139898,3.4903707319868,4.58297849494413,0.00122373757014379,0.697117609838361,-1.52942561520806
"Polr3e",-1.20300745492852,7.14331044203609,-4.57732429391192,0.00123385363204929,0.697117609838361,-0.760920951266622
"Rbp1",-1.95724096360401,-0.00555486162493544,-4.53819967334589,0.00130634685534772,0.697117609838361,-3.60130378638372
"Kdelr2",-0.530443506372674,5.35441062483523,-4.51930240667724,0.00134297786095999,0.697117609838361,-0.926963559346275
"Irf8",0.662150015903837,3.62424755334954,4.50648930912238,0.00136843784300451,0.697117609838361,-1.49634294858691
