"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-4.39081311088579,6.99411819825749,-6.94682594546118,1.0756376098e-05,0.0295800342695,2.30063092517366
"Ctss",1.77876907408038,8.38805801864108,5.73239860077033,7.22558210186652e-05,0.0993517539006647,1.92767478941866
"Hexb",2.43550985674661,7.9188604045541,4.63514651156317,0.000481096425793736,0.24530196810725,0.151888037292201
"Fcgr3",3.62333582692656,4.72211260041361,4.62079111121221,0.000493700655644649,0.24530196810725,-1.1071034367045
"Rgs2",0.95978798642643,8.2510387825066,4.59384378040235,0.000518295066721515,0.24530196810725,0.0497146366138699
"Rps20",-0.60763626461361,12.3991906813348,-4.3241917575705,0.000847101944133608,0.24530196810725,-0.730967991181354
"Gm10076",-0.92895827175014,8.0466524590358,-4.3147979341951,0.000861855258501478,0.24530196810725,-0.430640875842702
"Cd14",3.24579846216922,4.21931579245279,4.27714342186242,0.000923708361048533,0.24530196810725,-1.47029774185072
"Jun",1.91980746135132,8.73526026405792,4.26732780598272,0.000940572938347182,0.24530196810725,-0.541610730645046
"C1qa",2.62565624357154,7.62552118581814,4.24080219736201,0.000987755664735035,0.24530196810725,-0.499299220789313
"C1qb",2.44930027796439,7.80753738841136,4.21311370351788,0.00103961740155208,0.24530196810725,-0.56226526844117
"Klf3",-1.66995373562736,6.01493711606889,-4.19734055367355,0.00107040858810437,0.24530196810725,-0.683697303460174
"Plek",2.31091042813585,5.50945035682339,4.09343951424642,0.00129816101266595,0.245470066066679,-1.16062328114644
"Ctsd",0.929614914923109,9.17722519490648,4.06983177867817,0.00135653185113901,0.245470066066679,-0.93926889114866
"Ywhaq",-0.807119075938569,7.87666455061613,-4.02853129276523,0.00146522180260361,0.245470066066679,-0.927008742105121
"Ctsb",1.09624136123951,7.40896187162365,4.02742465751824,0.00146825421163075,0.245470066066679,-0.893416533308107
"Rpl28",-0.567955530912877,11.4596581432259,-4.00979166324037,0.0015174513175031,0.245470066066679,-1.22555825279167
"Hilpda",-1.19242449758587,6.47354859144719,-3.95400661375562,0.00168453562069482,0.257359608717264,-0.977346751672365
"Sparc",2.96867990115312,5.70328408895672,3.85826278332839,0.00201659546614875,0.291875659574161,-1.60324491358921
"Ifitm3",2.48415340819474,5.7911678799816,3.82349865887723,0.00215314223200678,0.296057056900933,-1.25265998779962
"Crip1",-0.723837731445815,10.0409997627053,-3.76428582161498,0.00240786476641643,0.306093338599099,-1.56677423756214
"Iqgap1",-0.899850599454139,7.89677449880375,-3.75244089027844,0.00246240591188643,0.306093338599099,-1.42206339049573
"Psap",0.957396171160696,7.64057064437455,3.73188799454379,0.00256005337737429,0.306093338599099,-1.43584564296769
"Tex261",1.09047716521456,6.32076719353392,3.62425551062882,0.00313978729667172,0.358474700247328,-1.52642344498969
"Hpgds",1.71712894070617,5.57313538075546,3.6046702697912,0.00325886091133935,0.358474700247328,-1.68183749084954
"Marcks",2.79556633701129,6.04003270441235,3.52595638867855,0.00378556457541644,0.400396253169047,-1.73338992931077
"Rpl35a",-0.550235673508035,12.0197619264589,-3.45657557857136,0.00432108610810991,0.411947596342395,-2.31755927609905
"Lgmn",2.87534584521458,6.05270685708341,3.43170740474364,0.00453118071729902,0.411947596342395,-2.04572030420587
"Scamp2",1.32897084347183,5.8085872188235,3.40186722610075,0.00479695841979556,0.411947596342395,-1.90760341531235
"Egr1",2.28741433031413,7.37260332065648,3.39591304052202,0.00485184660468222,0.411947596342395,-1.9548963440753
"Tyrobp",1.91739270995519,6.8525715616211,3.38839121919686,0.00492209328878418,0.411947596342395,-1.94498211717785
"Ptp4a1",-1.02481901283319,6.40351594518063,-3.38462913267564,0.00495761181630074,0.411947596342395,-1.94574659411178
"C1qc",2.46087945572846,6.8638467715173,3.3735360415993,0.00506385652824039,0.411947596342395,-1.93922437964348
"Wsb1",1.38479965066515,5.89053748328275,3.37051668240693,0.00509317028205142,0.411947596342395,-1.94754738617125
"Trim12c",1.21240887991688,5.87381655933482,3.32970440025438,0.00550660508937941,0.428813218820318,-2.00912525166913
"Il17a",4.46661735632683,5.75651654464134,3.31964937032471,0.00561355486455688,0.428813218820318,-2.34745845572736
"Adam19",0.905054190862766,6.69125615583006,3.29364227334613,0.00589997836052106,0.438511905173862,-2.12683738788306
"Rhob",1.69742319600188,7.03504687997562,3.27874710766385,0.00607059852262583,0.439319629926869,-2.13053718221954
"Rps29",-0.624559608229986,13.033279514796,-3.2641769934555,0.00624229406328254,0.440161760872487,-2.79354171222073
"Rps19",-0.426486021979629,12.7504786244959,-3.24237203104137,0.0065084036870158,0.447452753482336,-2.8023151073529
"Rpl15",-0.427062500417595,11.1453953841136,-3.22067263429073,0.0067845320827352,0.455060078720044,-2.67402719438544
"Fam46a",1.02162988225856,6.18225747368683,3.20083616975396,0.00704722457610113,0.461425418673288,-2.2303073149358
"AY036118",-1.76643066974315,8.6269553582148,-3.14782688763869,0.00780031564044951,0.491933545952859,-2.57669603919653
"Cdkn1b",-0.897052195289451,7.20422939232074,-3.14312144208708,0.00787093673524574,0.491933545952859,-2.44976287941249
"Fos",1.17321284878406,8.91529443470492,3.10472374230056,0.0084716306244062,0.507253294116993,-2.6846402006554
"Grn",1.59124343426398,5.63884816339816,3.08793748949893,0.00874841564498374,0.507253294116993,-2.43294394866197
"Hmgb2",-0.576185791458495,8.45075566654808,-3.0832329635239,0.0088275937740231,0.507253294116993,-2.69040849385788
"Rps24",-0.353105029611906,13.7105121120199,-3.05877740134269,0.00925084296762103,0.507253294116993,-3.25445984380794
"Kctd12",1.64848770694519,6.63156017353942,3.05828752637582,0.0092595246275744,0.507253294116993,-2.49023793850563
"Aup1",0.952178824734655,6.46500510599538,3.05512254511931,0.00931581100752958,0.507253294116993,-2.50535960045739
"Txk",-0.906881310388759,7.31794614302025,-3.04914551371036,0.00942303841660302,0.507253294116993,-2.63184316905255
"Mtdh",0.734554043402289,6.97026831454361,3.03987981901761,0.00959169865239404,0.507253294116993,-2.60617084606637
"Rps18",-0.38608181357772,12.8436407952744,-3.02405488963311,0.00988673134991126,0.510431102228654,-3.22370748530041
"Lars2",-1.25588144904322,6.72065901562704,-2.98645358270989,0.0106244491823684,0.510431102228654,-2.66511732241629
"Cript",-0.757887214281611,6.5807635436022,-2.97774952376762,0.0108028669794508,0.510431102228654,-2.6747807659424
"Vsir",0.811698061556188,6.86713540133354,2.97277214041426,0.0109062279417835,0.510431102228654,-2.70863150614131
"Lpcat2",2.55769729788709,4.34586175176801,2.95836918596979,0.0112108820514442,0.510431102228654,-2.87444678590031
"Myl6",-0.51498519391145,9.76344153044771,-2.95810984242173,0.0112164444017221,0.510431102228654,-3.03522257529792
"Flna",-1.06826646250436,6.38626602500218,-2.93499905669538,0.0117232636744532,0.510431102228654,-2.70872976757674
"Rps7",-0.32856575902671,12.7431260858076,-2.92976861347321,0.011841079573969,0.510431102228654,-3.38795279900677
"Rps17",-0.668608689345265,9.89654118557684,-2.91810970840716,0.0121079328143457,0.510431102228654,-3.12107463981848
"Arhgap15",-0.77806708233033,7.40115940815083,-2.91791108095067,0.0121125302669043,0.510431102228654,-2.87570770190877
"Zfp36",1.08986129624858,8.15694295712884,2.91732285321475,0.0121261555867714,0.510431102228654,-2.94902258354751
"Mdp1",-1.25005504020369,6.10472402195847,-2.90951971952606,0.0123083438386062,0.510431102228654,-2.70214458744214
"Eef1b2",-0.427383213711499,11.0808168601299,-2.9047237457751,0.0124216616854191,0.510431102228654,-3.25469725532792
"Rps16",-0.347463718450154,12.9534596440691,-2.90425617280669,0.0124327644148695,0.510431102228654,-3.46043637929939
"Rpl26",-0.365121608877811,12.0639644942342,-2.90047641599959,0.0125228775263662,0.510431102228654,-3.36455541307966
"Rpl35",-0.678703108856506,11.3753013298478,-2.87327671855249,0.0131906637639668,0.510431102228654,-3.34122131350948
"Fcer1g",1.30087255119915,6.94673260747779,2.85783461377222,0.0135853135218243,0.510431102228654,-2.90579164168721
"Pdcd6ip",-0.76478768103004,6.67707244749459,-2.85460400164815,0.0136693396205538,0.510431102228654,-2.89932945713823
"Gpr34",1.46921803224719,5.93551919782194,2.84096635382983,0.0140297313467876,0.510431102228654,-2.78589888026089
"Il1a",2.32753502211435,5.23894702213731,2.83671776399431,0.0141439076807316,0.510431102228654,-2.90786068931269
"S100a10",-0.554604383352338,9.89755158929533,-2.82500897671113,0.014463329351663,0.510431102228654,-3.29150589396599
"Ndufa4",-0.582807825765414,8.49327760900975,-2.81863545812354,0.0146401780947735,0.510431102228654,-3.17252632007931
"Uqcc2",-0.808597911989863,6.78018532733591,-2.80432969133909,0.0150449147625897,0.510431102228654,-2.99850156755608
"Arglu1",-0.715901464867944,7.34983680676373,-2.80049302340927,0.0151553207715437,0.510431102228654,-3.0787060769063
"Dut",-0.871882982432891,6.19938578020887,-2.79788568216529,0.0152308054621275,0.510431102228654,-2.92662899654846
"Nfkbiz",0.737469675169318,7.49659829549733,2.79778357634993,0.0152337690220499,0.510431102228654,-3.09861164727689
"Gm42418",-1.17792578727882,11.0475519713307,-2.7947836224581,0.0153210944295949,0.510431102228654,-3.45213188616213
"Tgfb1",0.772520524912593,6.89902235733763,2.79170496846802,0.0154112224656051,0.510431102228654,-3.02818819410195
"Srp54b",-0.838440095094126,6.42287862139595,-2.79122980711228,0.0154251792404023,0.510431102228654,-2.97125318346348
"Junb",0.463364954242145,11.4597427240073,2.78836502824833,0.0155095892284553,0.510431102228654,-3.50601626973776
