leiden,Neuron,CA1,CA3,DG,Microglia,Astrocyte,Oligodendrocyte,OPC,Endothelial,Ependymal,VLMC,Pericyte
0,-0.03553754911664087,-0.21461514431550993,-0.013681137244803045,-0.054662583697095826,-1.0811812682013753,-0.14925588648226246,-0.43236487853233097,-0.3534064197437772,-0.0035632138243803743,1.7140931574610319,-0.00205490051713441,-0.03021539667185317
1,-0.014315866230819633,-0.1799354068838781,-0.004342358270130375,-0.028636057163053945,1.2574506792568885,-0.12076146313900589,-0.36483810399772404,-0.37142476504632543,-0.01887215693487275,-0.1012326625388476,-0.0005269133229583702,-0.0019099816679954528
2,-0.03948466185119601,-0.16954237972177505,-0.009134514691473482,-0.03862567539602347,1.4452724110825337,-0.23167798043009075,-0.6472889656742264,-0.5707115751486154,-0.041204888028608895,-0.19867711423951517,-0.0010527626810191851,-0.007136154350994519
3,-0.04271544542201062,-0.1872536319346715,-0.009025360043946181,-0.038115932078175326,1.2586989418703947,-0.2360913266448582,-0.6752652380036646,-0.58116572142742,-0.043854649038720335,-0.2103052661837153,-0.0005941091875248036,-0.00919738943657548
4,-0.0561251095762677,-0.21351652017706318,-0.01027516519902398,-0.07687981455577048,1.1702154318879086,-0.22266336683223123,-0.6382210125024286,-0.5859642725830015,-0.040388107550771615,-0.265276927728402,-0.0008519914242034665,-0.008232505086221193
5,-0.020795674201861986,-0.11648274387773046,-0.006371664998741028,0.06635828357407038,-1.2263484573196048,-0.21201518569232056,2.592807067032402,0.2427952196846293,-0.05581112883148427,-0.08494116105581065,-0.0012251646385541208,-0.0078944932995838
6,0.27253497590545905,-0.015364938100449721,0.04957631171156017,0.06919495931990464,-0.8574607935076113,0.22710235697014777,-0.11993753241633723,1.8758090937752734,-0.13305117959100804,-0.05837883983548395,-0.00765376078411156,-0.046593164390157725
7,-0.036629188869396645,-0.09164522481833806,-0.012176435338874931,0.08374808038563453,-1.2944492335256959,-0.028189560221182835,2.36592821558836,0.17236243562167078,-0.07462600111695082,-0.1098227081720513,-0.002134128414308296,-0.00867184646283839
8,-0.05122708085119592,-0.12466780773568525,-0.020781568046462806,-0.058013647392757224,-0.8953051929482522,-0.1343090829721361,-0.1185307613315792,-0.365377391951951,2.1538923837387216,-0.1409802941237898,0.01276097840201826,0.4663551267926217
9,-0.04613249982411243,-0.19838382615544356,-0.01351051604664235,-0.06766617133422774,-1.0630642187725516,-0.21280768718099108,-0.3849712839929611,-0.38763708758415005,-0.03472249248958364,-0.08569606229054684,-0.008760614471923096,0.003735750168055093
10,-0.02089868884748312,0.00952301931056531,0.07656019027258217,-0.08694871895438502,-0.9574227918750299,1.6443503337064915,-0.39855639055632497,-0.25601201756831965,-0.08125742619313618,-0.06252625639438049,0.012309174876611175,0.06505293853687251
11,0.0062575172110569495,-0.09700164157750285,0.024355457448831462,-0.048480464800418864,-0.795421719161309,1.2662097373949202,-0.1645532238134918,-0.13833854049289515,-0.027875262151333697,0.06330616962899387,0.002098260344476984,0.00841405605843598
12,-0.04126881394080247,-0.09439369072084842,-0.008700293619275669,-0.07255741017452184,-0.9729933286994551,-0.17058559069080628,-0.13447384555217817,-0.3387563041716382,0.05058144439821658,-0.15580450636753138,-0.008267677487734285,-0.020472889389968725
13,-0.03639301384386644,-0.17108139636876774,-0.00859082509773468,-0.0275592704359576,-0.3066433524392589,-0.15262677603688457,-0.49656904763535964,-0.46066987789845726,-0.04555799846168902,-0.10180016653196845,2.3481997133688574e-05,-0.012826183973599395
14,0.03414295700960831,-0.17402257134749757,-0.027667919548981297,-0.04068583592907949,-1.1490987261002552,0.6968785114077838,-0.4000750493704295,-0.43169144616221317,-0.1259042894162915,1.2719277597476657,0.040420202480761704,-0.07525208576593227
15,1.202633412756019,0.22798278355485987,0.10524999714465885,0.04291843932979512,-0.754325542972998,-0.0869822443022668,-0.20593026077498897,-0.28796491257846357,-0.08694602719455395,-0.10211851564921298,-0.008466056263249058,-0.023371802463471515
16,-0.04978264185545143,-0.13813284470723092,-0.015637472838914535,-0.053102150697648315,-0.7387692768673217,-0.179533584337864,-0.333704095585737,-0.39432234781190056,-0.008305504901541604,0.2633618966498042,0.00025610430074496295,-0.03116511158707464
17,-0.038973954888851255,-0.18167522867347882,-0.004634807290717822,-0.02556017398834228,1.1396874541004127,0.35451252329695054,-0.689069623763887,-0.5491224968822106,-0.05348992074313371,-0.21894782175836355,0.0025194489076703153,-0.003598795131496761
18,0.48317329333196524,-0.10106065175862147,0.011766965982739309,0.1745603080585085,-1.0255092435624995,-0.18809162928427772,-0.5582752488847142,-0.4062490566331765,-0.10773558792985719,-0.18436418787158768,-0.006447991170808139,-0.030378944251729156
19,-0.037176918169198374,-0.15160426911102828,-0.010882689360381666,0.02603554260218015,0.7616519563813746,-0.2471382275264323,1.6410442593533834,-0.12975659969993816,-0.05993820610225842,-0.20898378316913882,-0.0016494478581142156,-0.011749977089170914
20,0.025126293964412703,-0.08370472383499145,-0.004520298683865821,-0.013767984923194436,-0.21427715640692485,0.0260231476765053,0.016691893213937256,-0.1361390714785632,0.1147911427301519,-0.06484643718775582,-0.02439985165142326,-0.008492372503467635
