ligand,receptor,sender,receiver,score,lig_expr,rec_expr
Apoe,Trem2,VLMC,Microglia,17.529081344604492,6.060911178588867,2.892152786254883
Apoe,Trem2,Astrocyte,Microglia,15.29631519317627,5.288902759552002,2.892152786254883
Apoe,Trem2,Ependymal,Microglia,9.54012393951416,3.29862380027771,2.892152786254883
Apoe,Trem2,Astrocyte,VLMC,9.381364822387695,5.288902759552002,1.7737828493118286
Apoe,Trem2,OPC,Microglia,9.364381790161133,3.237858533859253,2.892152786254883
Apoe,Trem2,Oligodendrocyte,Microglia,9.23827838897705,3.194256544113159,2.892152786254883
Tyrobp,Trem2,VLMC,Microglia,9.025040626525879,3.1205270290374756,2.892152786254883
C1qa,Lrp1,Microglia,OPC,8.3826322555542,4.447237491607666,1.8849077224731445
C1qa,Lrp1,VLMC,OPC,8.098344802856445,4.296414375305176,1.8849077224731445
Apoe,Trem2,Ependymal,VLMC,5.8510422706604,3.29862380027771,1.7737828493118286
Apoe,Trem2,OPC,VLMC,5.743257999420166,3.237858533859253,1.7737828493118286
Apoe,Trem2,Oligodendrocyte,VLMC,5.66591739654541,3.194256544113159,1.7737828493118286
Apoe,Trem2,Endothelial,Microglia,5.656881332397461,1.9559413194656372,2.892152786254883
Tyrobp,Trem2,Microglia,VLMC,5.568373203277588,3.1392643451690674,1.7737828493118286
C1qa,Lrp1,VLMC,Microglia,3.508268356323242,4.296414375305176,0.8165572881698608
Apoe,Trem2,Endothelial,VLMC,3.4694151878356934,1.9559413194656372,1.7737828493118286
Apoe,Trem2,Neuron,Microglia,3.150502920150757,1.0893279314041138,2.892152786254883
C1qa,Lrp1,Microglia,Astrocyte,3.0193164348602295,4.447237491607666,0.6789195537567139
C1qa,Lrp1,VLMC,Astrocyte,2.916919708251953,4.296414375305176,0.6789195537567139
C1qa,Lrp1,Microglia,Neuron,2.684565782546997,4.447237491607666,0.6036479473114014
C1qa,Lrp1,VLMC,Neuron,2.5935218334198,4.296414375305176,0.6036479473114014
Apoe,Trem2,Microglia,VLMC,2.5058019161224365,1.412688136100769,1.7737828493118286
Tyrobp,Trem2,Ependymal,Microglia,2.2248644828796387,0.7692762613296509,2.892152786254883
C1qa,Lrp1,Microglia,VLMC,1.994804859161377,4.447237491607666,0.44854921102523804
C1qa,Lrp1,Microglia,Ependymal,1.9814918041229248,4.447237491607666,0.4455556571483612
Apoe,Trem2,Neuron,VLMC,1.9322311878204346,1.0893279314041138,1.7737828493118286
C1qa,Lrp1,VLMC,Ependymal,1.9142917394638062,4.296414375305176,0.4455556571483612
Gas6,Mertk,VLMC,Microglia,1.814699411392212,1.5997000932693481,1.1343997716903687
Apoe,Trem2,VLMC,Neuron,1.6643935441970825,6.060911178588867,0.27461111545562744
Apoe,Trem2,Pericyte,Microglia,1.5713592767715454,0.5433182120323181,2.892152786254883
Apoe,Trem2,VLMC,Endothelial,1.5273467302322388,6.060911178588867,0.25199952721595764
Apoe,Trem2,Astrocyte,Neuron,1.452391505241394,5.288902759552002,0.27461111545562744
Tyrobp,Trem2,Ependymal,VLMC,1.364529013633728,0.7692762613296509,1.7737828493118286
Apoe,Trem2,Astrocyte,Endothelial,1.3328009843826294,5.288902759552002,0.25199952721595764
Gas6,Mertk,Ependymal,Microglia,1.2982842922210693,1.144468069076538,1.1343997716903687
Gas6,Mertk,VLMC,Astrocyte,1.2231614589691162,1.5997000932693481,0.7646192312240601
Apoe,Trem2,VLMC,OPC,1.1488394737243652,6.060911178588867,0.18954896926879883
C1qa,Lrp1,Neuron,OPC,1.1193499565124512,0.5938486456871033,1.8849077224731445
Tyrobp,Trem2,Neuron,Microglia,1.0760999917984009,0.37207576632499695,2.892152786254883
C1qa,Lrp1,Endothelial,OPC,1.0537651777267456,0.5590539574623108,1.8849077224731445
Apoe,Trem2,VLMC,Pericyte,1.018216848373413,6.060911178588867,0.1679973304271698
Cx3cl1,Cx3cr1,OPC,Microglia,1.0102006196975708,0.34280654788017273,2.9468533992767334
Apoe,Trem2,Astrocyte,OPC,1.0025060176849365,5.288902759552002,0.18954896926879883
Apoe,Trem2,Pericyte,VLMC,0.9637285470962524,0.5433182120323181,1.7737828493118286
C1qa,Lrp1,Microglia,Endothelial,0.9370666146278381,4.447237491607666,0.21070757508277893
Apoe,Trem2,VLMC,Ependymal,0.9330440759658813,6.060911178588867,0.15394452214241028
Tyrobp,Trem2,Endothelial,Microglia,0.9063599109649658,0.31338590383529663,2.892152786254883
Apoe,Trem2,Ependymal,Neuron,0.9058387875556946,3.29862380027771,0.27461111545562744
C1qa,Lrp1,VLMC,Endothelial,0.9052870273590088,4.296414375305176,0.21070757508277893
Apoe,Trem2,OPC,Neuron,0.889151930809021,3.237858533859253,0.27461111545562744
Apoe,Trem2,Astrocyte,Pericyte,0.8885215520858765,5.288902759552002,0.1679973304271698
Apoe,Trem2,Oligodendrocyte,Neuron,0.8771783709526062,3.194256544113159,0.27461111545562744
Gas6,Mertk,Ependymal,Astrocyte,0.8750823140144348,1.144468069076538,0.7646192312240601
Tyrobp,Trem2,Microglia,Neuron,0.8620768785476685,3.1392643451690674,0.27461111545562744
Apoe,Trem2,VLMC,Oligodendrocyte,0.859133780002594,6.060911178588867,0.14174993336200714
Tyrobp,Trem2,VLMC,Neuron,0.8569313883781433,3.1205270290374756,0.27461111545562744
Apoe,Trem2,VLMC,Astrocyte,0.8546816110610962,6.060911178588867,0.14101536571979523
Apoe,Trem2,Ependymal,Endothelial,0.8312516212463379,3.29862380027771,0.25199952721595764
Apoe,Trem2,OPC,Endothelial,0.8159388303756714,3.237858533859253,0.25199952721595764
Apoe,Trem2,Astrocyte,Ependymal,0.8141975998878479,5.288902759552002,0.15394452214241028
Apoe,Trem2,Oligodendrocyte,Endothelial,0.8049511313438416,3.194256544113159,0.25199952721595764
Tyrobp,Trem2,Microglia,Endothelial,0.791093111038208,3.1392643451690674,0.25199952721595764
Tyrobp,Trem2,VLMC,Endothelial,0.7863713502883911,3.1205270290374756,0.25199952721595764
C1qa,Lrp1,Pericyte,OPC,0.7526637315750122,0.3993106484413147,1.8849077224731445
Apoe,Trem2,Astrocyte,Oligodendrocyte,0.7497016191482544,5.288902759552002,0.14174993336200714
Tyrobp,Trem2,Pericyte,Microglia,0.7256963849067688,0.2509191036224365,2.892152786254883
Cx3cl1,Cx3cr1,Neuron,Microglia,0.6776858568191528,0.229969322681427,2.9468533992767334
Tyrobp,Trem2,Neuron,VLMC,0.6599816083908081,0.37207576632499695,1.7737828493118286
C1qa,Lrp1,Ependymal,OPC,0.6571676135063171,0.3486470878124237,1.8849077224731445
Tyrobp,Trem2,OPC,Microglia,0.6506360173225403,0.22496598958969116,2.892152786254883
C1qa,Lrp1,Astrocyte,OPC,0.6490320563316345,0.34433093667030334,1.8849077224731445
Apoe,Trem2,Ependymal,OPC,0.6252507567405701,3.29862380027771,0.18954896926879883
C1qa,Lrp1,Oligodendrocyte,OPC,0.6201079487800598,0.3289858400821686,1.8849077224731445
Apoe,Trem2,Oligodendrocyte,OPC,0.6054680347442627,3.194256544113159,0.18954896926879883
Tyrobp,Trem2,Microglia,OPC,0.5950443148612976,3.1392643451690674,0.18954896926879883
Tyrobp,Trem2,VLMC,OPC,0.5914926528930664,3.1205270290374756,0.18954896926879883
Tyrobp,Trem2,Endothelial,VLMC,0.5558785200119019,0.31338590383529663,1.7737828493118286
Apoe,Trem2,Ependymal,Pericyte,0.5541599988937378,3.29862380027771,0.1679973304271698
Gas6,Mertk,Endothelial,Microglia,0.5532181262969971,0.4876747727394104,1.1343997716903687
Apoe,Trem2,OPC,Pericyte,0.5439515709877014,3.237858533859253,0.1679973304271698
Gas6,Mertk,Ependymal,VLMC,0.5422250628471375,1.144468069076538,0.4737791121006012
Apoe,Trem2,Endothelial,Neuron,0.5371232032775879,1.9559413194656372,0.27461111545562744
Apoe,Trem2,Oligodendrocyte,Pericyte,0.5366265773773193,3.194256544113159,0.1679973304271698
Tyrobp,Trem2,Microglia,Pericyte,0.5273880362510681,3.1392643451690674,0.1679973304271698
Tyrobp,Trem2,VLMC,Pericyte,0.5242401957511902,3.1205270290374756,0.1679973304271698
Apoe,Trem2,OPC,Ependymal,0.4984505772590637,3.237858533859253,0.15394452214241028
Apoe,Trem2,Oligodendrocyte,Ependymal,0.49173828959465027,3.194256544113159,0.15394452214241028
C1qa,Lrp1,Neuron,Microglia,0.4849114418029785,0.5938486456871033,0.8165572881698608
Tyrobp,Trem2,Microglia,Ependymal,0.4832725524902344,3.1392643451690674,0.15394452214241028
Tyrobp,Trem2,VLMC,Ependymal,0.4803880453109741,3.1205270290374756,0.15394452214241028
Tyrobp,Trem2,Astrocyte,Microglia,0.4752536416053772,0.16432522237300873,2.892152786254883
Apoe,Trem2,Ependymal,Oligodendrocyte,0.4675796926021576,3.29862380027771,0.14174993336200714
Tyrobp,Trem2,Oligodendrocyte,Microglia,0.46650251746177673,0.16129940748214722,2.892152786254883
Apoe,Trem2,Ependymal,Astrocyte,0.4651566445827484,3.29862380027771,0.14101536571979523
Apoe,Trem2,OPC,Oligodendrocyte,0.4589662253856659,3.237858533859253,0.14174993336200714
Apoe,Trem2,OPC,Astrocyte,0.4565877914428711,3.237858533859253,0.14101536571979523
C1qa,Lrp1,Endothelial,Microglia,0.4564995765686035,0.5590539574623108,0.8165572881698608
Apoe,Trem2,Oligodendrocyte,Astrocyte,0.4504392445087433,3.194256544113159,0.14101536571979523
Tyrobp,Trem2,Pericyte,VLMC,0.44507598876953125,0.2509191036224365,1.7737828493118286
Tyrobp,Trem2,Microglia,Oligodendrocyte,0.44499051570892334,3.1392643451690674,0.14174993336200714
Tyrobp,Trem2,Microglia,Astrocyte,0.44268450140953064,3.1392643451690674,0.14101536571979523
Tyrobp,Trem2,VLMC,Oligodendrocyte,0.44233450293540955,3.1205270290374756,0.14174993336200714
Tyrobp,Trem2,VLMC,Astrocyte,0.44004225730895996,3.1205270290374756,0.14101536571979523
Gas6,Mertk,Microglia,Astrocyte,0.4309816360473633,0.5636552572250366,0.7646192312240601
C1qa,Lrp1,Neuron,Astrocyte,0.4031754434108734,0.5938486456871033,0.6789195537567139
Gas6,Mertk,Astrocyte,Microglia,0.40311864018440247,0.3553585410118103,1.1343997716903687
Tyrobp,Trem2,OPC,VLMC,0.3990408182144165,0.22496598958969116,1.7737828493118286
Cx3cl1,Cx3cr1,Endothelial,Microglia,0.3970412313938141,0.13473396003246307,2.9468533992767334
Apoe,Trem2,Microglia,Neuron,0.3879398703575134,1.412688136100769,0.27461111545562744
C1qa,Lrp1,Endothelial,Astrocyte,0.3795526623725891,0.5590539574623108,0.6789195537567139
Gas6,Mertk,Endothelial,Astrocyte,0.37288549542427063,0.4876747727394104,0.7646192312240601
Apoe,Trem2,Endothelial,OPC,0.3707466721534729,1.9559413194656372,0.18954896926879883
Apoe,Trem2,Microglia,Endothelial,0.3559967279434204,1.412688136100769,0.25199952721595764
Gas6,Mertk,Neuron,Microglia,0.35554397106170654,0.3134203553199768,1.1343997716903687
Gas6,Mertk,VLMC,OPC,0.348283588886261,1.5997000932693481,0.21771804988384247
C1qa,Lrp1,Endothelial,Neuron,0.33747178316116333,0.5590539574623108,0.6036479473114014
C1qa,Lrp1,OPC,Microglia,0.3372817039489746,0.41305333375930786,0.8165572881698608
Apoe,Trem2,Endothelial,Pericyte,0.3285929262638092,1.9559413194656372,0.1679973304271698
C1qa,Lrp1,Pericyte,Microglia,0.326060026884079,0.3993106484413147,0.8165572881698608
Gas6,Mertk,OPC,Microglia,0.31247955560684204,0.27545806765556335,1.1343997716903687
Apoe,Trem2,Endothelial,Ependymal,0.30110645294189453,1.9559413194656372,0.15394452214241028
Cx3cl1,Cx3cr1,OPC,VLMC,0.30073627829551697,0.34280654788017273,0.8772769570350647
C3,C3ar1,Ependymal,VLMC,0.3007113039493561,0.2354215383529663,1.2773313522338867
Tyrobp,Trem2,Astrocyte,VLMC,0.2914772629737854,0.16432522237300873,1.7737828493118286
Tyrobp,Trem2,Oligodendrocyte,VLMC,0.28611013293266296,0.16129940748214722,1.7737828493118286
C1qa,Lrp1,Ependymal,Microglia,0.28469032049179077,0.3486470878124237,0.8165572881698608
C1qa,Lrp1,Astrocyte,Microglia,0.2811659276485443,0.34433093667030334,0.8165572881698608
C1qa,Lrp1,OPC,Astrocyte,0.28042998909950256,0.41305333375930786,0.6789195537567139
Apoe,Trem2,Endothelial,Oligodendrocyte,0.27725455164909363,1.9559413194656372,0.14174993336200714
Apoe,Trem2,Endothelial,Astrocyte,0.27581778168678284,1.9559413194656372,0.14101536571979523
Apoe,Trem2,Neuron,Endothelial,0.27451011538505554,1.0893279314041138,0.25199952721595764
C1qa,Lrp1,Pericyte,Astrocyte,0.2710998058319092,0.3993106484413147,0.6789195537567139
C1qa,Lrp1,Oligodendrocyte,Microglia,0.2686357796192169,0.3289858400821686,0.8165572881698608
Apoe,Trem2,Microglia,OPC,0.2677735686302185,1.412688136100769,0.18954896926879883
Gas6,Mertk,Microglia,VLMC,0.26704809069633484,0.5636552572250366,0.4737791121006012
C1qa,Lrp1,Neuron,VLMC,0.26637035608291626,0.5938486456871033,0.44854921102523804
C1qa,Lrp1,Neuron,Ependymal,0.26459261775016785,0.5938486456871033,0.4455556571483612
C1qa,Lrp1,Endothelial,VLMC,0.2507632076740265,0.5590539574623108,0.44854921102523804
C1qa,Lrp1,OPC,Neuron,0.2493387907743454,0.41305333375930786,0.6036479473114014
Gas6,Mertk,Ependymal,OPC,0.24917136132717133,1.144468069076538,0.21771804988384247
C1qa,Lrp1,Endothelial,Ependymal,0.24908965826034546,0.5590539574623108,0.4455556571483612
C3,C3ar1,Ependymal,Microglia,0.24708977341651917,0.2354215383529663,1.0495631694793701
C1qa,Lrp1,Pericyte,Neuron,0.24104304611682892,0.3993106484413147,0.6036479473114014
Gas6,Mertk,Neuron,Astrocyte,0.23964722454547882,0.3134203553199768,0.7646192312240601
Apoe,Trem2,Microglia,Pericyte,0.23732782900333405,1.412688136100769,0.1679973304271698
C1qa,Lrp1,Ependymal,Astrocyte,0.2367033213376999,0.3486470878124237,0.6789195537567139
Gas6,Mertk,VLMC,Endothelial,0.23558655381202698,1.5997000932693481,0.14726920425891876
Gas6,Mertk,Endothelial,VLMC,0.23105011880397797,0.4876747727394104,0.4737791121006012
C1qa,Lrp1,Oligodendrocyte,Astrocyte,0.22335492074489594,0.3289858400821686,0.6789195537567139
Apoe,Trem2,Microglia,Ependymal,0.21747559309005737,1.412688136100769,0.15394452214241028
Tyrobp,Trem2,Ependymal,Neuron,0.21125181019306183,0.7692762613296509,0.27461111545562744
Gas6,Mertk,OPC,Astrocyte,0.21062053740024567,0.27545806765556335,0.7646192312240601
C1qa,Lrp1,Ependymal,Neuron,0.2104600965976715,0.3486470878124237,0.6036479473114014
C1qa,Lrp1,Astrocyte,Neuron,0.20785465836524963,0.34433093667030334,0.6036479473114014
Apoe,Trem2,Neuron,OPC,0.2064809799194336,1.0893279314041138,0.18954896926879883
Cx3cl1,Cx3cr1,Neuron,VLMC,0.20174679160118103,0.229969322681427,0.8772769570350647
Apoe,Trem2,Microglia,Oligodendrocyte,0.20024845004081726,1.412688136100769,0.14174993336200714
Apoe,Trem2,Microglia,Astrocyte,0.1992107331752777,1.412688136100769,0.14101536571979523
C1qa,Lrp1,Oligodendrocyte,Neuron,0.19859161972999573,0.3289858400821686,0.6036479473114014
Tyrobp,Trem2,Ependymal,Endothelial,0.19385725259780884,0.7692762613296509,0.25199952721595764
C1qa,Lrp1,OPC,VLMC,0.18527474999427795,0.41305333375930786,0.44854921102523804
C1qa,Lrp1,OPC,Ependymal,0.18403825163841248,0.41305333375930786,0.4455556571483612
Apoe,Trem2,Neuron,Pericyte,0.18300418555736542,1.0893279314041138,0.1679973304271698
C1qa,Lrp1,Pericyte,VLMC,0.17911048233509064,0.3993106484413147,0.44854921102523804
C1qa,Lrp1,Pericyte,Ependymal,0.17791511118412018,0.3993106484413147,0.4455556571483612
C1qa,Lrp1,Microglia,Oligodendrocyte,0.17766204476356506,4.447237491607666,0.039948854595422745
Cx3cl1,Cx3cr1,Ependymal,Microglia,0.17566975951194763,0.05961265414953232,2.9468533992767334
C1qa,Lrp1,VLMC,Oligodendrocyte,0.17163683474063873,4.296414375305176,0.039948854595422745
Gas6,Mertk,Ependymal,Endothelial,0.16854490339756012,1.144468069076538,0.14726920425891876
Gas6,Mertk,Astrocyte,VLMC,0.16836145520210266,0.3553585410118103,0.4737791121006012
Apoe,Trem2,Neuron,Ependymal,0.16769607365131378,1.0893279314041138,0.15394452214241028
C1qa,Lrp1,Ependymal,VLMC,0.1563853770494461,0.3486470878124237,0.44854921102523804
C1qa,Lrp1,Astrocyte,VLMC,0.15444937348365784,0.34433093667030334,0.44854921102523804
Apoe,Trem2,Neuron,Oligodendrocyte,0.1544121652841568,1.0893279314041138,0.14174993336200714
Apoe,Trem2,Neuron,Astrocyte,0.15361197292804718,1.0893279314041138,0.14101536571979523
C1qa,Lrp1,Astrocyte,Ependymal,0.15341860055923462,0.34433093667030334,0.4455556571483612
Apoe,Trem2,Pericyte,Neuron,0.14920121431350708,0.5433182120323181,0.27461111545562744
Gas6,Mertk,Neuron,VLMC,0.1484920233488083,0.3134203553199768,0.4737791121006012
C1qa,Lrp1,Oligodendrocyte,VLMC,0.14756633341312408,0.3289858400821686,0.44854921102523804
C1qa,Lrp1,Oligodendrocyte,Ependymal,0.1465815007686615,0.3289858400821686,0.4455556571483612
Tyrobp,Trem2,Ependymal,OPC,0.14581552147865295,0.7692762613296509,0.18954896926879883
C1qa,Lrp1,Microglia,Pericyte,0.14136849343776703,4.447237491607666,0.0317879356443882
Apoe,Trem2,Pericyte,Endothelial,0.13691593706607819,0.5433182120323181,0.25199952721595764
C1qa,Lrp1,VLMC,Pericyte,0.1365741491317749,4.296414375305176,0.0317879356443882
Gas6,Mertk,OPC,VLMC,0.13050627708435059,0.27545806765556335,0.4737791121006012
Tyrobp,Trem2,Ependymal,Pericyte,0.1292363554239273,0.7692762613296509,0.1679973304271698
C1qa,Lrp1,Neuron,Endothelial,0.12512840330600739,0.5938486456871033,0.21070757508277893
Gas6,Mertk,Microglia,OPC,0.12271792441606522,0.5636552572250366,0.21771804988384247
Cx3cl1,Cx3cr1,Endothelial,VLMC,0.11819899827241898,0.13473396003246307,0.8772769570350647
Tyrobp,Trem2,Ependymal,Oligodendrocyte,0.10904485732316971,0.7692762613296509,0.14174993336200714
Tyrobp,Trem2,Ependymal,Astrocyte,0.10847977548837662,0.7692762613296509,0.14101536571979523
Gas6,Mertk,VLMC,Neuron,0.10841788351535797,1.5997000932693481,0.06777387857437134
Gas6,Mertk,Endothelial,OPC,0.10617560148239136,0.4876747727394104,0.21771804988384247
Apoe,Trem2,Pericyte,OPC,0.10298540443181992,0.5433182120323181,0.18954896926879883
Gas6,Mertk,VLMC,Pericyte,0.1018277034163475,1.5997000932693481,0.06365424394607544
Gas6,Mertk,Oligodendrocyte,Microglia,0.10093305259943008,0.08897485584020615,1.1343997716903687
Cx3cl1,Cx3cr1,OPC,Endothelial,0.09761784970760345,0.34280654788017273,0.2847607433795929
Tyrobp,Trem2,Neuron,Endothelial,0.09376291930675507,0.37207576632499695,0.25199952721595764
Cx3cl1,Cx3cr1,OPC,Neuron,0.09092815965414047,0.34280654788017273,0.26524627208709717
C1qa,Lrp1,OPC,Endothelial,0.0870334655046463,0.41305333375930786,0.21070757508277893
Tyrobp,Trem2,Endothelial,Neuron,0.08605924993753433,0.31338590383529663,0.27461111545562744
C1qa,Lrp1,Pericyte,Endothelial,0.08413777500391006,0.3993106484413147,0.21070757508277893
Apoe,Trem2,Pericyte,Ependymal,0.08364086598157883,0.5433182120323181,0.15394452214241028
Gas6,Mertk,Microglia,Endothelial,0.08300906419754028,0.5636552572250366,0.14726920425891876
Gas6,Mertk,Ependymal,Neuron,0.077565036714077,1.144468069076538,0.06777387857437134
