gene,log2FC,p
Xkr4,-0.00047755794,0.74582255
Gm1992,0.0,1.0
Rp1,0.0,1.0
Sox17,-0.002118173,0.5403281
Mrpl15,-0.021593839,0.5610911
Lypla1,-0.0069601983,0.5866515
Gm37988,-0.0017149826,0.4226497
Tcea1,-0.026144385,0.26227176
Rgs20,-0.028192103,0.66775614
Gm16041,-0.0005648277,0.8586823
Atp6v1h,-0.047410384,0.108406365
Oprk1,0.0,1.0
Rb1cc1,0.016889423,0.66005147
4732440D04Rik,0.037692297,0.0015571011
St18,0.005252354,0.6779814
Pcmtd1,0.03578025,0.45915458
Gm26901,-0.0002577023,0.9110098
Sntg1,-0.003086639,0.6284669
Rrs1,0.0022090673,0.9231189
Adhfe1,-0.001891762,0.98236245
3110035E14Rik,-0.0062277736,0.36269096
Mybl1,-0.0034481194,0.5587253
Vcpip1,0.018689647,0.38987693
1700034P13Rik,-0.002120713,0.18361059
Sgk3,-0.015484609,0.36757237
Mcmdc2,0.0035922704,0.21796288
Snhg6,-0.04158531,0.49638188
Tcf24,-0.005266704,0.30264837
Ppp1r42,0.0109780105,0.08879584
Cops5,-0.010121703,0.8200561
Cspp1,-0.006643325,0.8003033
Arfgef1,0.027096123,0.26447085
Cpa6,0.0,1.0
Prex2,0.021481633,0.88132405
A830018L16Rik,-0.0016866849,0.57621574
Sulf1,-0.0017517656,0.53485173
Slco5a1,0.0,1.0
Ncoa2,0.0038948655,0.84102786
Gm29570,0.0,1.0
Tram1,-0.007732913,0.66683376
Lactb2,-0.015030295,0.47093993
Xkr9,-0.0015061008,0.4226497
Eya1,-0.016135976,0.6857747
Gm9947,0.0,1.0
Msc,-0.00061291823,0.42264965
Kcnb2,0.0065829707,0.3474918
Terf1,0.0067366213,0.3252512
Sbspon,0.0027123836,0.42769969
4930444P10Rik,0.0,1.0
Rpl7,0.011653423,0.8541363
Rdh10,-0.013642766,0.21036027
Stau2,-0.0036661588,0.7421232
Gm7568,0.0,1.0
Ube2w,-0.034145415,0.45274332
Tceb1,-0.0872131,0.1203328
D030040B21Rik,0.0007876205,0.42264977
Tmem70,-0.06883475,0.2201543
Ly96,0.0062736217,0.5699933
Jph1,0.0029304295,0.3296289
Gdap1,0.01011098,0.15496026
Pi15,0.0,1.0
Gm16070,0.0,1.0
Crispld1,0.0,1.0
Tfap2b,0.0,1.0
Il17a,0.0,1.0
Il17f,0.0006367682,0.4226497
Mcm3,0.02099122,0.039013155
6720483E21Rik,-0.0036509475,0.626483
Paqr8,-0.26517624,0.0070766844
Efhc1,0.00029720273,0.9648201
Tram2,-0.0050071934,0.42500412
Tmem14a,-0.0027143657,0.9403012
Gsta3,-0.0041177454,0.52289844
Gm28836,0.0,1.0
Kcnq5,-0.00077262754,0.4226497
Rims1,-1.2233853e-05,0.9980072
Gm27028,-0.0016516467,0.42264977
Gm29107,0.0105050765,0.1958377
Ogfrl1,0.046028107,0.25222477
B3gat2,0.010744195,0.54172695
Smap1,-0.020725548,0.64599764
Sdhaf4,-0.057531536,0.17147821
Fam135a,-0.021718271,0.48932633
Col9a1,-0.0034873644,0.4765971
Col19a1,0.0,1.0
Lmbrd1,-0.0239501,0.647631
Adgrb3,-0.023287475,0.5704741
Gm597,0.0,1.0
Phf3,-0.007451862,0.81950855
Ptp4a1,-0.055045217,0.2314198
