gene,log2FC,p
Xkr4,0.0,1.0
Gm1992,0.0,1.0
Rp1,0.0076145753,0.19415006
Sox17,-0.081130624,0.77445626
Mrpl15,-0.030127302,0.6987878
Lypla1,0.039968714,0.6996879
Gm37988,0.0,1.0
Tcea1,-0.06625411,0.27391183
Rgs20,0.0024680826,0.4226497
Gm16041,0.0,1.0
Atp6v1h,0.01164645,0.9063894
Oprk1,0.0,1.0
Rb1cc1,-0.04889989,0.5689831
4732440D04Rik,-0.015433684,0.5871263
St18,-0.004089103,0.81355363
Pcmtd1,-0.015311658,0.92048293
Gm26901,0.0016569801,0.42264965
Sntg1,0.0013156161,0.4226497
Rrs1,0.01357042,0.73248047
Adhfe1,0.0,1.0
3110035E14Rik,0.01634492,0.3737204
Mybl1,0.016112551,0.06788868
Vcpip1,0.067979984,0.2066998
1700034P13Rik,0.0,1.0
Sgk3,-0.07822717,0.13041908
Mcmdc2,0.0022182374,0.2501305
Snhg6,-0.045466393,0.50146264
Tcf24,-0.0070683034,0.23915891
Ppp1r42,0.013025011,0.42264965
Cops5,0.05865717,0.54414725
Cspp1,-0.019629583,0.7730487
Arfgef1,-0.026203051,0.66970754
Cpa6,0.0,1.0
Prex2,-0.090296745,0.37203985
A830018L16Rik,0.0,1.0
Sulf1,-0.0009778487,0.83426005
Slco5a1,-0.006472535,0.4317925
Ncoa2,-0.11397915,0.08420559
Gm29570,0.0,1.0
Tram1,0.075954735,0.33101124
Lactb2,-0.002848912,0.86189884
Xkr9,0.0,1.0
Eya1,0.029672695,0.4226497
Gm9947,0.0006312986,0.42264965
Msc,0.0018498292,0.7430699
Kcnb2,0.00096441066,0.42264977
Terf1,0.08611484,0.19723758
Sbspon,-0.01751918,0.6081715
4930444P10Rik,0.0,1.0
Rpl7,-0.11519647,0.61805487
Rdh10,0.026068319,0.076046444
Stau2,-0.008537533,0.7169066
Gm7568,0.0,1.0
Ube2w,0.01808858,0.76231045
Tceb1,-0.07228932,0.54174775
D030040B21Rik,0.0064044897,0.39609045
Tmem70,-0.02609311,0.81986004
Ly96,-0.013333999,0.7461163
Jph1,-0.0033456183,0.5362742
Gdap1,0.014204003,0.38548675
Pi15,-0.020839123,0.043887153
Gm16070,-0.012090262,0.4636966
Crispld1,-0.007842451,0.83900505
