gene,log2FC,p
Xkr4,0.0,1.0
Gm1992,-0.0009151524,0.2707658
Rp1,0.00714071,0.42345592
Sox17,0.0005777022,0.8019284
Mrpl15,0.012628168,0.58735937
Lypla1,-0.020187214,0.6656008
Gm37988,-0.003965846,0.19533624
Tcea1,0.0022473633,0.9436386
Rgs20,0.0025208532,0.52718997
Gm16041,0.0,1.0
Atp6v1h,-0.085748985,0.025272299
Oprk1,0.0,1.0
Rb1cc1,0.030247122,0.45035568
4732440D04Rik,0.045362994,0.20486626
St18,0.01623703,0.014122529
Pcmtd1,-0.037810177,0.36423928
Gm26901,0.0,1.0
Sntg1,0.0018270188,0.4226497
Rrs1,0.08018045,0.13433003
Adhfe1,0.049333274,0.121060476
3110035E14Rik,-1.3598241e-05,0.99685556
Mybl1,0.0024126577,0.6635805
Vcpip1,0.027678035,0.015104792
1700034P13Rik,-0.0021639504,0.099153265
Sgk3,-0.07010925,0.07433635
Mcmdc2,0.005837362,0.44378254
Snhg6,-0.022491373,0.3841005
Tcf24,0.0024493062,0.47736102
Ppp1r42,0.011665046,0.48366013
Cops5,-0.014719307,0.762279
Cspp1,0.1893142,0.1513826
Arfgef1,-0.007414192,0.8297648
Cpa6,-0.00016399303,0.42264965
Prex2,0.027390886,0.4803568
A830018L16Rik,-0.027094085,0.24157026
Sulf1,-0.47301644,0.044411287
Slco5a1,0.0007841624,0.42264965
Ncoa2,0.09081984,0.19502932
Gm29570,0.0,1.0
Tram1,0.0022081137,0.9699248
Lactb2,0.03177733,0.14011924
Xkr9,0.0,1.0
Eya1,0.0128022265,0.3440703
Gm9947,0.00033391162,0.89054346
Msc,0.0052040485,0.0073851086
Kcnb2,0.009535257,0.023444688
Terf1,0.04565417,0.10412421
Sbspon,-0.044398624,0.10355131
4930444P10Rik,0.023110356,0.40906256
Rpl7,0.24904108,0.08910185
Rdh10,0.057704017,0.43113568
Stau2,0.0030744746,0.8342925
Gm7568,0.0,1.0
Ube2w,0.0125475675,0.6254865
Tceb1,-0.0973053,0.07654911
D030040B21Rik,0.00051447767,0.42264965
Tmem70,-0.014004454,0.5883203
Ly96,-0.0055643655,0.7481046
Jph1,-0.014566243,0.23437905
Gdap1,0.00023966469,0.94495374
Pi15,0.033362336,0.20024079
Gm16070,-0.00039532495,0.69605714
Crispld1,0.010935378,0.08410688
Tfap2b,0.013149664,0.4226497
Il17a,0.00040344775,0.42264965
Il17f,0.0,1.0
Mcm3,0.037120212,0.18094565
6720483E21Rik,-0.0004988047,0.42264965
Paqr8,0.024678905,0.20816998
Efhc1,0.07104278,0.12554735
Tram2,0.005635567,0.6864893
Tmem14a,-0.015139915,0.40882796
Gsta3,0.0056186095,0.63753194
Gm28836,0.0,1.0
Kcnq5,-4.715036e-05,0.9670611
Rims1,-0.0016541581,0.76289916
Gm27028,0.0,1.0
Gm29107,0.00719164,0.23355284
Ogfrl1,0.1237918,0.24206223
B3gat2,0.0024513646,0.60011584
Smap1,0.048863977,0.27164492
Sdhaf4,-0.13474756,0.052053597
Fam135a,-0.0053093433,0.74868864
Col9a1,0.0025169202,0.5946082
Col19a1,0.0,1.0
Lmbrd1,-0.07811451,0.36591497
Adgrb3,0.014734406,0.055480875
Gm597,0.0004706003,0.42264965
Phf3,0.10533625,0.31500244
Ptp4a1,0.10554227,0.25377446
Khdrbs2,0.0048106904,0.4554323
Gm5415,0.0,1.0
Gm37724,0.0,1.0
Prim2,0.04922207,0.26914412
Rab23,0.036184024,0.2196755
Bag2,0.072581984,0.024019139
Zfp451,0.012725286,0.37232417
Bend6,-2.2772234e-05,0.99299604
Dst,0.18367083,0.08550381
Gm37233,0.010838887,0.22646677
Ccdc115,0.043459617,0.0574079
Gm28306,0.0,1.0
Imp4,-0.04519715,0.121223375
Ptpn18,0.16478571,0.060911007
4930568A12Rik,0.0,1.0
Prss39,0.0,1.0
Amer3,0.0,1.0
Arhgef4,0.07076528,0.06455238
Gm38336,-0.00072658627,0.4226497
Fam168b,0.11636962,0.13998216
Plekhb2,-0.054385483,0.24344382
1110002O04Rik,-0.0020492931,0.4226497
Hs6st1,0.008199245,0.5630041
Gm37335,0.0,1.0
Gm33280,0.0,1.0
Uggt1,-0.017107062,0.30233654
Neurl3,0.06612513,0.27077764
Arid5a,0.02196667,0.38994277
4930403P22Rik,0.00432745,0.39082232
Kansl3,0.04521586,0.43782723
Lman2l,0.02103708,0.1494629
Cnnm4,0.00712654,0.3048188
Cnnm3,-0.001713179,0.89490235
Gm38033,0.0,1.0
Ankrd23,0.0,1.0
Gm43543,-0.000271002,0.4226497
Ankrd39,0.0022154413,0.825878
Sema4c,0.0038415245,0.08177318
Fam178b,-0.00065345084,0.55126804
Cox5b,-0.27858055,0.13198698
Actr1b,0.02757737,0.39756912
4933424G06Rik,0.00075871294,0.42264977
Zap70,0.01305472,0.3429077
Tmem131,0.09892842,0.27613884
Vwa3b,0.026901847,0.20830777
Inpp4a,0.028373934,0.33506405
Coa5,0.023575403,0.36601958
Unc50,-0.036020637,0.34117827
Mgat4a,0.014835201,0.5105456
2010300C02Rik,0.05527824,0.17260544
4930556I23Rik,0.0,1.0
Tsga10,0.12032054,0.08828584
Lipt1,-0.0014108364,0.79548115
Mitd1,0.06272888,0.03547269
Mrpl30,0.10708904,0.2417154
Lyg2,0.040377095,0.067565314
Txndc9,0.05260068,0.18136904
Eif5b,0.011988223,0.7014764
Rev1,0.028228238,0.2960175
Aff3,0.018403953,0.26508322
Gm16150,-0.022027787,0.06321614
Gm16152,0.0,1.0
Lonrf2,0.0044688582,0.471307
Chst10,0.002442454,0.690336
