gene,log2FC,p
Xkr4,0.00045194154,0.41756493
Gm1992,0.0,1.0
Rp1,0.0,1.0
Sox17,0.0025921238,0.35236266
Mrpl15,0.014468163,0.23139457
Lypla1,0.010980561,0.64527047
Gm37988,0.00013932445,0.4226497
Tcea1,-0.0046750605,0.8516552
Rgs20,0.0011103633,0.24847698
Gm16041,0.0,1.0
Atp6v1h,0.022024885,0.11754661
Oprk1,0.0,1.0
Rb1cc1,0.0038728118,0.8396044
4732440D04Rik,0.0017701853,0.2724905
St18,0.0021799905,0.5658046
Pcmtd1,-0.006919265,0.37928873
Gm26901,-0.00010987953,0.9125024
Sntg1,0.001205817,0.33428124
Rrs1,0.012257688,0.2794796
Adhfe1,-0.0027480265,0.14559467
3110035E14Rik,0.0055676345,0.32962656
Mybl1,0.0006966763,0.6116797
Vcpip1,0.036460504,0.025377076
1700034P13Rik,0.0010020882,0.23762098
Sgk3,0.03327343,0.44864264
Mcmdc2,0.0022224411,0.3741167
Snhg6,0.019453436,0.7165117
Tcf24,0.00019554491,0.8679848
Ppp1r42,-0.00024945024,0.42264965
Cops5,0.007446468,0.7443371
Cspp1,0.012182653,0.07597838
Arfgef1,0.010492414,0.2945535
Cpa6,0.0,1.0
Prex2,0.0007674,0.8336815
A830018L16Rik,-0.00033736657,0.18401487
Sulf1,-0.0019493521,0.34548676
Slco5a1,-0.00024494695,0.6037724
Ncoa2,0.014441371,0.31522822
Gm29570,-0.0001229445,0.75800544
Tram1,0.018517911,0.8201988
Lactb2,-0.018311039,0.23150626
Xkr9,0.00050779455,0.6661471
Eya1,0.00026388757,0.7787794
Gm9947,0.0,1.0
Msc,0.0,1.0
Kcnb2,-0.00132613,0.05278202
Terf1,0.01133357,0.16179328
Sbspon,-0.00022458879,0.4226497
4930444P10Rik,0.00136859,0.18484204
Rpl7,-0.09505677,0.47255012
Rdh10,0.0008110553,0.84029335
Stau2,-0.0071454197,0.54987043
Gm7568,0.0,1.0
Ube2w,0.0060628206,0.81861377
Tceb1,-0.0007753372,0.97718626
D030040B21Rik,-0.00049156963,0.42987093
Tmem70,0.022224382,0.007967672
Ly96,-0.078288674,0.027355967
Jph1,0.0007219628,0.6330284
Gdap1,-0.00078987214,0.43192607
Pi15,0.0,1.0
Gm16070,0.0,1.0
Crispld1,0.00010581395,0.42264965
Tfap2b,0.0,1.0
Il17a,0.0,1.0
Il17f,0.00022306037,0.4226497
Mcm3,0.03304915,0.010294753
6720483E21Rik,0.00017518498,0.4226497
Paqr8,0.004598517,0.48466268
Efhc1,-0.0005204128,0.41610798
Tram2,-0.004001759,0.60259366
Tmem14a,-0.0011935104,0.6827936
Gsta3,0.00032597434,0.560023
Gm28836,0.0,1.0
Kcnq5,-0.00021434866,0.54393536
Rims1,0.0008491264,0.7689383
Gm27028,0.00045176866,0.1944324
Gm29107,0.005205853,0.23202331
Ogfrl1,0.09374225,0.45022544
B3gat2,0.00033871923,0.8920361
Smap1,-0.0012190044,0.93156546
Sdhaf4,-0.027619243,0.11433212
Fam135a,-0.0033504665,0.76191694
Col9a1,-7.943924e-05,0.7466336
Col19a1,0.0,1.0
Lmbrd1,-0.01746428,0.2624272
Adgrb3,0.0012926987,0.553857
Gm597,0.00030537273,0.42264965
Phf3,-0.004296154,0.8663867
Ptp4a1,-0.021209866,0.47191694
Khdrbs2,0.0005888362,0.49580368
Gm5415,0.0,1.0
Gm37724,0.00017194141,0.6047269
Prim2,-0.013399694,0.030577075
Rab23,0.0032650642,0.46136773
Bag2,-0.0011260388,0.6173243
Zfp451,0.00019222498,0.992486
Bend6,-0.013204291,0.3998612
Dst,-0.10748464,0.1879369
Gm37233,0.019795842,0.107733555
Ccdc115,0.054017514,0.022847522
Gm28306,0.00051995873,0.21694635
Imp4,0.0088252425,0.6035127
Ptpn18,-0.062449217,0.1202273
4930568A12Rik,-0.001443021,0.25159463
Prss39,-0.0002351892,0.5918182
Amer3,-3.685808e-05,0.8910303
Arhgef4,0.006474646,0.46075
Gm38336,-0.004553215,0.15562254
Fam168b,-0.032052904,0.14136568
Plekhb2,-0.014982477,0.36313656
1110002O04Rik,0.0,1.0
Hs6st1,0.0449955,0.08696514
Gm37335,-0.0006712157,0.23585448
Gm33280,0.00016992733,0.4226497
Uggt1,0.006712839,0.5820792
Neurl3,-0.103036225,0.27724603
Arid5a,0.06704539,0.12865007
4930403P22Rik,-0.0045756083,0.115988635
Kansl3,0.02014096,0.19559172
Lman2l,0.03571582,0.24769306
Cnnm4,0.017921228,0.09650818
Cnnm3,-0.0042552724,0.6716243
Gm38033,0.0008643065,0.41862473
Ankrd23,-0.0002566846,0.7946241
Gm43543,0.0012243849,0.27523616
Ankrd39,0.022462018,0.002512764
Sema4c,0.075117365,0.013545702
Fam178b,0.0012183413,0.3492694
Cox5b,0.0063348413,0.93505
Actr1b,0.03397374,0.17363232
4933424G06Rik,-3.587088e-05,0.9456338
Zap70,0.0001387128,0.74748945
Tmem131,-0.0102160275,0.50129396
Vwa3b,-0.0009981552,0.26988912
Inpp4a,0.012432896,0.39945143
Coa5,0.0035573393,0.66359687
Unc50,0.014365941,0.68740946
Mgat4a,-0.03894919,0.54740226
2010300C02Rik,-0.0022090897,0.38719654
4930556I23Rik,-0.00023976633,0.42264977
Tsga10,-0.0020063072,0.7533961
Lipt1,0.0029480732,0.31894842
Mitd1,0.03344339,0.065050304
Mrpl30,-0.0015106499,0.93781185
Lyg2,0.0,1.0
Txndc9,0.0028755367,0.8635055
Eif5b,0.03718537,0.21357304
Rev1,0.009825673,0.28022146
Aff3,0.00059554697,0.51564384
Gm16150,0.0,1.0
Gm16152,0.0,1.0
Lonrf2,-0.00034939032,0.82177305
Chst10,-0.00033278018,0.9187455
Pdcl3,0.012165576,0.44409448
Npas2,-0.00024174964,0.4226497
Rpl31,-0.038546324,0.3818171
Tbc1d8,0.0098002255,0.60469246
Cnot11,0.0015743524,0.85844284
Rnf149,0.005516976,0.92441773
Creg2,0.001877855,0.24331374
D930019O06Rik,-7.156374e-05,0.80567384
Rfx8,-0.00015421618,0.4226497
1700066B17Rik,0.0,1.0
Map4k4,-0.0390442,0.39738497
Il1r2,-0.00045818207,0.9102561
Gm16894,0.00038378825,0.77732056
Il1r1,0.0006415406,0.79989666
Il1rl2,0.012644522,0.4351906
Il1rl1,-0.0020382516,0.5401055
Il18r1,0.0004152214,0.19362126
Il18rap,0.004182741,0.62613726
Slc9a4,0.0,1.0
Slc9a2,-0.0006582947,0.35823166
Mfsd9,0.0003163158,0.77960145
Tmem182,0.0,1.0
Gm29260,0.0,1.0
Gm9915,-0.00016467906,0.4226497
Pantr1,0.008420708,0.32773197
Pou3f3,0.004987197,0.54151195
Dalir,0.0002782098,0.4226497
Mrps9,0.0075889975,0.34864345
Gpr45,0.00011218345,0.63848937
Tgfbrap1,0.01725018,0.37251464
Gm28782,0.00040423483,0.4226497
8430432A02Rik,-0.001083784,0.32511073
AI597479,0.010713229,0.028763786
Fhl2,0.00030647783,0.58692384
Nck2,0.0004194564,0.3734944
1500015O10Rik,-0.037942346,0.026443211
Gm29155,-0.00050784054,0.33702758
Gm29157,0.00022596738,0.4226497
Gm29156,2.3245666e-05,0.95100546
Uxs1,0.020492673,0.20905095
Tpp2,0.05601886,0.07900135
Mettl21c,-0.0026775347,0.528277
Gm8251,-0.0008326577,0.34011644
Tex30,0.011159658,0.6895312
Kdelc1,0.009562045,0.04502375
Bivm,0.002059929,0.42417166
Ercc5,-0.00049592555,0.9799338
Gulp1,-0.0010036075,0.3614445
Col3a1,0.0,1.0
Col5a2,3.5028177e-05,0.9329532
Wdr75,-0.0011064559,0.9089736
Gm5269,-0.0018539677,0.027940555
Slc40a1,-0.014460057,0.7777336
Dnah7b,0.00087668054,0.11446351
Dnah7c,0.00014489457,0.42264977
Slc39a10,-0.020285122,0.36542463
Gm28151,0.0011692848,0.57769936
Tmeff2,0.008607082,0.53806907
Gm28322,0.0005864519,0.28025725
Gm29325,1.2705277e-06,0.9948598
9330175M20Rik,0.0,1.0
Sdpr,-0.0005641432,0.7258918
1700072G22Rik,0.0,1.0
Nabp1,0.049911886,0.40211833
Myo1b,-0.0022969544,0.85070336
Stat4,-0.00052229577,0.42264977
Stat1,0.049417853,0.34619048
Gls,-0.0007020831,0.995145
Nab1,0.0015220642,0.94030946
Gm553,0.0003374345,0.18402822
Tmem194b,0.008101605,0.087986365
