gene,log2FC,p
Xkr4,-0.060826544,0.042620037
Gm1992,0.0,1.0
Rp1,0.0,1.0
Sox17,0.01341157,0.22194919
Mrpl15,0.0827519,0.5495443
Lypla1,-0.080104694,0.17547587
Gm37988,0.0,1.0
Tcea1,0.08303577,0.09313979
Rgs20,0.075814,0.06650838
Gm16041,0.0,1.0
Atp6v1h,-0.06988412,0.43677998
Oprk1,-0.0048689665,0.42264965
Rb1cc1,0.04565227,0.6974417
4732440D04Rik,-0.02882963,0.6587547
St18,-0.037782863,0.48057118
Pcmtd1,-0.47822586,0.20584162
Gm26901,0.025715709,0.22769204
Sntg1,-0.092890754,0.22338435
Rrs1,0.051010735,0.37449437
Adhfe1,0.013447256,0.42264977
3110035E14Rik,-0.1317401,0.21670118
Mybl1,-0.014556166,0.41644323
Vcpip1,-0.10718137,0.26275793
1700034P13Rik,0.0,1.0
Sgk3,-0.03925438,0.28242877
Mcmdc2,0.0269306,0.04066086
Snhg6,0.0046492517,0.97599214
Tcf24,0.013848867,0.20730299
Ppp1r42,0.0027743576,0.42264965
Cops5,0.12680146,0.5097974
Cspp1,-0.059616446,0.5230991
Arfgef1,-0.0047397614,0.95607424
Cpa6,0.0017652015,0.4226497
Prex2,0.011958376,0.7489424
A830018L16Rik,-0.041521586,0.53528744
Sulf1,0.011587281,0.3858859
Slco5a1,0.03384092,0.532055
Ncoa2,-0.17152032,0.15170038
Gm29570,0.0,1.0
Tram1,-0.08185394,0.13494393
Lactb2,0.028493557,0.09737461
Xkr9,-0.0025024228,0.4226497
Eya1,-0.06054867,0.5143188
Gm9947,-0.005143722,0.42264965
Msc,-0.0059789456,0.42264977
Kcnb2,-0.21905363,0.24032901
Terf1,-0.033252448,0.7195557
Sbspon,-0.007488336,0.42264965
4930444P10Rik,-0.016569111,0.4226497
Rpl7,0.31405973,0.5207506
Rdh10,0.04578288,0.20806976
Stau2,-0.03180103,0.73861116
Gm7568,0.0,1.0
Ube2w,-0.054187626,0.6130418
Tceb1,0.03905666,0.85897076
D030040B21Rik,0.0,1.0
Tmem70,0.08327517,0.30731916
Ly96,0.009259353,0.6702014
Jph1,0.02295342,0.65184104
Gdap1,-0.009584904,0.9455131
Pi15,0.0,1.0
Gm16070,0.0,1.0
Crispld1,-0.009757865,0.5658958
Tfap2b,0.0,1.0
Il17a,0.0,1.0
Il17f,0.0,1.0
Mcm3,0.03174395,0.6166757
6720483E21Rik,0.001983923,0.42264977
Paqr8,0.00024614483,0.99653214
Efhc1,0.0,1.0
Tram2,-0.107217446,0.19679357
Tmem14a,-0.0070006847,0.91104466
Gsta3,0.011296153,0.52133363
Gm28836,0.0,1.0
Kcnq5,0.026709676,0.52895576
Rims1,-0.015562981,0.7940863
Gm27028,0.0,1.0
Gm29107,0.02127908,0.2782926
Ogfrl1,0.028859884,0.8400446
B3gat2,0.011336981,0.64423895
Smap1,-0.10245392,0.31543022
Sdhaf4,-0.013294071,0.9125317
Fam135a,-0.014809921,0.8499189
Col9a1,0.0,1.0
Col19a1,0.03615832,0.42264965
Lmbrd1,-0.20004383,0.27277634
