gene,log2FC,p
Xkr4,0.014667392,0.24733043
Gm1992,0.0,1.0
Rp1,0.0,1.0
Sox17,0.0,1.0
Mrpl15,0.023561448,0.63810766
Lypla1,-0.017924339,0.50949514
Gm37988,0.0,1.0
Tcea1,0.04127881,0.6551095
Rgs20,0.0013042241,0.9766667
Gm16041,0.002241217,0.4226497
Atp6v1h,-0.00035962462,0.99561745
Oprk1,0.0,1.0
Rb1cc1,0.15270215,0.121375255
4732440D04Rik,0.013315119,0.10900333
St18,0.061465647,0.19446006
Pcmtd1,-0.0019714832,0.96260184
Gm26901,0.004736431,0.85147804
Sntg1,-0.04210481,0.50021416
Rrs1,0.076425165,0.05768271
Adhfe1,-0.015908625,0.16036102
3110035E14Rik,-0.13533223,0.24078423
Mybl1,0.008361574,0.6320985
Vcpip1,-0.030965984,0.43784046
1700034P13Rik,-0.0018106614,0.67277277
Sgk3,0.016632438,0.6685243
Mcmdc2,0.004034712,0.5932905
Snhg6,0.020570338,0.35407582
Tcf24,0.0027728153,0.46318603
Ppp1r42,-0.004504683,0.42264965
Cops5,0.07280889,0.26056412
Cspp1,0.008707434,0.8743402
Arfgef1,0.111323,0.12597634
Cpa6,0.0,1.0
Prex2,-0.0038938075,0.7788092
A830018L16Rik,0.0032692007,0.56312287
Sulf1,-0.04611227,0.22767173
Slco5a1,0.014378782,0.2189422
Ncoa2,-0.059064716,0.27768835
Gm29570,0.0,1.0
Tram1,-0.035767555,0.67520386
Lactb2,0.004442483,0.69221103
Xkr9,0.0,1.0
Eya1,-0.0036942065,0.95035195
Gm9947,0.0,1.0
Msc,0.0,1.0
Kcnb2,-0.03236773,0.23575367
Terf1,-0.0035657436,0.92353886
Sbspon,-0.0016968917,0.42264977
4930444P10Rik,-0.0036597422,0.6711111
Rpl7,-0.037961483,0.68798953
Rdh10,-0.0077399015,0.7725313
Stau2,-0.02369389,0.5641335
Gm7568,0.0019261389,0.4226497
Ube2w,0.014975339,0.71638453
Tceb1,-0.058237016,0.48037943
D030040B21Rik,0.0,1.0
Tmem70,0.028256893,0.39307493
Ly96,-0.0019083694,0.9262241
Jph1,0.013770143,0.37351942
Gdap1,-0.07547903,0.22693025
Pi15,0.0,1.0
Gm16070,0.0,1.0
Crispld1,0.0028389085,0.42264965
Tfap2b,0.0,1.0
Il17a,0.0,1.0
Il17f,0.0,1.0
Mcm3,-0.021966714,0.31983155
6720483E21Rik,0.00065605994,0.89287955
Paqr8,-0.028528884,0.4432445
Efhc1,0.0044119465,0.42264965
Tram2,-0.0142187225,0.09368601
Tmem14a,0.0082117915,0.89415896
Gsta3,0.01742673,0.28530675
Gm28836,0.0010947715,0.4226497
Kcnq5,0.0010304786,0.9699311
Rims1,0.0041878223,0.8076133
Gm27028,-0.0029675483,0.42264965
Gm29107,-0.01877731,0.45859918
Ogfrl1,-0.005010098,0.9283437
B3gat2,-0.095118225,0.45304275
Smap1,0.014374971,0.8922257
Sdhaf4,-0.09978227,0.2593396
Fam135a,-0.018879399,0.76462317
Col9a1,0.017085582,0.14289483
Col19a1,0.0,1.0
Lmbrd1,-0.07622874,0.17145225
Adgrb3,0.1239633,0.19716866
Gm597,0.0,1.0
Phf3,0.055362463,0.39771274
Ptp4a1,-0.030287564,0.78743064
Khdrbs2,-0.07182291,0.20460112
Gm5415,0.0028203009,0.7306227
Gm37724,-0.0016341523,0.42264977
Prim2,-0.01892902,0.4078867
Rab23,0.021013439,0.72444284
Bag2,-0.018389724,0.411782
Zfp451,-0.01746872,0.46129256
Bend6,0.075028606,0.21279345
Dst,-0.09146273,0.028644213
Gm37233,0.002883068,0.61321944
Ccdc115,0.02243857,0.5220452
Gm28306,0.0,1.0
Imp4,0.007541001,0.8266458
Ptpn18,0.02732637,0.2849257
4930568A12Rik,0.0,1.0
Prss39,0.0,1.0
Amer3,-0.0016799606,0.4226497
Arhgef4,0.021956623,0.44141844
Gm38336,0.00347442,0.59345037
Fam168b,0.002416879,0.96546775
Plekhb2,0.038833603,0.20795266
1110002O04Rik,-0.0026074734,0.4226497
Hs6st1,0.018926658,0.37537614
Gm37335,0.0,1.0
Gm33280,-0.002338513,0.42264977
Uggt1,-0.013538003,0.6930949
Neurl3,0.012936123,0.49632552
Arid5a,-0.045753818,0.068064496
4930403P22Rik,-0.00754593,0.08535913
Kansl3,0.049267024,0.39596897
Lman2l,0.015318185,0.7773952
Cnnm4,-0.049921915,0.04805236
Cnnm3,-0.080175266,0.2088545
Gm38033,0.0,1.0
Ankrd23,-0.0054453113,0.42264977
Gm43543,0.0,1.0
Ankrd39,-0.011983015,0.6159567
Sema4c,0.013218366,0.6956176
Fam178b,-0.005054033,0.42264977
Cox5b,0.01643169,0.88365525
Actr1b,-0.03943193,0.32313135
4933424G06Rik,-0.0036370791,0.18460853
Zap70,0.0,1.0
Tmem131,0.033241943,0.25668973
Vwa3b,0.0040036603,0.1880653
Inpp4a,0.0021557212,0.9701249
Coa5,0.03042727,0.34204656
Unc50,-0.0536125,0.1969788
Mgat4a,-0.041808188,0.20771925
2010300C02Rik,0.0003303811,0.9735923
4930556I23Rik,0.0,1.0
Tsga10,-0.03354457,0.024387788
Lipt1,-0.004415651,0.7039605
Mitd1,-0.015095085,0.5864795
Mrpl30,0.06971231,0.34147295
Lyg2,0.0,1.0
Txndc9,0.13858643,0.19587727
Eif5b,-0.013928235,0.7431587
Rev1,0.045092583,0.32651943
Aff3,-0.027066668,0.027072463
Gm16150,0.0,1.0
Gm16152,0.014148412,0.3675381
Lonrf2,-0.0002696514,0.99543303
Chst10,0.0015421808,0.9800836
Pdcl3,0.036464706,0.5240687
Npas2,-0.0072886283,0.29942456
Rpl31,-0.033949077,0.6596956
Tbc1d8,0.02838416,0.023868104
Cnot11,-0.033158273,0.4778266
Rnf149,0.0076583773,0.69040453
Creg2,-0.052354783,0.28883666
D930019O06Rik,-0.0019779063,0.4226497
Rfx8,0.004258644,0.18751603
1700066B17Rik,0.0,1.0
Map4k4,0.006939888,0.9225643
Il1r2,-0.0020274764,0.42264965
Gm16894,-0.00034330785,0.98121697
Il1r1,0.004422591,0.47144395
Il1rl2,0.0018354874,0.42264977
Il1rl1,0.0,1.0
Il18r1,0.0,1.0
Il18rap,0.0,1.0
Slc9a4,0.0,1.0
Slc9a2,0.003973088,0.5274028
Mfsd9,-0.013016073,0.23894061
Tmem182,0.0,1.0
Gm29260,0.0,1.0
Gm9915,0.0020827306,0.6380589
Pantr1,0.042018086,0.5765962
Pou3f3,-0.053294837,0.49083266
Dalir,-0.007339995,0.4226497
