gene,log2FC,p
Xkr4,0.005699441,0.4320081
Gm1992,0.0,1.0
Rp1,0.0,1.0
Sox17,0.0007176511,0.54219466
Mrpl15,0.008460939,0.80140364
Lypla1,0.014377013,0.35449064
Gm37988,-0.0005435394,0.6359205
Tcea1,-0.008295238,0.78104526
Rgs20,0.0005348495,0.79535246
Gm16041,-0.00039820865,0.4226497
Atp6v1h,-0.000972569,0.9677728
Oprk1,0.0,1.0
Rb1cc1,0.028703153,0.21866359
4732440D04Rik,0.012578178,0.32464108
St18,0.0077874064,0.94260085
Pcmtd1,0.07249379,0.14936867
Gm26901,9.0096146e-05,0.97583234
Sntg1,-0.0011461074,0.02608968
Rrs1,0.023462772,0.4605605
Adhfe1,0.007902211,0.5473114
3110035E14Rik,-0.00047627278,0.9018406
Mybl1,0.0045172125,0.39164394
Vcpip1,0.023299664,0.07833708
1700034P13Rik,0.00039207377,0.82668257
Sgk3,-0.00062048435,0.98607844
Mcmdc2,-0.0029628603,0.19815917
Snhg6,-0.10741335,0.31799975
Tcf24,0.00012513,0.90269446
Ppp1r42,0.0006127493,0.2795217
Cops5,-0.0071416497,0.8344864
Cspp1,0.015381008,0.448323
Arfgef1,0.03700082,0.06923071
Cpa6,0.0,1.0
Prex2,-0.0034360215,0.44391668
A830018L16Rik,0.0,1.0
Sulf1,-0.0030487953,0.22908904
Slco5a1,-8.54675e-05,0.87684715
Ncoa2,0.0143965185,0.6567883
Gm29570,0.0,1.0
Tram1,0.018198445,0.295299
Lactb2,0.0015220493,0.90693516
Xkr9,0.0,1.0
Eya1,0.00036616577,0.8455153
Gm9947,0.0,1.0
Msc,0.0,1.0
Kcnb2,-0.0005755222,0.1631578
Terf1,0.00074090064,0.94379735
Sbspon,0.0,1.0
4930444P10Rik,-0.0013099355,0.23587045
Rpl7,-0.07661474,0.24267861
Rdh10,0.0070138536,0.3223017
Stau2,0.007191498,0.5889659
Gm7568,-0.00022105247,0.6633656
Ube2w,-0.015383944,0.43604204
Tceb1,-0.08711982,0.14498733
D030040B21Rik,0.00028710178,0.6527965
Tmem70,-0.015815139,0.49667856
Ly96,-0.005444484,0.30974266
Jph1,0.016397178,0.8135548
Gdap1,-0.005663976,0.8050172
Pi15,0.00012617122,0.4226497
Gm16070,0.0,1.0
Crispld1,0.00023649297,0.4226497
Tfap2b,0.0,1.0
Il17a,-0.00037513638,0.4226497
Il17f,-0.00026705014,0.42264965
Mcm3,-0.0031417124,0.63313407
6720483E21Rik,-0.0020772468,0.45556942
Paqr8,0.00024068356,0.99452364
Efhc1,0.0035448098,0.07059497
Tram2,0.0015096604,0.43876836
Tmem14a,-0.033821374,0.32308766
Gsta3,0.008247457,0.118722804
Gm28836,0.0001383354,0.8945007
Kcnq5,0.00023097883,0.4226497
Rims1,0.000656466,0.81205285
Gm27028,0.0,1.0
Gm29107,0.0023123305,0.32023114
Ogfrl1,0.035957985,0.059388537
B3gat2,0.00010627508,0.9767281
Smap1,-0.012563407,0.6415179
Sdhaf4,-0.019283049,0.14430721
Fam135a,0.009752534,0.46573058
Col9a1,-0.0052659363,0.5249963
Col19a1,0.0005304914,0.28698853
Lmbrd1,0.008126259,0.8428053
Adgrb3,-0.0047286004,0.7664726
Gm597,1.1558179e-05,0.9967251
Phf3,0.083983004,0.12958434
Ptp4a1,-0.10633397,0.0422984
Khdrbs2,-0.00081872125,0.7199902
Gm5415,0.0,1.0
Gm37724,0.00036870365,0.42264977
Prim2,0.002236709,0.9559749
Rab23,0.007892333,0.47867018
Bag2,0.0012471816,0.2172891
Zfp451,-0.014195561,0.40011573
Bend6,0.0009906571,0.82065314
Dst,-0.022893667,0.8176757
Gm37233,0.0016225887,0.28076163
Ccdc115,-0.006376326,0.7333333
Gm28306,0.00023656111,0.42264965
Imp4,-0.016254932,0.48088405
Ptpn18,0.014132548,0.3021111
4930568A12Rik,0.00025762807,0.4226497
Prss39,0.0,1.0
Amer3,0.00028435307,0.42264965
Arhgef4,-0.00010528695,0.9736738
Gm38336,-0.0021109944,0.07828277
Fam168b,0.0002773553,0.9932752
Plekhb2,0.0012492836,0.9543055
1110002O04Rik,-0.00019571558,0.95137197
Hs6st1,0.018908337,0.4655352
Gm37335,0.0,1.0
Gm33280,0.0005289609,0.18379912
Uggt1,-0.0021045506,0.82762283
Neurl3,0.0009427592,0.9246199
