gene,log2FC,p
Xkr4,0.0,1.0
Gm1992,0.0,1.0
Rp1,0.0,1.0
Sox17,0.0,1.0
Mrpl15,0.097526774,0.12193667
Lypla1,-0.029759072,0.55117357
Gm37988,0.0,1.0
Tcea1,-0.021015882,0.8071136
Rgs20,0.0,1.0
Gm16041,0.0,1.0
Atp6v1h,0.0056699365,0.8592294
Oprk1,0.0,1.0
Rb1cc1,-0.052109957,0.3438419
4732440D04Rik,0.016517017,0.5375946
St18,0.0037251064,0.7771617
Pcmtd1,0.012593985,0.9023123
Gm26901,0.008036207,0.5804858
Sntg1,0.0,1.0
Rrs1,0.038276333,0.14541376
Adhfe1,0.0,1.0
3110035E14Rik,0.008574358,0.5544577
Mybl1,-0.004567265,0.42264965
Vcpip1,0.09381432,0.2267479
1700034P13Rik,0.0,1.0
Sgk3,-0.011201199,0.82568747
Mcmdc2,0.0,1.0
Snhg6,-0.0370166,0.7706922
Tcf24,0.0,1.0
Ppp1r42,0.0,1.0
Cops5,0.059189007,0.30204204
Cspp1,0.03906831,0.52988446
Arfgef1,-0.014809608,0.85765487
Cpa6,0.0,1.0
Prex2,-0.018620297,0.24332665
A830018L16Rik,0.0,1.0
Sulf1,-0.011340265,0.42264977
Slco5a1,0.0,1.0
Ncoa2,0.039758667,0.5114507
Gm29570,0.0,1.0
Tram1,-0.13110277,0.2831328
Lactb2,0.0011425242,0.97840345
Xkr9,0.0,1.0
Eya1,0.01904732,0.4226497
Gm9947,0.0,1.0
Msc,0.0147500485,0.4226497
Kcnb2,-0.0126042375,0.42264977
Terf1,-0.033063374,0.702722
Sbspon,0.0,1.0
4930444P10Rik,0.006637106,0.4226497
Rpl7,-0.08606839,0.36686847
Rdh10,0.008908451,0.7177629
Stau2,0.018223897,0.57461435
Gm7568,0.0,1.0
Ube2w,0.042961493,0.28506172
Tceb1,0.05068004,0.21643893
D030040B21Rik,0.0,1.0
Tmem70,0.0071759447,0.77916825
Ly96,-0.052428342,0.40803865
Jph1,0.0,1.0
Gdap1,-0.005531991,0.4226497
Pi15,0.0,1.0
Gm16070,0.0,1.0
Crispld1,0.0,1.0
Tfap2b,0.0,1.0
Il17a,0.10615444,0.36010313
Il17f,0.02494138,0.4226497
Mcm3,0.013617218,0.77439004
