gene,log2FC,p
Xkr4,0.0,1.0
Gm1992,0.0,1.0
Rp1,0.0,1.0
Sox17,0.0058978037,0.4226497
Mrpl15,0.09574251,0.28107995
Lypla1,0.002200231,0.9516573
Gm37988,0.0,1.0
Tcea1,0.019381762,0.69641256
Rgs20,-0.015910061,0.42264965
Gm16041,0.0,1.0
Atp6v1h,0.096180655,0.22022983
Oprk1,0.0,1.0
Rb1cc1,0.012474164,0.73119986
4732440D04Rik,0.017627241,0.31806108
St18,0.010358065,0.7549918
Pcmtd1,0.03964165,0.2019084
Gm26901,0.0,1.0
Sntg1,0.0,1.0
Rrs1,0.0681638,0.027694989
Adhfe1,0.022830134,0.253891
3110035E14Rik,-0.0011525685,0.8844379
Mybl1,0.0,1.0
Vcpip1,0.008864917,0.84173536
1700034P13Rik,0.0,1.0
Sgk3,0.08675091,0.26815543
Mcmdc2,0.016639505,0.4226497
Snhg6,-0.011918783,0.8846679
Tcf24,0.00328557,0.4226497
Ppp1r42,0.0,1.0
Cops5,0.09881701,0.25551477
Cspp1,0.085244715,0.024048265
Arfgef1,0.029679999,0.70038676
Cpa6,0.0,1.0
Prex2,0.0,1.0
A830018L16Rik,0.0,1.0
Sulf1,-0.0077494476,0.4226497
Slco5a1,0.0,1.0
Ncoa2,-0.015260637,0.5261239
Gm29570,0.0,1.0
Tram1,-0.010242969,0.8783582
Lactb2,0.034061484,0.56082577
Xkr9,0.0,1.0
Eya1,0.0,1.0
Gm9947,0.0,1.0
Msc,0.0,1.0
Kcnb2,0.0,1.0
Terf1,-0.010003559,0.8728812
Sbspon,0.0,1.0
4930444P10Rik,0.0,1.0
Rpl7,-0.06020212,0.77977467
Rdh10,0.004304759,0.8349214
Stau2,-0.0068062283,0.8273949
Gm7568,0.0,1.0
Ube2w,0.055221647,0.38885528
Tceb1,0.039357007,0.6292292
D030040B21Rik,0.0,1.0
Tmem70,0.028812721,0.58563626
Ly96,-0.039080262,0.8215593
Jph1,0.00697537,0.20717554
Gdap1,-0.003256561,0.42264965
Pi15,0.0,1.0
Gm16070,0.0,1.0
Crispld1,0.0,1.0
Tfap2b,0.0,1.0
Il17a,0.0,1.0
Il17f,0.0,1.0
Mcm3,-0.041015312,0.22770436
6720483E21Rik,0.0,1.0
