celltype,gene,log2FC_pb,p,n_ctrl,n_surg
Ependymal,Fos,0.65262395,0.09798027,3,3
Ependymal,Gltp,0.090127096,0.10512175,3,3
Ependymal,Junb,0.56126255,0.1338344,3,3
Ependymal,Runx2,0.06187942,0.34798875,3,3
Ependymal,Sgk1,-0.16583908,0.19936882,3,3
Ependymal,Sla2,-0.00097287196,0.31769216,3,3
Microglia,Fos,0.21947765,0.04337465,3,3
Microglia,Gltp,0.050876796,0.3810112,3,3
Microglia,Junb,0.17956448,0.2833436,3,3
Microglia,Runx2,-0.000102055725,0.9204093,3,3
Microglia,Sgk1,0.035031915,0.88771373,3,3
Microglia,Sla2,0.00030316183,0.18499963,3,3
Oligodendrocyte,Fos,0.21081209,0.36359826,3,3
Oligodendrocyte,Gltp,-0.06419897,0.49577358,3,3
Oligodendrocyte,Junb,0.15268803,0.26217166,3,3
Oligodendrocyte,Runx2,0.00012449734,0.8880152,3,3
Oligodendrocyte,Sgk1,-0.650018,0.46237978,3,3
Oligodendrocyte,Sla2,-0.00069102907,0.4226497,3,3
Endothelial,Fos,0.26291013,0.33777696,3,3
Endothelial,Gltp,0.023350865,0.79306275,3,3
Endothelial,Junb,0.036975384,0.93762076,3,3
Endothelial,Runx2,0.0009596385,0.4226497,3,3
Endothelial,Sgk1,-0.10138023,0.5220622,3,3
Endothelial,Sla2,0.0,1.0,3,3
Pericyte,Fos,0.48895705,0.10895514,3,3
Pericyte,Gltp,-0.07360697,0.26770103,3,3
Pericyte,Junb,0.306206,0.20964779,3,3
Pericyte,Runx2,0.100553066,0.03531089,3,3
Pericyte,Sgk1,0.032049537,0.6029275,3,3
Pericyte,Sla2,0.006180957,0.93592495,3,3
Astrocyte,Fos,0.15447682,0.26252335,3,3
Astrocyte,Gltp,0.0070863664,0.6997589,3,3
Astrocyte,Junb,0.2063576,0.31114745,3,3
Astrocyte,Runx2,0.0043649003,0.22066301,3,3
Astrocyte,Sgk1,0.0379029,0.7245391,3,3
Astrocyte,Sla2,0.0,1.0,3,3
OPC,Fos,0.14457846,0.6101503,3,3
OPC,Gltp,0.04680735,0.60866386,3,3
OPC,Junb,0.4023875,0.09454786,3,3
OPC,Runx2,-0.0005696863,0.9727575,3,3
OPC,Sgk1,0.052323103,0.53678024,3,3
OPC,Sla2,-0.0016329775,0.8030285,3,3
VLMC,Fos,-0.116914034,0.7946746,3,3
VLMC,Gltp,0.20842916,0.2177059,3,3
VLMC,Junb,-0.15613556,0.68485546,3,3
VLMC,Runx2,-0.00660719,0.4226497,3,3
VLMC,Sgk1,-0.031277806,0.24341372,3,3
VLMC,Sla2,0.0,1.0,3,3
Neuron,Fos,0.56516683,0.10743468,3,3
Neuron,Gltp,0.059596553,0.60983235,3,3
Neuron,Junb,0.6373326,0.067264125,3,3
Neuron,Runx2,-0.050875444,0.15680045,3,3
Neuron,Sgk1,-0.04204294,0.7804387,3,3
Neuron,Sla2,0.0,1.0,3,3
