celltype,geneset,method,n_genes,delta_Z,p,t,BH_p
Astrocyte,A_complement_synapse_pruning,lognorm_mean,152,0.08299,0.44215,,0.71751
Astrocyte,B_DAM_microglia,lognorm_mean,116,0.36471,0.33017,,0.71751
Astrocyte,C_mitochondrial_OXPHOS,lognorm_mean,189,-0.28147,0.35683,,0.71751
Astrocyte,D_myelin_oligodendrocyte,lognorm_mean,74,0.10306,0.7861,,0.90971
Endothelial,A_complement_synapse_pruning,lognorm_mean,152,0.05004,0.8407,,0.90971
Endothelial,B_DAM_microglia,lognorm_mean,116,0.11176,0.68182,,0.87479
Endothelial,C_mitochondrial_OXPHOS,lognorm_mean,189,0.08286,0.85384,,0.90971
Endothelial,D_myelin_oligodendrocyte,lognorm_mean,74,0.03564,0.90883,,0.92239
Ependymal,A_complement_synapse_pruning,lognorm_mean,152,0.36707,0.11631,,0.46524
Ependymal,B_DAM_microglia,lognorm_mean,116,0.84274,0.02801,,0.35982
Ependymal,C_mitochondrial_OXPHOS,lognorm_mean,189,-0.6157,0.19177,,0.59119
Ependymal,D_myelin_oligodendrocyte,lognorm_mean,74,0.69597,0.0462,,0.36948
Microglia,A_complement_synapse_pruning,lognorm_mean,152,0.22426,0.30197,,0.71751
Microglia,B_DAM_microglia,lognorm_mean,116,-0.03227,0.88141,,0.90971
Microglia,C_mitochondrial_OXPHOS,lognorm_mean,189,0.2801,0.15814,,0.56597
Microglia,D_myelin_oligodendrocyte,lognorm_mean,74,0.50669,0.39097,,0.71751
Neuron,A_complement_synapse_pruning,lognorm_mean,152,-0.19558,0.50116,,0.75731
Neuron,B_DAM_microglia,lognorm_mean,116,0.54087,0.19943,,0.59119
Neuron,C_mitochondrial_OXPHOS,lognorm_mean,189,-0.25457,0.45001,,0.71751
Neuron,D_myelin_oligodendrocyte,lognorm_mean,74,-0.14278,0.72856,,0.90077
OPC,A_complement_synapse_pruning,lognorm_mean,152,0.04404,0.76802,,0.90971
OPC,B_DAM_microglia,lognorm_mean,116,0.48495,0.03704,,0.35982
OPC,C_mitochondrial_OXPHOS,lognorm_mean,189,0.11281,0.8226,,0.90971
OPC,D_myelin_oligodendrocyte,lognorm_mean,74,0.20064,0.32656,,0.71751
Oligodendrocyte,A_complement_synapse_pruning,lognorm_mean,152,0.30511,0.45372,,0.71751
Oligodendrocyte,B_DAM_microglia,lognorm_mean,116,0.54896,0.27754,,0.71751
Oligodendrocyte,C_mitochondrial_OXPHOS,lognorm_mean,189,-0.17103,0.63451,,0.84601
Oligodendrocyte,D_myelin_oligodendrocyte,lognorm_mean,74,-0.19512,0.72493,,0.90077
Pericyte,A_complement_synapse_pruning,lognorm_mean,152,0.37567,0.07607,,0.36948
Pericyte,B_DAM_microglia,lognorm_mean,116,0.59,0.06641,,0.36948
Pericyte,C_mitochondrial_OXPHOS,lognorm_mean,189,0.31665,0.01745,,0.35982
Pericyte,D_myelin_oligodendrocyte,lognorm_mean,74,0.13772,0.62623,,0.84601
VLMC,A_complement_synapse_pruning,lognorm_mean,152,0.29926,0.03424,,0.35982
VLMC,B_DAM_microglia,lognorm_mean,116,0.04641,0.88058,,0.90971
VLMC,C_mitochondrial_OXPHOS,lognorm_mean,189,0.62699,0.06057,,0.36948
VLMC,D_myelin_oligodendrocyte,lognorm_mean,74,0.59304,0.19996,,0.59119
Microglia,A_complement_synapse_pruning,counts_sum_CPM,152,0.14611,0.56916,0.66477,0.82346
Microglia,B_DAM_microglia,counts_sum_CPM,116,-0.13226,0.38636,-0.97516,0.71751
Microglia,C_mitochondrial_OXPHOS,counts_sum_CPM,189,0.17196,0.39361,0.98476,0.71751
Microglia,D_myelin_oligodendrocyte,counts_sum_CPM,74,0.32025,0.60266,0.60563,0.83635
Oligodendrocyte,A_complement_synapse_pruning,counts_sum_CPM,152,0.2363,0.42818,0.9849,0.71751
Oligodendrocyte,B_DAM_microglia,counts_sum_CPM,116,0.56765,0.07234,2.52811,0.36948
Oligodendrocyte,C_mitochondrial_OXPHOS,counts_sum_CPM,189,-0.37262,0.32262,-1.271,0.71751
Oligodendrocyte,D_myelin_oligodendrocyte,counts_sum_CPM,74,-0.33798,0.52734,-0.69648,0.77955
Astrocyte,A_complement_synapse_pruning,counts_sum_CPM,152,0.09067,0.66268,0.48831,0.86658
Astrocyte,B_DAM_microglia,counts_sum_CPM,116,0.33624,0.43206,0.96922,0.71751
Astrocyte,C_mitochondrial_OXPHOS,counts_sum_CPM,189,-0.18986,0.14128,-2.03529,0.53374
Astrocyte,D_myelin_oligodendrocyte,counts_sum_CPM,74,-0.01991,0.96864,-0.04197,0.96864
Ependymal,A_complement_synapse_pruning,counts_sum_CPM,152,0.54099,0.01566,4.28855,0.35982
Ependymal,B_DAM_microglia,counts_sum_CPM,116,0.85128,0.06753,3.53441,0.36948
Ependymal,C_mitochondrial_OXPHOS,counts_sum_CPM,189,-0.23072,0.58274,-0.60168,0.82555
Ependymal,D_myelin_oligodendrocyte,counts_sum_CPM,74,0.72136,0.06255,2.89867,0.36948
OPC,A_complement_synapse_pruning,counts_sum_CPM,152,-0.17255,0.2806,-1.26611,0.71751
OPC,B_DAM_microglia,counts_sum_CPM,116,0.27075,0.37153,1.04847,0.71751
OPC,C_mitochondrial_OXPHOS,counts_sum_CPM,189,-0.10935,0.75639,-0.34995,0.90971
OPC,D_myelin_oligodendrocyte,counts_sum_CPM,74,0.29656,0.44398,0.86108,0.71751
Endothelial,A_complement_synapse_pruning,counts_sum_CPM,152,0.05227,0.83216,0.23764,0.90971
Endothelial,B_DAM_microglia,counts_sum_CPM,116,-0.19064,0.49331,-0.77534,0.75731
Endothelial,C_mitochondrial_OXPHOS,counts_sum_CPM,189,0.47019,0.40544,1.0406,0.71751
Endothelial,D_myelin_oligodendrocyte,counts_sum_CPM,74,0.34431,0.17758,2.02102,0.59119
VLMC,A_complement_synapse_pruning,counts_sum_CPM,152,0.34598,0.0287,3.72315,0.35982
VLMC,B_DAM_microglia,counts_sum_CPM,116,0.01959,0.83882,0.21951,0.90971
VLMC,C_mitochondrial_OXPHOS,counts_sum_CPM,189,0.49955,0.09338,2.43645,0.39685
VLMC,D_myelin_oligodendrocyte,counts_sum_CPM,74,0.61326,0.24735,1.55384,0.70082
Pericyte,A_complement_synapse_pruning,counts_sum_CPM,152,0.3636,0.08551,2.32232,0.38763
Pericyte,B_DAM_microglia,counts_sum_CPM,116,0.61643,0.03435,3.473,0.35982
Pericyte,C_mitochondrial_OXPHOS,counts_sum_CPM,189,0.11648,0.35643,1.04796,0.71751
Pericyte,D_myelin_oligodendrocyte,counts_sum_CPM,74,-0.05223,0.88295,-0.15756,0.90971
