celltype,geneset,n_genes,mean_Z_ctrl,mean_Z_surg,delta_Z,frac_down_surg,t,p,BH_p
Astrocyte,A_complement_synapse_pruning,152,-0.0415,0.0415,0.08299,0.51096,0.86883,0.44215,0.72449
Astrocyte,B_DAM_microglia,116,-0.18236,0.18236,0.36471,0.46839,1.2408,0.33017,0.70262
Astrocyte,C_mitochondrial_OXPHOS,189,0.14074,-0.14074,-0.28147,0.5873,-1.16534,0.35683,0.70653
Astrocyte,Complement_core,9,-0.40789,0.40789,0.81577,0.33333,3.26324,0.07465,0.47066
Astrocyte,DAM_core,9,0.02994,-0.02994,-0.05989,0.66667,-0.2461,0.82598,0.88542
Astrocyte,D_myelin_oligodendrocyte,74,-0.05153,0.05153,0.10306,0.51802,0.29115,0.7861,0.87443
Astrocyte,Homeostatic,7,-0.44174,0.44174,0.88349,0.38095,1.1459,0.36909,0.71367
Astrocyte,IEG_activity,8,-0.30426,0.30426,0.60853,0.41667,1.03914,0.39648,0.71367
Astrocyte,Mito_OXPHOS,8,0.47392,-0.47392,-0.94784,0.75,-4.62975,0.0101,0.45737
Astrocyte,Myelin_struct,10,-0.28974,0.28974,0.57949,0.36667,0.81299,0.49591,0.7633
Astrocyte,Phagocytic_rec,9,-0.13727,0.13727,0.27455,0.55556,0.85033,0.45169,0.72449
Endothelial,A_complement_synapse_pruning,152,-0.02502,0.02502,0.05004,0.50439,0.22745,0.8407,0.88542
Endothelial,B_DAM_microglia,116,-0.05588,0.05588,0.11176,0.52586,0.44467,0.68182,0.82503
Endothelial,C_mitochondrial_OXPHOS,189,-0.04143,0.04143,0.08286,0.48854,0.19873,0.85384,0.88979
Endothelial,Complement_core,9,-0.15982,0.15982,0.31965,0.40741,1.03776,0.37803,0.71367
Endothelial,DAM_core,9,0.07686,-0.07686,-0.15372,0.55556,-0.41789,0.6975,0.83196
Endothelial,D_myelin_oligodendrocyte,74,-0.01782,0.01782,0.03564,0.51351,0.1249,0.90883,0.91811
Endothelial,Homeostatic,7,-0.18679,0.18679,0.37358,0.57143,0.44854,0.68336,0.82503
Endothelial,IEG_activity,8,-0.16625,0.16625,0.33249,0.33333,0.46832,0.67146,0.82503
Endothelial,Mito_OXPHOS,8,0.17796,-0.17796,-0.35592,0.54167,-0.83217,0.45211,0.72449
Endothelial,Myelin_struct,10,-0.16916,0.16916,0.33832,0.53333,0.65202,0.56661,0.80534
Endothelial,Phagocytic_rec,9,-0.05595,0.05595,0.11191,0.62963,0.24776,0.82219,0.88542
Ependymal,A_complement_synapse_pruning,152,-0.18353,0.18353,0.36707,0.44956,2.33656,0.11631,0.52933
Ependymal,B_DAM_microglia,116,-0.42137,0.42137,0.84274,0.34195,3.43103,0.02801,0.45737
Ependymal,C_mitochondrial_OXPHOS,189,0.30785,-0.30785,-0.6157,0.69841,-1.86919,0.19177,0.54988
Ependymal,Complement_core,9,-0.67494,0.67494,1.34987,0.22222,4.41898,0.04451,0.45737
Ependymal,DAM_core,9,-0.28411,0.28411,0.56822,0.33333,1.60943,0.22896,0.61263
Ependymal,D_myelin_oligodendrocyte,74,-0.34799,0.34799,0.69597,0.40541,3.37632,0.0462,0.45737
Ependymal,Homeostatic,7,-0.65953,0.65953,1.31906,0.2381,2.30088,0.11763,0.52933
Ependymal,IEG_activity,8,-0.59927,0.59927,1.19855,0.33333,2.07055,0.15357,0.5417
Ependymal,Mito_OXPHOS,8,0.40681,-0.40681,-0.81361,0.83333,-2.2094,0.14743,0.5417
Ependymal,Myelin_struct,10,-0.68129,0.68129,1.36257,0.2,8.40634,0.00552,0.45737
Ependymal,Phagocytic_rec,9,-0.35472,0.35472,0.70943,0.40741,1.85901,0.17916,0.54988
Microglia,A_complement_synapse_pruning,152,-0.11213,0.11213,0.22426,0.48465,1.29808,0.30197,0.70262
Microglia,B_DAM_microglia,116,0.01613,-0.01613,-0.03227,0.52299,-0.16175,0.88141,0.89958
Microglia,C_mitochondrial_OXPHOS,189,-0.14005,0.14005,0.2801,0.42152,2.12277,0.15814,0.5417
Microglia,Complement_core,9,0.0738,-0.0738,-0.14759,0.59259,-0.32251,0.76346,0.86402
Microglia,DAM_core,9,-0.03661,0.0366,0.07321,0.44444,0.22481,0.83887,0.88542
Microglia,D_myelin_oligodendrocyte,74,-0.25334,0.25334,0.50669,0.45495,1.06416,0.39097,0.71367
Microglia,Homeostatic,7,0.1775,-0.1775,-0.355,0.47619,-0.55366,0.61254,0.80534
Microglia,IEG_activity,8,-0.23512,0.23511,0.47023,0.41667,1.26238,0.27587,0.70262
Microglia,Mito_OXPHOS,8,0.07349,-0.07348,-0.14697,0.5,-0.47521,0.67772,0.82503
Microglia,Myelin_struct,10,-0.30599,0.30599,0.61198,0.43333,0.7497,0.52771,0.78928
Microglia,Phagocytic_rec,9,0.04626,-0.04626,-0.09252,0.55556,-0.54731,0.62769,0.80534
Neuron,A_complement_synapse_pruning,152,0.09779,-0.09779,-0.19558,0.63158,-0.77785,0.50116,0.7633
Neuron,B_DAM_microglia,116,-0.27043,0.27043,0.54087,0.45115,1.79658,0.19943,0.54988
Neuron,C_mitochondrial_OXPHOS,189,0.12728,-0.12728,-0.25457,0.59612,-0.84043,0.45001,0.72449
Neuron,Complement_core,9,-0.31583,0.31583,0.63167,0.44444,2.01455,0.16449,0.5417
Neuron,DAM_core,9,-0.14453,0.14453,0.28905,0.44444,0.84004,0.44969,0.72449
Neuron,D_myelin_oligodendrocyte,74,0.07139,-0.07139,-0.14278,0.59009,-0.37822,0.72856,0.84856
Neuron,Homeostatic,7,-0.64151,0.64151,1.28302,0.33333,2.34635,0.141,0.5417
Neuron,IEG_activity,8,-0.51449,0.51449,1.02899,0.20833,3.92496,0.03078,0.45737
Neuron,Mito_OXPHOS,8,0.25774,-0.25774,-0.51547,0.58333,-1.74013,0.16962,0.5417
Neuron,Myelin_struct,10,-0.23195,0.23195,0.4639,0.56667,0.68237,0.53416,0.78928
Neuron,Phagocytic_rec,9,-0.15561,0.15561,0.31122,0.59259,0.62246,0.5765,0.80534
OPC,A_complement_synapse_pruning,152,-0.02202,0.02202,0.04404,0.48684,0.32538,0.76802,0.86402
OPC,B_DAM_microglia,116,-0.24247,0.24248,0.48495,0.4023,3.31706,0.03704,0.45737
OPC,C_mitochondrial_OXPHOS,189,-0.0564,0.0564,0.11281,0.48854,0.24263,0.8226,0.88542
OPC,Complement_core,9,-0.31874,0.31874,0.63747,0.33333,2.19744,0.09987,0.5283
OPC,DAM_core,9,-0.08542,0.08542,0.17085,0.44444,0.58272,0.59312,0.80534
OPC,D_myelin_oligodendrocyte,74,-0.10032,0.10032,0.20064,0.48198,1.12385,0.32656,0.70262
OPC,Homeostatic,7,-0.53356,0.53356,1.06712,0.33333,2.17922,0.14201,0.5417
OPC,IEG_activity,8,-0.39845,0.39845,0.79691,0.375,2.12424,0.10139,0.5283
OPC,Mito_OXPHOS,8,0.02265,-0.02265,-0.04529,0.45833,-0.07837,0.94171,0.94171
OPC,Myelin_struct,10,-0.5572,0.5572,1.1144,0.3,1.95603,0.15496,0.5417
OPC,Phagocytic_rec,9,-0.19747,0.19747,0.39493,0.48148,1.18953,0.30289,0.70262
Oligodendrocyte,A_complement_synapse_pruning,152,-0.15255,0.15255,0.30511,0.47149,0.90885,0.45372,0.72449
Oligodendrocyte,B_DAM_microglia,116,-0.27448,0.27448,0.54896,0.44828,1.3245,0.27754,0.70262
Oligodendrocyte,C_mitochondrial_OXPHOS,189,0.08552,-0.08552,-0.17103,0.51146,-0.51551,0.63451,0.80534
Oligodendrocyte,Complement_core,9,-0.34634,0.34634,0.69267,0.40741,2.0548,0.16619,0.5417
Oligodendrocyte,DAM_core,9,-0.20792,0.20792,0.41584,0.51852,1.19343,0.33357,0.70262
Oligodendrocyte,D_myelin_oligodendrocyte,74,0.09756,-0.09756,-0.19512,0.50901,-0.37777,0.72493,0.84856
Oligodendrocyte,Homeostatic,7,-0.38472,0.38472,0.76944,0.61905,0.96034,0.42768,0.72449
Oligodendrocyte,IEG_activity,8,-0.26022,0.26022,0.52043,0.41667,0.81769,0.47203,0.74176
Oligodendrocyte,Mito_OXPHOS,8,0.20465,-0.20465,-0.4093,0.5,-1.21695,0.32924,0.70262
Oligodendrocyte,Myelin_struct,10,0.29133,-0.29133,-0.58266,0.56667,-3.11016,0.03825,0.45737
Oligodendrocyte,Phagocytic_rec,9,-0.29057,0.29057,0.58113,0.55556,1.14745,0.34914,0.70653
Pericyte,A_complement_synapse_pruning,152,-0.18784,0.18784,0.37567,0.36184,2.4613,0.07607,0.47066
Pericyte,B_DAM_microglia,116,-0.295,0.295,0.59,0.3592,2.89298,0.06641,0.46959
Pericyte,C_mitochondrial_OXPHOS,189,-0.15833,0.15833,0.31665,0.4515,5.75578,0.01745,0.45737
Pericyte,Complement_core,9,-0.45095,0.45095,0.90189,0.18519,2.74431,0.08828,0.51411
Pericyte,DAM_core,9,-0.27029,0.27029,0.54058,0.48148,1.06609,0.38736,0.71367
Pericyte,D_myelin_oligodendrocyte,74,-0.06886,0.06886,0.13772,0.51802,0.53414,0.62623,0.80534
Pericyte,Homeostatic,7,-0.70474,0.70473,1.40947,0.2381,3.07787,0.05872,0.46127
