celltype,geneset,sd_score,observed_delta_Z,MDE_delta_Z(80%),observed_over_MDE,p
Astrocyte,A_complement_synapse_pruning,0.114,0.083,0.373,0.222,0.4422
Astrocyte,B_DAM_microglia,0.379,0.365,1.24,0.294,0.3302
Astrocyte,C_mitochondrial_OXPHOS,0.306,-0.281,1.002,0.281,0.3568
Astrocyte,D_myelin_oligodendrocyte,0.392,0.103,1.283,0.08,0.7861
Endothelial,A_complement_synapse_pruning,0.243,0.05,0.794,0.063,0.8407
Endothelial,B_DAM_microglia,0.282,0.112,0.923,0.121,0.6818
Endothelial,C_mitochondrial_OXPHOS,0.459,0.083,1.502,0.055,0.8538
Endothelial,D_myelin_oligodendrocyte,0.313,0.036,1.025,0.035,0.9088
Ependymal,A_complement_synapse_pruning,0.265,0.367,0.866,0.424,0.1163
Ependymal,B_DAM_microglia,0.534,0.843,1.749,0.482,0.028
Ependymal,C_mitochondrial_OXPHOS,0.494,-0.616,1.617,0.381,0.1918
Ependymal,D_myelin_oligodendrocyte,0.443,0.696,1.45,0.48,0.0462
Microglia,A_complement_synapse_pruning,0.225,0.224,0.738,0.304,0.302
Microglia,B_DAM_microglia,0.219,-0.032,0.718,0.045,0.8814
Microglia,C_mitochondrial_OXPHOS,0.211,0.28,0.69,0.406,0.1581
Microglia,D_myelin_oligodendrocyte,0.59,0.507,1.932,0.262,0.391
Neuron,A_complement_synapse_pruning,0.296,-0.196,0.967,0.202,0.5012
Neuron,B_DAM_microglia,0.443,0.541,1.451,0.373,0.1994
Neuron,C_mitochondrial_OXPHOS,0.36,-0.255,1.178,0.216,0.45
Neuron,D_myelin_oligodendrocyte,0.421,-0.143,1.378,0.104,0.7286
OPC,A_complement_synapse_pruning,0.15,0.044,0.492,0.09,0.768
OPC,B_DAM_microglia,0.31,0.485,1.015,0.478,0.037
OPC,C_mitochondrial_OXPHOS,0.513,0.113,1.679,0.067,0.8226
OPC,D_myelin_oligodendrocyte,0.224,0.201,0.734,0.273,0.3266
Oligodendrocyte,A_complement_synapse_pruning,0.403,0.305,1.32,0.231,0.4537
Oligodendrocyte,B_DAM_microglia,0.544,0.549,1.782,0.308,0.2775
Oligodendrocyte,C_mitochondrial_OXPHOS,0.376,-0.171,1.229,0.139,0.6345
Oligodendrocyte,D_myelin_oligodendrocyte,0.576,-0.195,1.885,0.104,0.7249
Pericyte,A_complement_synapse_pruning,0.265,0.376,0.868,0.433,0.0761
Pericyte,B_DAM_microglia,0.393,0.59,1.286,0.459,0.0664
Pericyte,C_mitochondrial_OXPHOS,0.184,0.317,0.601,0.527,0.0174
Pericyte,D_myelin_oligodendrocyte,0.292,0.138,0.957,0.144,0.6262
VLMC,A_complement_synapse_pruning,0.184,0.299,0.603,0.496,0.0342
VLMC,B_DAM_microglia,0.318,0.046,1.041,0.045,0.8806
VLMC,C_mitochondrial_OXPHOS,0.415,0.627,1.359,0.461,0.0606
VLMC,D_myelin_oligodendrocyte,0.489,0.593,1.602,0.37,0.2
