celltype,gene,logFC,AveExpr,P,adjP
Astrocyte,Ttr,-4.64,7.0,2.2894769086874e-07,0.0021095240236645
Astrocyte,Utp14b,-1.13,7.0,9.78925071542513e-07,0.0045099078045963
Neuron,Ttr,-5.7,6.8,1.05262032248749e-05,0.0403399332017761
Neuron,Nrgn,-3.09,8.7,1.31657745436606e-05,0.0403399332017761
Oligodendrocyte,Ttr,-4.93,6.5,4.15893982890848e-06,0.0461725499805419
Pericyte,Ttr,-4.39,7.0,1.0756376098e-05,0.0295800342695
VLMC,Il1b,-1.71,11.5,1.23947179334442e-06,0.0031336534362265
VLMC,Ttr,-4.59,7.0,1.6261823747932e-06,0.0031336534362265
VLMC,Rgs1,-3.86,7.2,9.13048273593702e-06,0.0089919009613954
VLMC,Bcl2a1d,-1.93,8.1,9.3325386210643e-06,0.0089919009613954
VLMC,Fosb,-1.18,9.7,5.76818578769327e-05,0.0444611760515397
