gene,n_datasets,meta_Z,meta_p,consistency,n_sig,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p,meta_padj,in_pathway,tier
Opalin,3,-4.4830487678577695,7.3584104368716866e-06,1.0,1,-1.2333093124424033,-0.9029784128711906,-0.3278723224560194,-2.469077202,4.0427062260227746e-05,0.3558910330580133,0.09255294272948311,0.14972893556946507,D,T1_meta&全一致
Sla2,3,-4.303280584886189,1.6828750383903074e-05,1.0,2,-0.29312982196231463,-0.583814674304123,-0.12900808458282087,-0.166566707,0.0007388834705812655,0.26502563555526426,0.00916806766514402,0.17121570640582987,D,T1_meta&全一致
Myo1d,3,-4.023149678580349,5.742497540877388e-05,1.0,1,-0.41529303280107327,-0.450799335198818,-0.2388759428710685,-0.5562038203333333,0.00038328164008477963,0.3695122993231402,0.08376327642859334,0.3022061316248254,D,T1_meta&全一致
Mog,3,-3.78544988919632,0.00015343075071100795,1.0,1,-0.8026260092201781,-0.39420952164326906,-0.2989270966839328,-1.7147414093333326,0.0009293133716999597,0.4445910240508409,0.07914940221635139,0.3969068941397606,D,T1_meta&全一致
Junb,3,3.767388178443995,0.00016496439188687888,0.6666666666666666,1,-0.06417650464812574,0.7780020593857984,-1.0407975806635088,0.07026600733333321,1.208351625177728e-06,0.24863064748436917,0.9480137321524083,0.3969068941397606,A,T2_meta&多数一致
Gltp,3,-3.6301887070961785,0.0002832140854270534,1.0,1,-0.42299721228973214,-0.2985835564912236,-0.28649712471130595,-0.6839109556666669,0.003015745907500455,0.09084071547501227,0.18124142405405197,0.43566576705816706,D,T1_meta&全一致
Tmem63a,3,-3.6155156363640035,0.0002997503803230951,1.0,1,-0.3223300071471941,-0.29630370464239064,-0.3291830671325249,-0.3415032496666668,0.00043109496273548007,0.4109687730093761,0.3915496437711485,0.43566576705816706,D,T1_meta&全一致
Pmp22,3,-3.499252707818177,0.00046656416305829006,1.0,1,-0.7502264451152336,-0.29173325749318124,-0.15129889085251946,-1.8076471870000002,0.00584362858981188,0.21120006808511188,0.06989726807752943,0.46242299538911474,D,T1_meta&全一致
Bcas1,3,-3.499045479507934,0.00046692693083287713,1.0,1,-0.6595372553123582,-0.31781261836675867,-0.44852492090365104,-1.2122742266666648,0.00045977788583523326,0.3285979881918809,0.6306565206732242,0.46242299538911474,D,T1_meta&全一致
Prr5l,3,-3.4960825308553796,0.00047214264481814007,1.0,1,-0.33445390210007253,-0.5335206662613041,-0.25766662337224666,-0.2121744166666668,0.0006172354416465281,0.4875349584097082,0.384678313938365,0.46242299538911474,D,T1_meta&全一致
Enpp6,3,-3.3538580486131013,0.000796932347308014,1.0,2,-0.33309461792122125,-0.49201566613737846,-0.13847211629295186,-0.3687960713333335,0.005457665469210514,0.8270972379556208,0.024286373259260776,0.5230961097749507,D,T1_meta&全一致
Egr2,3,3.2366550158983225,0.0012093952048322463,0.6666666666666666,1,0.22693521359438243,1.6468394887799631,-0.7913712426634829,-0.1746626053333329,2.624158420392908e-06,0.2279237239293164,0.38564697780176477,0.6780959476702458,A,T2_meta&多数一致
Arc,3,3.0943005618160218,0.001972775200577512,0.6666666666666666,1,-0.6970127603613742,1.150436484923203,-0.3800428516739922,-2.861431914333333,1.7603771189238084e-05,0.32451118977255905,0.5800441720772668,0.7966986866439825,A,T2_meta&多数一致
Mag,3,-3.057378833795879,0.0022328189055555395,1.0,1,-0.6341426189012895,-0.4195740949516171,-0.6922120917522516,-0.7906416699999999,0.006335333168638673,0.17533622288402292,0.48410562740965657,0.8113106980400735,D,T1_meta&全一致
Tlr2,3,-3.002503285084855,0.0026776908337620507,0.6666666666666666,1,-0.18978531567283793,-0.69202756489263,0.26215612454078285,-0.1394845066666667,0.0011519554219686578,0.48813775833847656,0.2484318018088032,0.8518853509122994,B,T2_meta&多数一致
Irf8,3,-2.9129697921830178,0.0035800923199348026,0.6666666666666666,2,-0.10996405008418075,-0.2620691966588691,-0.1736419039270065,0.10581895033333333,0.002745645363309547,0.04922906685416339,0.48096750650938835,0.9167498506411614,B,T2_meta&多数一致
Myrf,3,-2.865946576852687,0.00415764401715284,0.6666666666666666,2,-0.23920881960053522,-0.2562271201162609,-0.5182896576853446,0.056890318999999856,0.01058483909188843,0.027468600632394456,0.9194906267467627,0.9178601839226431,D,T2_meta&多数一致
Nkx2-2,3,-2.8470276965526793,0.004412952281678527,0.6666666666666666,1,-0.12140100548057307,-0.3019954350151819,0.04170337690679604,-0.10391095833333336,0.0013279258471231915,0.9255199759781251,0.7127201078874362,0.9178601839226431,D,T2_meta&多数一致
Cebpb,3,-2.8464766921925153,0.00442059652174263,1.0,2,-0.2712048222138603,-0.15745410919415548,-0.567521376114092,-0.08863898133333334,0.033397096884303916,0.01663740663352527,0.5559060007230302,0.9178601839226431,B,T1_meta&全一致
Plp1,3,-2.7849100032871275,0.00535425816784918,1.0,1,-4.759188838279661,-0.4747261577104549,-0.04858729046184962,-13.754253066666678,0.004859296269883464,0.9147641101888152,0.38331947646443065,0.9635901286762634,D,T1_meta&全一致
