gene,source,gene_tier,set_repr,n_datasets,consistency,n_sig,meta_Z,meta_p,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p
Opalin,gene-level,T1_meta&全一致,D,3,1.0,1,-4.4830487678577695,7.3584104368716866e-06,-1.2333093124424033,-0.9029784128711906,-0.3278723224560194,-2.469077202,4.042706226022775e-05,0.3558910330580133,0.0925529427294831
Sla2,gene-level,T1_meta&全一致,D,3,1.0,2,-4.303280584886189,1.6828750383903074e-05,-0.2931298219623146,-0.583814674304123,-0.1290080845828208,-0.166566707,0.0007388834705812,0.2650256355552642,0.009168067665144
Myo1d,gene-level,T1_meta&全一致,D,3,1.0,1,-4.023149678580349,5.742497540877388e-05,-0.4152930328010732,-0.450799335198818,-0.2388759428710685,-0.5562038203333333,0.0003832816400847,0.3695122993231402,0.0837632764285933
Mog,gene-level,T1_meta&全一致,D,3,1.0,1,-3.78544988919632,0.000153430750711,-0.8026260092201781,-0.394209521643269,-0.2989270966839328,-1.7147414093333326,0.0009293133716999,0.4445910240508409,0.0791494022163513
Gltp,gene-level,T1_meta&全一致,D,3,1.0,1,-3.6301887070961785,0.000283214085427,-0.4229972122897321,-0.2985835564912236,-0.2864971247113059,-0.6839109556666669,0.0030157459075004,0.0908407154750122,0.1812414240540519
Tmem63a,gene-level,T1_meta&全一致,D,3,1.0,1,-3.615515636364004,0.000299750380323,-0.3223300071471941,-0.2963037046423906,-0.3291830671325249,-0.3415032496666668,0.0004310949627354,0.4109687730093761,0.3915496437711485
Pmp22,gene-level,T1_meta&全一致,D,3,1.0,1,-3.499252707818177,0.0004665641630582,-0.7502264451152336,-0.2917332574931812,-0.1512988908525194,-1.807647187,0.0058436285898118,0.2112000680851118,0.0698972680775294
Bcas1,gene-level,T1_meta&全一致,D,3,1.0,1,-3.499045479507934,0.0004669269308328,-0.6595372553123582,-0.3178126183667586,-0.448524920903651,-1.2122742266666648,0.0004597778858352,0.3285979881918809,0.6306565206732242
Prr5l,gene-level,T1_meta&全一致,D,3,1.0,1,-3.49608253085538,0.0004721426448181,-0.3344539021000725,-0.5335206662613041,-0.2576666233722466,-0.2121744166666668,0.0006172354416465,0.4875349584097082,0.384678313938365
Enpp6,gene-level,T1_meta&全一致,D,3,1.0,2,-3.3538580486131013,0.000796932347308,-0.3330946179212212,-0.4920156661373784,-0.1384721162929518,-0.3687960713333335,0.0054576654692105,0.8270972379556208,0.0242863732592607
Mag,gene-level,T1_meta&全一致,,3,1.0,1,-3.057378833795879,0.0022328189055555,-0.6341426189012895,-0.4195740949516171,-0.6922120917522516,-0.7906416699999999,0.0063353331686386,0.1753362228840229,0.4841056274096565
Cebpb,gene-level,T1_meta&全一致,B,3,1.0,2,-2.8464766921925158,0.0044205965217426,-0.2712048222138603,-0.1574541091941554,-0.567521376114092,-0.0886389813333333,0.0333970968843039,0.0166374066335252,0.5559060007230302
Plp1,gene-level,T1_meta&全一致,,3,1.0,1,-2.7849100032871275,0.0053542581678491,-4.759188838279661,-0.4747261577104549,-0.0485872904618496,-13.754253066666678,0.0048592962698834,0.9147641101888152,0.3833194764644306
Cd83,gene-level,T1_meta&全一致,B,3,1.0,1,-2.7820754835136388,0.0054012476028768,-0.2802618278179591,-0.2606049243662838,-0.1953282250875929,-0.3848523340000005,0.011877054168484,0.2117089445986675,0.5768764262221683
Gpr37,gene-level,T1_meta&全一致,,3,1.0,1,-2.7303305376896447,0.006327085263319,-0.2242043220858317,-0.2525208241722509,-0.0557247594185774,-0.3643673826666669,0.0122589399791136,0.8336859388059404,0.1926677988821554
Csf1,gene-level,T1_meta&全一致,B,3,1.0,1,-2.6951900761309253,0.007034848797869,-0.2133509160625823,-0.2701366732668724,-0.1743759352542078,-0.1955401396666667,0.0110965214256108,0.4269879947987129,0.5050534197718506
Runx2,gene-level,T1_meta&全一致,B,3,1.0,1,-2.498911152441422,0.0124575539389652,-0.2403480762102126,-0.2382065414270417,-0.2070268908702628,-0.2758107963333331,0.2109810282507027,0.1787725779665942,0.0155485636309729
Sox10,gene-level,T1_meta&全一致,,3,1.0,1,-2.4396279263811964,0.0147023960689214,-0.42986427251657,-0.2160887579959016,-0.3515534722204751,-0.7219505873333332,0.0363696173906777,0.176030709770645,0.6068254767539688
Gjc2,gene-level,T1_meta&全一致,,3,1.0,1,-2.379822598713889,0.017320974472776,-0.3666326498063881,-0.3625477724471686,-0.6823191343053292,-0.0550310426666666,0.0435978652840842,0.157010921893759,0.6360861689541302
Prr18,gene-level,T1_meta&全一致,,3,1.0,0,-2.2308853514130784,0.025688724299903,-1.14916790473468,-0.315288265772585,-0.6862219030981214,-2.4459935453333337,0.1048130618108622,0.1243474851127261,0.4046257556595567
Ctss,gene-level,T1_meta&全一致,A,3,1.0,1,-2.173258057633442,0.0297609003285142,-0.2698549517344653,-0.236919676275729,-0.0233569789276604,-0.5492882000000066,0.0191334323797483,0.8938600069496968,0.7359238979606375
Ccl6,gene-level,T1_meta&全一致,,3,1.0,0,-2.1556744786469766,0.0311090923597499,-0.2893408294911882,-0.4959923355066093,-0.2593957503002886,-0.1126344026666666,0.0584900043609631,0.5577940147385752,0.3880224708333455
Siglech,gene-level,T1_meta&全一致,,3,1.0,0,-2.1485606698741577,0.0316692422168753,-0.1735309732179428,-0.2116598471216324,-0.0364364985321961,-0.272496574,0.0576047308156397,0.9126309317973564,0.2221450113427589
Ndrg1,gene-level,T1_meta&全一致,,3,1.0,1,-2.135599259883272,0.0327120918092561,-0.4152825751658777,-0.1804509276757269,-0.0454206781552386,-1.0199761196666677,0.0402840602932134,0.7636235651585362,0.4737100434718423
Lcn2,gene-level,T1_meta&全一致,,3,1.0,1,2.0924791116084025,0.0363956784044661,0.4921902438189627,0.7894796295422699,0.4427777699146181,0.244313332,0.2838714557635093,0.4041302842904783,0.0268642053500069
Ccl12,gene-level,T1_meta&全一致,,3,1.0,1,-2.044611858925159,0.0408931394190606,-0.2979932410148029,-0.8054676883640619,-0.0734324503470136,-0.0150795843333333,0.0323714532402035,0.5859403702465644,0.91308238149842
C5ar1,gene-level,T1_meta&全一致,A,3,1.0,0,2.032824191239341,0.0420702881700844,0.2283032692470129,0.2755460512606555,0.3053630744803832,0.104000682,0.1754841042685206,0.1894989903150914,0.2766548724963661
