gene,log2FC_z,p,padj
0610009B22Rik,-0.436850434743843,0.2824972616121614,0.9857739113502277
0610009E02Rik,-0.0882159834547566,0.8212580447930065,0.9957145576505264
0610009L18Rik,-0.17277907051295538,0.6712151620639988,0.9900843878271318
0610009O20Rik,-0.46357347606045834,0.2567044931989894,0.9857739113502277
0610010F05Rik,-0.38569664122615477,0.30361786268582425,0.9857739113502277
0610010K14Rik,-0.0836710349083976,0.8012536919158922,0.9957145576505264
0610030E20Rik,-0.22276726012885162,0.5570141536093978,0.9872317761999084
0610037L13Rik,-0.3312964988397594,0.40306673001056237,0.9857739113502277
0610040B10Rik,-0.7616269032736332,0.05048285925974638,0.9448929395613455
0610040F04Rik,-0.4170321569363978,0.2241605788734369,0.9857739113502277
0610040J01Rik,0.4356036465231895,0.4114777735276371,0.9857739113502277
1010001B22Rik,-0.2274690504639821,0.5597434918548096,0.9878955165047228
1110002E22Rik,-0.07758275511481846,0.8508617475705289,0.9957145576505264
1110002J07Rik,-0.2634140710515348,0.4836901732920976,0.9857739113502277
1110002L01Rik,0.029355031231616,0.9419860555189687,0.9974522354524169
1110003F10Rik,-0.1378255843817446,0.722603957562516,0.9922934002648182
1110004E09Rik,-0.5242474807080445,0.16716914288538123,0.9857739113502277
1110004F10Rik,-0.33994234523939665,0.4009663964678753,0.9857739113502277
1110006O24Rik,-0.47004525208350595,0.15612660523757257,0.9857739113502277
1110008F13Rik,-0.7369833760954464,0.06686017666106175,0.9688669440431757
1110008L16Rik,0.31164921576813015,0.4793431360735761,0.9857739113502277
1110008P14Rik,-0.19646038236118196,0.6155677426105788,0.9899338981042789
1110012L19Rik,0.20610947365644822,0.6542058530532094,0.9899338981042789
1110017D15Rik,-0.30372862178531534,0.47743669286249574,0.9857739113502277
1110018N20Rik,0.0650491692463119,0.8840188970311285,0.9957145576505264
1110019D14Rik,-0.09051936640942637,0.8003567237213598,0.9957145576505264
1110025M09Rik,0.2964873700652028,0.4712960587778205,0.9857739113502277
