gene,n_datasets,meta_Z,meta_p,consistency,n_sig,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p,meta_padj
Opalin,3,-4.4830487678577695,7.3584104368716866e-06,1.0,1,-1.2333093124424033,-0.9029784128711906,-0.3278723224560194,-2.469077202,4.0427062260227746e-05,0.3558910330580133,0.09255294272948311,0.14972893556946507
Sla2,3,-4.303280584886189,1.6828750383903074e-05,1.0,2,-0.29312982196231463,-0.583814674304123,-0.12900808458282087,-0.166566707,0.0007388834705812655,0.26502563555526426,0.00916806766514402,0.17121570640582987
Myo1d,3,-4.023149678580349,5.742497540877388e-05,1.0,1,-0.41529303280107327,-0.450799335198818,-0.2388759428710685,-0.5562038203333333,0.00038328164008477963,0.3695122993231402,0.08376327642859334,0.3022061316248254
Arid5a,3,4.015151843058317,5.940753521227156e-05,0.6666666666666666,1,0.05493018456803616,0.6925675519788168,-0.5500870286080417,0.02231003033333337,2.5478029600749782e-06,0.30335734147150833,0.3773717683772253,0.3022061316248254
Efna2,3,-3.9089345731561553,9.270406439836304e-05,1.0,1,-0.34562259779528787,-0.363304267491114,-0.3895637622280832,-0.28399976366666646,0.0006033249591409991,0.12759836992984033,0.23385265488152293,0.3772684604755782
Col10a1,2,3.820113519380503,0.00013339026725276923,1.0,2,0.0917477654695615,,0.14664285027245633,0.036852680666666665,,0.01872488006360194,0.002593686265119169,0.3969068941397606
Mog,3,-3.78544988919632,0.00015343075071100795,1.0,1,-0.8026260092201781,-0.39420952164326906,-0.2989270966839328,-1.7147414093333326,0.0009293133716999597,0.4445910240508409,0.07914940221635139,0.3969068941397606
Junb,3,3.767388178443995,0.00016496439188687888,0.6666666666666666,1,-0.06417650464812574,0.7780020593857984,-1.0407975806635088,0.07026600733333321,1.208351625177728e-06,0.24863064748436917,0.9480137321524083,0.3969068941397606
Nr1d1,3,-3.7266750516246714,0.0001940223361718161,0.6666666666666666,1,-0.0704371978602533,-0.3543469074636594,-0.6792247844504331,0.8222600983333326,0.0001347112447882321,0.05779461325381952,0.7130318088702932,0.3969068941397606
Adamtsl4,3,-3.725330595039606,0.00019505941327882867,1.0,1,-0.449967112858859,-0.4766127668843385,-0.6370540766922383,-0.23623449500000007,0.0006954469121175607,0.16361178004193264,0.35337511752158685,0.3969068941397606
Hspa1l,3,3.671635680876257,0.00024100307389256868,1.0,1,0.36996149359807334,1.0328463081929629,0.0367624519345906,0.04027572066666664,4.910446376267052e-05,0.7610659050291232,0.7686792419268602,0.43566576705816706
Hist1h4m,3,3.6386318736436563,0.00027409026582611584,1.0,1,1.7158377105402707,0.9919172765206428,0.038491986433501955,4.117103868666667,0.0015865182428955774,0.4843359293868596,0.07721181670906914,0.43566576705816706
Gltp,3,-3.6301887070961785,0.0002832140854270534,1.0,1,-0.42299721228973214,-0.2985835564912236,-0.28649712471130595,-0.6839109556666669,0.003015745907500455,0.09084071547501227,0.18124142405405197,0.43566576705816706
Tmem63a,3,-3.6155156363640035,0.0002997503803230951,1.0,1,-0.3223300071471941,-0.29630370464239064,-0.3291830671325249,-0.3415032496666668,0.00043109496273548007,0.4109687730093761,0.3915496437711485,0.43566576705816706
3830432H09Rik,2,3.559347150382542,0.00037177783422657535,1.0,2,0.07571034038216173,,0.07518542276432347,0.07623525800000001,,0.019187629537671922,0.007297104294202018,0.46242299538911474
Pwwp2b,3,-3.521044638223194,0.00042985024927642807,1.0,1,-0.14554328017149132,-0.21339110473138057,-0.15923690044976002,-0.06400183533333337,0.0002095956625675005,0.365981539522311,0.8653582593591924,0.46242299538911474
Ppp1r1a,3,-3.5200985138286547,0.0004313865401952643,1.0,1,-0.3594031076577539,-0.33816722095843943,-0.2688106020148222,-0.4712315,0.0003746484035470352,0.2592544898432325,0.7671193870731572,0.46242299538911474
Pmp22,3,-3.499252707818177,0.00046656416305829006,1.0,1,-0.7502264451152336,-0.29173325749318124,-0.15129889085251946,-1.8076471870000002,0.00584362858981188,0.21120006808511188,0.06989726807752943,0.46242299538911474
Bcas1,3,-3.499045479507934,0.00046692693083287713,1.0,1,-0.6595372553123582,-0.31781261836675867,-0.44852492090365104,-1.2122742266666648,0.00045977788583523326,0.3285979881918809,0.6306565206732242,0.46242299538911474
Prr5l,3,-3.4960825308553796,0.00047214264481814007,1.0,1,-0.33445390210007253,-0.5335206662613041,-0.25766662337224666,-0.2121744166666668,0.0006172354416465281,0.4875349584097082,0.384678313938365,0.46242299538911474
Tmem88b,3,-3.493216083077221,0.00047724016626554997,1.0,1,-1.36279244360412,-0.3357447447914481,-0.08072999935424896,-3.671902586666663,0.0017519077101082088,0.8422926454336485,0.0601252040577875,0.46242299538911474
Lif,3,-3.4684162282990205,0.0005235357238649881,1.0,1,-0.32055903032771227,-0.747140352279021,-0.17063211070411577,-0.04390462800000001,0.0005241502253788942,0.42482003881581065,0.5321110250212168,0.4647765221794133
Tmem86a,3,-3.4558410197533465,0.0005485787729887504,1.0,1,-0.21550194777178408,-0.48383090518152017,-0.13673089713383213,-0.025944040999999918,9.424795512515087e-05,0.7214219958085005,0.9640014656570653,0.4647765221794133
Npb,2,-3.4373178909559803,0.0005875056380229713,1.0,1,-0.6616175643927551,-1.1084812710317125,-0.21475385775379774,,0.0004795371472803383,0.6095166483288451,,0.4647765221794133
Lgi4,3,-3.425453789618596,0.0006137733333470561,0.6666666666666666,2,-0.17994082717800008,-0.24770582261379204,-0.36180634258687494,0.06968968366666672,0.002865524250766321,0.005559743457091177,0.9359245318908409,0.4647765221794133
Car2,3,-3.425373452428231,0.0006139548717736719,0.6666666666666666,2,-3.186182298929063,-0.31803928820440674,0.19936015475055058,-9.439867763333332,0.0005722517028275708,0.3628882956855423,0.04962741292622116,0.4647765221794133
Dusp5,3,3.424153645892244,0.0006167174218028386,0.6666666666666666,1,-0.05503366081411835,0.4508094259008839,-0.7049271650099058,0.08901675666666686,8.696229220712016e-06,0.11153101772301427,0.6679248841997119,0.4647765221794133
1810044D09Rik,3,-3.396091781783221,0.0006835543455993316,1.0,1,-0.37402780467520835,-0.9786734552043734,-0.13672047815458493,-0.006689480666666678,0.000378981741795845,0.2894680619303487,0.9562074676213604,0.4850020220288991
8030453O22Rik,3,3.3870309634698526,0.0007065341329470102,1.0,1,0.2212113358862459,0.3136813339109814,0.15162781541442283,0.19832485833333346,0.0041726870018501975,0.2257805877823008,0.17897667484233587,0.4850020220288991
Gem,3,3.3837384053102495,0.000715060972128316,0.6666666666666666,1,0.21368382751577217,1.047444157009462,-0.07034567612881215,-0.3360469983333333,9.147000563667635e-06,0.8612735268794783,0.4213891817798799,0.4850020220288991
Enpp6,3,-3.3538580486131013,0.000796932347308014,1.0,2,-0.33309461792122125,-0.49201566613737846,-0.13847211629295186,-0.3687960713333335,0.005457665469210514,0.8270972379556208,0.024286373259260776,0.5230961097749507
Gss,3,-3.298031766569733,0.0009736511850075039,1.0,1,-0.21441940151454178,-0.37146164338581933,-0.18222040415780594,-0.0895761570000001,0.0004896239816455478,0.5036213544219876,0.7833448392297555,0.6029032054234865
Gm28528,2,3.296844278187217,0.0009777769696763838,1.0,2,0.30016786621549507,,0.07518542276432347,0.5251503096666666,,0.019187629537671922,0.019073951356548626,0.6029032054234865
Itgb4,3,-3.268637555722753,0.0010806663421879376,0.6666666666666666,2,-0.2998502678215529,-0.41470318619639457,-0.49580305960159743,0.010955442333333398,0.001974670280009897,0.03938823210403367,0.9074273413106873,0.6421031987329359
Serpinb1a,3,-3.262468890946852,0.0011044629425817159,1.0,1,-0.6524863047231186,-0.6514607100292205,-0.306661491806802,-0.9993367123333334,0.005821394899170006,0.24276413215085096,0.19460697172502317,0.6421031987329359
Egr2,3,3.2366550158983225,0.0012093952048322463,0.6666666666666666,1,0.22693521359438243,1.6468394887799631,-0.7913712426634829,-0.1746626053333329,2.624158420392908e-06,0.2279237239293164,0.38564697780176477,0.6780959476702458
Unc5b,3,-3.2258187781588705,0.0012561286480942434,1.0,1,-0.36517140602957765,-0.3325639417843913,-0.3664851876376751,-0.39646508866666663,0.00462304954582196,0.24672089819125761,0.2890769502251845,0.6780959476702458
Pigz,3,-3.223498900207669,0.0012663478480179546,1.0,1,-0.37546051590215024,-0.5389772433022806,-0.4147212557375033,-0.17268304866666673,0.005001399209587269,0.1379909191635468,0.39996301266943773,0.6780959476702458
B230206H07Rik,3,-3.2100798434801634,0.001326981070551878,1.0,1,-0.5060614613333091,-0.9046894780179677,-0.4699442426486262,-0.14355066333333338,0.005030259851101815,0.3860243747732656,0.18816791564843302,0.6923438672715285
Gm4675,3,-3.199550991654512,0.0013764183655820556,1.0,2,-0.29120578941537023,-0.42464759122833584,-0.3226636943511082,-0.12630608266666668,0.03457293898704738,0.07664120763398932,0.04632612517019762,0.7001840225715917
Adamts4,3,-3.187910253202486,0.0014330500773040882,1.0,1,-0.4209910460529834,-0.31234612437359743,-0.6837533147853527,-0.266873699,0.003438191927914737,0.13170220015364922,0.6256380599584243,0.7112122676337461
2310010J17Rik,3,-3.1691174108925257,0.0015290261438139338,1.0,1,-0.378751206025439,-0.5597905986234304,-0.34043879711955327,-0.2360242223333333,0.002206787303318435,0.28124817704041943,0.6092286462477421,0.735757941134578
2810468N07Rik,3,-3.1642511514869427,0.0015548256078625347,1.0,1,-0.3359640006884986,-0.24927273012425744,-0.34422183727457156,-0.4143974346666668,0.0026637892689188314,0.4788140923083306,0.358073388397276,0.735757941134578
Ttyh2,3,-3.1358118857521307,0.0017137909317588452,1.0,1,-0.29852610733624996,-0.4323182501957472,-0.3387640318130023,-0.12449604000000036,0.0018926133068664901,0.1832349262707539,0.8984482450849256,0.7877073536138349
Gm37254,2,3.127813361229415,0.0017611197484249407,1.0,1,0.28259779913473637,,0.1455442572694725,0.41965134100000023,,0.5272890302111504,0.00042856016548370625,0.7877073536138349
Erg,3,-3.1185385344199656,0.0018175037376062274,1.0,2,-0.2083821589239148,-0.44082352549252146,-0.11824922161255635,-0.06607372966666658,0.017104208589702682,0.005817759741065769,0.672018381341071,0.7877073536138349
2810407A14Rik,3,-3.1182225181770766,0.0018194537851312289,0.6666666666666666,2,-0.21350748652140836,-0.5568585194128399,0.006118098181948195,-0.08978203833333331,0.007487189047465456,0.9722934702257415,0.03579160686720434,0.7877073536138349
Mpeg1,3,-3.1101288331200077,0.0018700575882092856,1.0,1,-0.1760493764520342,-0.3369531051240102,-0.036630926898758354,-0.15456409733333398,0.0004697749797618034,0.8592573214744138,0.8469748809646949,0.7927485792683863
Rab26os,3,-3.1034799583046766,0.001912591884690857,0.6666666666666666,1,-0.26232544996988316,-0.8708406655836494,-0.4928854419926667,0.5767497576666666,0.00010241600600161755,0.08424191983625515,0.05813788984822588,0.7942330544834604
Arc,3,3.0943005618160218,0.001972775200577512,0.6666666666666666,1,-0.6970127603613742,1.150436484923203,-0.3800428516739922,-2.861431914333333,1.7603771189238084e-05,0.32451118977255905,0.5800441720772668,0.7966986866439825
Fabp7,3,-3.0907023865203964,0.001996836692492781,0.6666666666666666,1,-0.9948898606324507,-0.6684367787210448,0.09150455015702619,-2.4077373533333333,0.0009303470086346771,0.42200130493903426,0.18210401573141613,0.7966986866439825
Dennd1c,3,-3.0714817708937274,0.0021299916960533286,1.0,1,-0.34058097493266826,-0.6178943034548974,-0.2145949876764408,-0.18925363366666667,0.009897027597756753,0.4888387411989994,0.11207017477714411,0.8113106980400735
Mcidas,3,-3.06695537237614,0.0021625114067413166,1.0,1,-0.40000431227891803,-0.8250311237213726,-0.2430323464487148,-0.13194946666666668,0.013058344686766544,0.43133220032152825,0.08858572921125021,0.8113106980400735
Dnmt3b,3,-3.062471022462312,0.002195177283385021,1.0,1,-0.39998925418634923,-0.7710312431715156,-0.4199199873875321,-0.009016532,0.004859545386886626,0.10094043633934649,0.7643330721032044,0.8113106980400735
Fmnl3,3,-3.0594603621853476,0.0022173612769508353,1.0,1,-0.25167396877518583,-0.3613316394962016,-0.2691985138293558,-0.12449175300000015,0.0038036338733941455,0.20116698085636822,0.6700396489399733,0.8113106980400735
Mag,3,-3.057378833795879,0.0022328189055555395,1.0,1,-0.6341426189012895,-0.4195740949516171,-0.6922120917522516,-0.7906416699999999,0.006335333168638673,0.17533622288402292,0.48410562740965657,0.8113106980400735
Gm20387,3,-3.0203899737113904,0.002524494110688001,1.0,1,-0.30070758399082953,-0.5498327151564757,-0.07578946048267943,-0.27650057633333347,0.0019302685909027503,0.6223294571582582,0.5881575603412527,0.8518853509122994
Gm43237,3,-3.018686865397916,0.0025387278303689092,1.0,1,-0.38863370078798276,-0.8919775352992692,-0.1952277037313458,-0.07869586333333345,0.0015338801258145036,0.38683424090912216,0.9262670212652594,0.8518853509122994
Gm44234,2,3.0166085867520773,0.0025561964562096297,1.0,1,1.0169011197096487,,0.1469084260859635,1.8868938133333337,,0.29702116456776484,0.0023427322937838333,0.8518853509122994
1700096K18Rik,3,-3.0162032928552973,0.002559615868806221,0.6666666666666666,1,-0.1866027210209175,-0.8230236881206903,-0.2895800692753956,0.5527955943333334,0.0004543847503900949,0.09519109672287655,0.20294238718480426,0.8518853509122994
Gucy2g,3,-3.0149047915320097,0.00257059934715544,1.0,1,-0.2119251000686011,-0.29714993516264165,-0.2604818463764951,-0.07814351866666658,0.002591112826966113,0.2908702198435786,0.8013670692069356,0.8518853509122994
Tmbim1,3,-3.0025099441199217,0.00267763225246222,1.0,1,-0.21744470069900634,-0.32321642502465586,-0.17057239640569666,-0.1585452806666665,0.002295542526593069,0.5818713080476129,0.5769302540190687,0.8518853509122994
Tlr2,3,-3.002503285084855,0.0026776908337620507,0.6666666666666666,1,-0.18978531567283793,-0.69202756489263,0.26215612454078285,-0.1394845066666667,0.0011519554219686578,0.48813775833847656,0.2484318018088032,0.8518853509122994
Arsg,3,-3.0023077687339095,0.002679411365165479,1.0,1,-0.32592981234061263,-0.49885767113310386,-0.12717190888873375,-0.35175985700000023,0.00277476430680897,0.7095383372800476,0.41085746798515244,0.8518853509122994
Pacs2,3,-2.996245065347295,0.00273326675362607,1.0,1,-0.29542521665941024,-0.20501427544112438,-0.3111427172037722,-0.37011865733333416,0.007219421797943644,0.08110795542497587,0.7470262488403729,0.855638644658204
Ninj2,3,-2.964338758659671,0.003033341613291113,1.0,1,-0.35294974397125545,-0.5944586059935446,-0.276114028253555,-0.18827659766666666,0.008178379082537995,0.4027644059393482,0.2833818816091138,0.872733497622163
Rara,3,-2.95781691946852,0.003098260794443911,0.6666666666666666,1,-0.16191862802301635,-0.19919063475026633,-0.48319174898544937,0.19662649966666668,0.0016187570151982502,0.0770607089492316,0.44672368105495586,0.872733497622163
Nlrp5-ps,3,-2.957797105832515,0.003098459937442431,1.0,1,-0.4357070418292781,-0.9791993828842216,-0.18920631993694542,-0.13871542266666737,0.0039400726784580556,0.20965827589531583,0.8262471920896368,0.872733497622163
Trf,3,-2.95755379800805,0.003100906328830731,0.6666666666666666,1,-1.4840786431511486,-0.4420635531732344,0.26273819371979323,-4.272910570000004,0.001983087800957285,0.6136540566345984,0.222981632366903,0.872733497622163
A230001M10Rik,3,-2.951559150623692,0.0031617398205659227,0.6666666666666666,1,-0.17697193760102983,-0.520919686549834,-0.027916358586588697,0.017920232333333175,0.0004345325797743218,0.9403689515650425,0.8768830938509529,0.872733497622163
Rpl23a,3,-2.9513641001326434,0.003163737336249118,0.6666666666666666,1,-0.7420044315678128,-0.45046142977540793,-1.815781009594697,0.04022914466666627,0.003975364909615108,0.10124120608435935,0.9169953660735011,0.872733497622163
Gm15912,3,-2.9508839560194358,0.0031686594029406287,1.0,1,-0.40284983751946807,-0.4392795869665216,-0.419250581591883,-0.3500193439999997,0.015285277391514966,0.17999320295040164,0.27825868542881904,0.872733497622163
Dlx6os2,2,-2.9505295279609944,0.0031722972023332102,1.0,1,-0.3394655261369147,,-0.07574880194049617,-0.6031822503333333,,0.019844061059975278,0.05648623232670419,0.872733497622163
Tspan4,3,-2.9466051402825473,0.0032128317457825557,1.0,1,-0.22407560480108543,-0.35275187676843345,-0.24392661030148943,-0.07554832733333335,0.009980333569329418,0.16346796240503075,0.4737097675587782,0.872733497622163
Aldh1l2,3,-2.945391956651509,0.0032254577520687442,0.6666666666666666,1,-0.1797364359196474,-0.521743472025447,0.03314733526650482,-0.05061317100000007,0.0013824320118345484,0.8646659055608856,0.4863730548472828,0.872733497622163
A730036I17Rik,3,-2.942126343442197,0.0032596690495028694,0.6666666666666666,1,-0.2969665971133725,-0.9176013264841725,0.13429395581072168,-0.10759242066666666,0.005953828769437384,0.5927475628479549,0.05508759824289128,0.872733497622163
Gm17334,3,-2.9230799460954566,0.003465875151808288,1.0,1,-0.39762164348089896,-0.6477702783311745,-0.0051439054448556565,-0.5399507466666666,0.005073061400594442,0.9220457554577572,0.21255083861811092,0.9158912673895461
6430573P05Rik,3,-2.9157869987140126,0.0035479262717962616,1.0,1,-0.5047111897672318,-0.7620950251571679,-0.7179611738111944,-0.0340773703333333,0.007082798754778456,0.11756735155928501,0.7959851468416128,0.9167498506411614
Irf8,3,-2.9129697921830178,0.0035800923199348026,0.6666666666666666,2,-0.10996405008418075,-0.2620691966588691,-0.1736419039270065,0.10581895033333333,0.002745645363309547,0.04922906685416339,0.48096750650938835,0.9167498506411614
Acot3,3,-2.910481041243967,0.0036087285974561157,1.0,1,-0.2692762468988057,-0.4442176097926209,-0.0651675032371295,-0.2984436276666666,0.008577643255182085,0.7968090874105935,0.14777934834306983,0.9167498506411614
