gene,dataset,log2FC,p,padj,n_post,n_ctrl
0610007P14Rik,GSE276942,-0.0786229118612134,0.534679771386583,0.9992643367945064,13,4
0610009B22Rik,GSE276942,-0.17306125150157392,0.4101522688094076,0.9992643367945064,13,4
0610009E02Rik,GSE276942,-0.17026335000046178,0.6021270916144538,0.9992643367945064,13,4
0610009L18Rik,GSE276942,-0.17097310830632484,0.5161251758171779,0.9992643367945064,13,4
0610009O20Rik,GSE276942,-0.1180206140101987,0.4469549186555297,0.9992643367945064,13,4
0610010F05Rik,GSE276942,-0.17753272190604186,0.5923502790093256,0.9992643367945064,13,4
0610010K14Rik,GSE276942,-0.004439611158561618,0.9619653199239389,0.9992643367945064,13,4
0610011F06Rik,GSE276942,-0.09757349636711155,0.39701909591769763,0.9992643367945064,13,4
0610030E20Rik,GSE276942,0.035826867595817546,0.9016424182509363,0.9992643367945064,13,4
0610037L13Rik,GSE276942,-0.10837550855330846,0.7147528440268451,0.9992643367945064,13,4
0610040B10Rik,GSE276942,-0.5477280399614095,0.01988730809299004,0.9992643367945064,13,4
0610040F04Rik,GSE276942,-0.43063205453563835,0.27564998900454446,0.9992643367945064,13,4
0610040J01Rik,GSE276942,0.5223825886642102,0.4633117690875006,0.9992643367945064,13,4
1010001B22Rik,GSE276942,0.040864063537553896,0.8599197319098734,0.9992643367945064,13,4
1110001J03Rik,GSE276942,0.019814018616587603,0.8544754546358095,0.9992643367945064,13,4
1110002E22Rik,GSE276942,-0.10606063866802806,0.6959639241967619,0.9992643367945064,13,4
1110002J07Rik,GSE276942,-0.31114537877780224,0.5587830244184752,0.9992643367945064,13,4
1110002L01Rik,GSE276942,0.02417515846001539,0.9202877653004082,0.9992643367945064,13,4
1110003F10Rik,GSE276942,0.26803461968712794,0.5887396521568622,0.9992643367945064,13,4
1110004E09Rik,GSE276942,-0.14378720970925052,0.40109094452058613,0.9992643367945064,13,4
1110004F10Rik,GSE276942,-0.06561427050740676,0.6891747163727285,0.9992643367945064,13,4
1110006O24Rik,GSE276942,-0.5085327762440621,0.15960145467650697,0.9992643367945064,13,4
1110007C09Rik,GSE276942,-0.3031923383687847,0.07963498901526057,0.9992643367945064,13,4
1110008F13Rik,GSE276942,-0.02488507934978834,0.8627876184235895,0.9992643367945064,13,4
1110008L16Rik,GSE276942,-0.0738124542154992,0.8449851080700288,0.9992643367945064,13,4
1110008P14Rik,GSE276942,-0.01372785025756329,0.8822863612994505,0.9992643367945064,13,4
1110012L19Rik,GSE276942,0.0876738551377505,0.7311613614832758,0.9992643367945064,13,4
1110017D15Rik,GSE276942,-0.1075852992555495,0.8086099514686705,0.9992643367945064,13,4
1110018N20Rik,GSE276942,-0.0692260096033106,0.7883931793961269,0.9992643367945064,13,4
1110019D14Rik,GSE276942,-0.1423400713400591,0.5959955140662441,0.9992643367945064,13,4
1110025M09Rik,GSE276942,-0.47553731803299737,0.4227350583129358,0.9992643367945064,13,4
1110032A03Rik,GSE276942,-0.08597365324940753,0.659708833873174,0.9992643367945064,13,4
1110032F04Rik,GSE276942,-0.09855838460173239,0.5977069507490365,0.9992643367945064,13,4
1110034G24Rik,GSE276942,-0.056410306064898386,0.6593737254825668,0.9992643367945064,13,4
1110037F02Rik,GSE276942,-0.025798720657768115,0.915820891030997,0.9992643367945064,13,4
1110038B12Rik,GSE276942,-0.04271140313759414,0.6999632691549076,0.9992643367945064,13,4
1110038F14Rik,GSE276942,-0.23352429407989472,0.30954807648616817,0.9992643367945064,13,4
1110046J04Rik,GSE276942,0.2898901873954838,0.12260499271571487,0.9992643367945064,13,4
1110051M20Rik,GSE276942,-0.1672236285280917,0.5328563868717244,0.9992643367945064,13,4
1110059E24Rik,GSE276942,-0.21076379654808441,0.30620339765623517,0.9992643367945064,13,4
1110059G10Rik,GSE276942,-0.13637933051804652,0.6414909533235819,0.9992643367945064,13,4
1110065P20Rik,GSE276942,-0.04039081478559936,0.7376632472847245,0.9992643367945064,13,4
1190002N15Rik,GSE276942,-0.1415454428834746,0.45067163817542033,0.9992643367945064,13,4
1190005I06Rik,GSE276942,-0.09449857414079954,0.7304255848736867,0.9992643367945064,13,4
1190007I07Rik,GSE276942,-0.286336984838683,0.19832490152229262,0.9992643367945064,13,4
1200014J11Rik,GSE276942,-0.07645145952455579,0.7334046842867508,0.9992643367945064,13,4
1300002E11Rik,GSE276942,-0.09110204892727936,0.5380891552822661,0.9992643367945064,13,4
1500002C15Rik,GSE276942,0.02249367319671869,0.9557240307972524,0.9992643367945064,13,4
1500002F19Rik,GSE276942,-0.607551377546454,0.1497755693754694,0.9992643367945064,13,4
1500004A13Rik,GSE276942,0.14085118095636062,0.5004084719680999,0.9992643367945064,13,4
1500009C09Rik,GSE276942,-0.014009935636313031,0.8256615029205516,0.9992643367945064,13,4
1500009L16Rik,GSE276942,-0.04591444197623673,0.8556824809796925,0.9992643367945064,13,4
1500011B03Rik,GSE276942,-0.042796255158686236,0.5712716059156472,0.9992643367945064,13,4
1500011K16Rik,GSE276942,-0.009966383605446438,0.9374117853872524,0.9992643367945064,13,4
1500012F01Rik,GSE276942,-0.11592712032475916,0.37514578327986337,0.9992643367945064,13,4
1500015A07Rik,GSE276942,-0.22241287266473986,0.5356390177374591,0.9992643367945064,13,4
1500015L24Rik,GSE276942,-0.9281643161641759,0.05828276433252922,0.9992643367945064,13,4
1500015O10Rik,GSE276942,-1.1906065169639497,0.35646203543476584,0.9992643367945064,13,4
1500017E21Rik,GSE276942,-0.48980664359992643,0.33980176167744613,0.9992643367945064,13,4
1500026H17Rik,GSE276942,-0.2659053898932937,0.5121428054516283,0.9992643367945064,13,4
1600002H07Rik,GSE276942,-0.01816988664130914,0.9146735914871469,0.9992643367945064,13,4
1600002K03Rik,GSE276942,0.17722033716894003,0.6302211197276476,0.9992643367945064,13,4
1600012H06Rik,GSE276942,-0.20702466555660948,0.38855600032904203,0.9992643367945064,13,4
1600014C10Rik,GSE276942,0.11333288975761846,0.6199220883091767,0.9992643367945064,13,4
1600020E01Rik,GSE276942,-0.1614377485463585,0.5721293631763953,0.9992643367945064,13,4
1600023N17Rik,GSE276942,0.25033402558624074,0.6074350684596156,0.9992643367945064,13,4
1600029O15Rik,GSE276942,-0.4294132684225156,0.32298443226702356,0.9992643367945064,13,4
1700001C02Rik,GSE276942,-0.24381769773043693,0.42557278557720846,0.9992643367945064,13,4
1700001G17Rik,GSE276942,-0.17175818772756202,0.7207325828072914,0.9992643367945064,13,4
1700001L05Rik,GSE276942,-0.30629406642939294,0.4737611494350219,0.9992643367945064,13,4
1700001L19Rik,GSE276942,0.06264994043654415,0.7802284905303493,0.9992643367945064,13,4
1700001O22Rik,GSE276942,-0.09565591970307086,0.6075326680361962,0.9992643367945064,13,4
1700003E16Rik,GSE276942,-0.03526480888937655,0.7764497642851127,0.9992643367945064,13,4
1700003M02Rik,GSE276942,-0.16931958580879325,0.8122913568488132,0.9992643367945064,13,4
1700003M07Rik,GSE276942,0.012044026809158836,0.9376916430794205,0.9992643367945064,13,4
1700007E05Rik,GSE276942,-0.13772695886694808,0.7273224644518296,0.9992643367945064,13,4
1700007G11Rik,GSE276942,0.2641216916045517,0.6296015579557012,0.9992643367945064,13,4
1700007K09Rik,GSE276942,0.07076346164940861,0.8217577421974707,0.9992643367945064,13,4
1700007K13Rik,GSE276942,0.1563129151638929,0.6706767754345043,0.9992643367945064,13,4
1700008J07Rik,GSE276942,-0.056709418010359336,0.776436851023756,0.9992643367945064,13,4
1700008O03Rik,GSE276942,-0.15704154311308915,0.7091279992930317,0.9992643367945064,13,4
1700010I14Rik,GSE276942,-0.07547881751806074,0.8815249584412655,0.9992643367945064,13,4
1700012B09Rik,GSE276942,0.03316467706944959,0.959187889087274,0.9992643367945064,13,4
1700013F07Rik,GSE276942,-0.32286841987253556,0.3554415981141286,0.9992643367945064,13,4
1700014D04Rik,GSE276942,-0.3909045366839283,0.26370140960560917,0.9992643367945064,13,4
1700016A09Rik,GSE276942,-0.19419060736324356,0.5353200974719192,0.9992643367945064,13,4
1700016K19Rik,GSE276942,-0.14346014237722748,0.5711268087514109,0.9992643367945064,13,4
1700016P03Rik,GSE276942,0.949631858959954,0.033648784191759325,0.9992643367945064,13,4
1700017B05Rik,GSE276942,-0.05323159092746721,0.6443679085543759,0.9992643367945064,13,4
1700018L02Rik,GSE276942,0.21077283356518484,0.7160087629595481,0.9992643367945064,13,4
1700019D03Rik,GSE276942,-0.0887691395777157,0.7538528181134612,0.9992643367945064,13,4
1700019G17Rik,GSE276942,0.04019994814261274,0.8555214074036507,0.9992643367945064,13,4
1700019L03Rik,GSE276942,-0.13306033464250744,0.7344723686054901,0.9992643367945064,13,4
1700020D05Rik,GSE276942,-0.0533410019217575,0.8807196217797708,0.9992643367945064,13,4
1700020I14Rik,GSE276942,-0.11631218183438996,0.5447383910179157,0.9992643367945064,13,4
1700021F05Rik,GSE276942,-0.4152116903378795,0.05129964444287802,0.9992643367945064,13,4
1700021K19Rik,GSE276942,-0.24183882954819502,0.26781391715993047,0.9992643367945064,13,4
1700023F06Rik,GSE276942,-0.04403855391907463,0.9062835323002726,0.9992643367945064,13,4
1700024G13Rik,GSE276942,0.3053850024649276,0.297779781703025,0.9992643367945064,13,4
1700024P16Rik,GSE276942,-0.08605958319649787,0.750747259443471,0.9992643367945064,13,4
