gene,lasso_selected,lasso_coef,lasso_stability,rf_gini,rf_rank,boruta_selected,is_feature
Opalin,False,0.0,0.105,0.07633822597155929,4.0,True,False
Sla2,False,0.0,0.0,0.013499116963283627,20.0,False,False
Myo1d,False,0.0,0.095,0.05041246608329942,7.0,True,False
Mog,False,0.0,0.0,0.006553020621353953,35.0,False,False
Gltp,False,0.0,0.0,0.030414156676656673,10.0,False,False
Tmem63a,False,0.0,0.035,0.018848078002244667,16.0,False,False
Pmp22,False,0.0,0.15,0.020340586920795257,14.0,False,False
Bcas1,False,0.0,0.015,0.01392276789568456,19.0,False,False
Prr5l,False,0.0,0.07,0.03328131868131867,8.0,True,False
Enpp6,False,0.0,0.005,0.013456194885361547,21.0,False,False
Mag,False,0.0,0.055,0.018240512265512262,17.0,False,False
Cebpb,False,0.0,0.0,0.006957683982683981,34.0,False,False
Plp1,False,0.0,0.0,0.011787499999999996,26.0,False,False
Cd83,False,0.0,0.01,0.008448051948051948,30.0,False,False
Gpr37,False,0.0,0.0,0.01898223204264871,15.0,False,False
Csf1,False,0.0,0.0,0.005795048007548006,37.0,False,False
Runx2,False,0.0,0.0,0.0009546176046176045,58.0,False,False
Sox10,False,0.0,0.0,0.01253117268533935,24.0,False,False
Gjc2,False,0.0,0.085,0.005526167929292929,38.0,False,False
Prr18,False,0.0,0.015,0.0036631027702456265,46.0,False,False
Ctss,False,0.0,0.0,0.007225126262626259,32.0,False,False
Ccl6,False,0.0,0.005,0.00540788790684624,39.0,False,False
Siglech,False,0.0,0.0,0.004680599647266313,43.0,False,False
Ndrg1,False,0.0,0.0,0.004842916805416805,42.0,False,False
Lcn2,False,0.0,0.0,0.0008347222222222222,60.0,False,False
Ccl12,False,0.0,0.0,0.0033255952380952377,47.0,False,False
C5ar1,False,0.0,0.0,0.004900076312576311,41.0,False,False
Cd80,False,0.0,0.0,0.002322128942486085,53.0,False,False
Tyrobp,False,0.0,0.035,0.004976388888888888,40.0,False,False
Cx3cl1,False,0.0,0.0,0.0016133866133866128,55.0,False,False
Megf10,False,0.0,0.0,0.002483438089688089,51.0,False,False
Fabp5,False,0.0,0.02,0.0016011804553471213,56.0,False,False
Junb,True,0.27212355490424,0.36,0.0823474434516101,2.0,True,True
Egr2,False,0.0,0.23,0.0791088303671637,3.0,True,False
Arc,False,0.0,0.225,0.08309285806785804,1.0,True,False
Tlr2,False,0.0,0.0,0.02747196969696969,11.0,False,False
Irf8,False,0.0,0.055,0.02424994033744033,13.0,False,False
Myrf,False,0.0,0.0,0.012717221358888023,23.0,False,False
Nkx2-2,False,0.0,0.0,0.02478794292127625,12.0,False,False
Cnp,False,0.0,0.015,0.014031902896486228,18.0,False,False
Fos,True,0.08653243800064134,0.265,0.05200362554112553,6.0,True,True
Aif1,False,0.0,0.01,0.00953750801667468,28.0,False,False
Lpar1,False,0.0,0.0,0.007200971867638533,33.0,False,False
Egr1,False,0.0,0.015,0.053143144818144805,5.0,True,False
Irf5,False,0.0,0.0,0.004242073512906845,44.0,False,False
Kctd17,False,0.0,0.09,0.011985605473670946,25.0,False,False
Gpr34,False,0.0,0.005,0.00331965287798621,48.0,False,False
Cx3cr1,False,0.0,0.01,0.033071556529889856,9.0,True,False
Sgk1,False,0.0,0.175,0.012815451600868263,22.0,False,False
Cd9,False,0.0,0.0,0.008318957431457429,31.0,False,False
Ndufa1,False,0.0,0.0,0.01095609668109668,27.0,False,False
Slc25a1,False,0.0,0.0,0.009530446328362994,29.0,False,False
Cox7b,False,0.0,0.0,0.0030655323071989726,49.0,False,False
Cox10,False,0.0,0.005,0.002777446473279806,50.0,False,False
Mpc2,False,0.0,0.005,0.0008748376623376624,59.0,False,False
Ndufb7,False,0.0,0.0,0.005908265477908334,36.0,False,False
Atp5f1,False,0.0,0.0,0.00400649797733131,45.0,False,False
Cox7a1,False,0.0,0.005,0.0023977633477633474,52.0,False,False
Atp5g3,False,0.0,0.0,0.001039638447971781,57.0,False,False
Atpif1,False,0.0,0.0,0.001831349206349206,54.0,False,False
