gene,lasso_selected,lasso_coef,lasso_stability,rf_gini,rf_rank,boruta_selected,is_feature
Opalin,False,0.0,0.34,0.056673816155809936,3.0,True,False
Sla2,True,-0.6705034548088399,0.78,0.0764349528131814,1.0,True,True
Myo1d,False,0.0,0.155,0.032856567010561624,9.0,True,False
Mog,True,-0.0026415777794769756,0.24,0.014830725068275376,21.0,False,False
Gltp,True,-0.5485620937004143,0.4,0.03058974347992998,10.0,True,True
Tmem63a,False,0.0,0.035,0.04054114349930244,4.0,True,False
Pmp22,False,0.0,0.225,0.07602995094710606,2.0,True,False
Bcas1,False,0.0,0.005,0.024690541353666804,13.0,True,False
Prr5l,False,0.0,0.055,0.019742568444837173,17.0,True,False
Enpp6,False,0.0,0.06,0.04011972687689514,6.0,True,False
Mag,False,0.0,0.04,0.016975295526858763,20.0,False,False
Cebpb,False,0.0,0.245,0.0063995187243257165,44.0,False,False
Plp1,False,0.0,0.005,0.009542349035422703,34.0,False,False
Cd83,False,0.0,0.205,0.013891891949035269,25.0,False,False
Gpr37,False,0.0,0.01,0.011534301248355135,27.0,False,False
Csf1,False,0.0,0.075,0.008151892157085668,37.0,False,False
Runx2,True,-0.7693536062416351,0.455,0.039722559631401,7.0,True,True
Sox10,False,0.0,0.0,0.04026217206615648,5.0,True,False
Gjc2,False,0.0,0.175,0.006718787082387604,40.0,False,False
Prr18,True,-0.7073103151488269,0.365,0.006295356314325478,45.0,False,False
Ctss,False,0.0,0.0,0.006681748235292913,41.0,False,False
Ccl6,False,0.0,0.11,0.010541472335416429,29.0,False,False
Siglech,False,0.0,0.005,0.010189708639999366,30.0,False,False
Ndrg1,False,0.0,0.0,0.006160993351276486,46.0,False,False
Lcn2,False,0.0,0.175,0.0272444039743827,12.0,False,False
Ccl12,False,0.0,0.09,0.006639667323480317,42.0,False,False
C5ar1,False,0.0,0.465,0.028109769691187038,11.0,True,False
Cd80,False,0.0,0.215,0.02042595994024326,15.0,False,False
Tyrobp,True,-0.4139411000499542,0.325,0.017322535558299292,19.0,False,False
Cx3cl1,True,-0.20188722132514123,0.435,0.005971537783321271,48.0,False,False
Megf10,False,0.0,0.005,0.006006887470061884,47.0,False,False
Fabp5,False,0.0,0.02,0.012071455360488733,26.0,False,False
Junb,True,1.2176127025079442,0.73,0.014113299627599973,24.0,False,False
Egr2,False,0.0,0.055,0.005471659565003771,52.0,False,False
Arc,False,0.0,0.105,0.00839400491747925,36.0,False,False
Tlr2,False,0.0,0.105,0.0030823064330627358,58.0,False,False
Irf8,True,-0.025509174593275313,0.29,0.014227676183290997,22.0,False,False
Myrf,False,0.0,0.03,0.02000582649462307,16.0,False,False
Nkx2-2,False,0.0,0.03,0.005362676648502611,53.0,False,False
Cnp,False,0.0,0.0,0.008099796680825158,38.0,False,False
Fos,False,0.0,0.03,0.004890974657816536,54.0,False,False
Aif1,False,0.0,0.03,0.005913368829991621,49.0,False,False
Lpar1,False,0.0,0.005,0.01837569975519233,18.0,False,False
Egr1,False,0.0,0.08,0.006627874499448556,43.0,False,False
Irf5,False,0.0,0.085,0.010185616166669532,31.0,False,False
Kctd17,True,-0.2749176315608192,0.32,0.004221407085561499,56.0,False,False
Gpr34,False,0.0,0.005,0.011030554023593734,28.0,False,False
Cx3cr1,False,0.0,0.11,0.005500859406772266,51.0,False,False
Sgk1,True,1.249408935956263,0.875,0.03848376610041133,8.0,True,True
Cd9,False,0.0,0.02,0.003069542157577873,59.0,False,False
Ndufa1,False,0.0,0.03,0.005625915964050399,50.0,False,False
Slc25a1,False,0.0,0.015,0.004384868076294819,55.0,False,False
Cox7b,False,0.0,0.035,0.009627050232604958,33.0,False,False
Cox10,False,0.0,0.015,0.003244271654373932,57.0,False,False
Mpc2,False,0.0,0.04,0.006768440898465385,39.0,False,False
Ndufb7,False,0.0,0.0,0.009163208581207954,35.0,False,False
Atp5f1,False,0.0,0.14,0.014206835426245451,23.0,False,False
Atp5g3,False,0.0,0.02,0.02075553624379116,14.0,False,False
Atpif1,False,0.0,0.005,0.009796964641173678,32.0,False,False
