dataset,type,n,AUC,SD,gene
discovery_GSE276942,multi_gene_logistic_CV,17,1.0,0.0,
discovery_GSE276942,single_gene,17,1.0,,Fos
discovery_GSE276942,single_gene,17,0.8653846153846154,,Gltp
discovery_GSE276942,single_gene,17,1.0,,Junb
discovery_GSE276942,single_gene,17,0.7115384615384615,,Runx2
discovery_GSE276942,single_gene,17,0.8653846153846154,,Sgk1
discovery_GSE276942,single_gene,17,0.8846153846153846,,Sla2
integrated_ComBat,multi_gene_logistic_fit,27,1.0,,
integrated_ComBat,single_gene,27,0.5740740740740741,,Fos
integrated_ComBat,single_gene,27,0.8641975308641976,,Gltp
integrated_ComBat,single_gene,27,0.7530864197530864,,Junb
integrated_ComBat,single_gene,27,0.8765432098765432,,Runx2
integrated_ComBat,single_gene,27,0.845679012345679,,Sgk1
integrated_ComBat,single_gene,27,0.9320987654320988,,Sla2
validation_GSE215410,multi_gene_logistic_fit,4,1.0,,
validation_GSE215410,single_gene,4,1.0,,Fos
validation_GSE215410,single_gene,4,1.0,,Gltp
validation_GSE215410,single_gene,4,1.0,,Junb
validation_GSE215410,single_gene,4,1.0,,Runx2
validation_GSE215410,single_gene,4,0.75,,Sgk1
validation_GSE215410,single_gene,4,1.0,,Sla2
validation_GSE174412,multi_gene_logistic_fit,6,1.0,,
validation_GSE174412,single_gene,6,1.0,,Fos
validation_GSE174412,single_gene,6,0.8888888888888888,,Gltp
validation_GSE174412,single_gene,6,0.5555555555555556,,Junb
validation_GSE174412,single_gene,6,1.0,,Runx2
validation_GSE174412,single_gene,6,1.0,,Sgk1
validation_GSE174412,single_gene,6,1.0,,Sla2
