,0
Sla2,0.1279215
Sox10,0.1192757
Egr1,0.094770275
Irf8,0.08444011
Egr2,0.07058075
Junb,0.06925042
Cox7a1,0.064788565
Kctd17,0.055426553
Opalin,0.054729704
Myo1d,0.05349851
Arc,0.052504025
Gltp,0.049054366
Fos,0.0441874
Cx3cl1,0.025636816
Cebpb,0.016476221
Sgk1,0.009651531
Prr18,0.0078075384
Gpr37,0.0
Csf1,0.0
Cd83,0.0
Mag,0.0
Enpp6,0.0
Plp1,0.0
Mog,0.0
Bcas1,0.0
Prr5l,0.0
Pmp22,0.0
Tmem63a,0.0
Cd80,0.0
C5ar1,0.0
Ccl12,0.0
Lcn2,0.0
Ndrg1,0.0
Siglech,0.0
Ccl6,0.0
Ctss,0.0
Gjc2,0.0
Runx2,0.0
Tlr2,0.0
Myrf,0.0
Cnp,0.0
Tyrobp,0.0
Megf10,0.0
Fabp5,0.0
Lpar1,0.0
Aif1,0.0
Nkx2-2,0.0
Gpr34,0.0
Cx3cr1,0.0
Cd9,0.0
Ndufa1,0.0
Irf5,0.0
Slc25a1,0.0
Cox7b,0.0
Mpc2,0.0
Cox10,0.0
Ndufb7,0.0
Atp5f1,0.0
Atp5g3,0.0
Atpif1,0.0
